,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 17:22:38,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5330748,500,7881cdb2-5421-468f-928a-032589caee5e,,197,,,,RAFINAD
1,2021-09-30 15:32:48,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5554284,4500,24e43a9d-2984-4326-a7f2-a712efa903c1,,500,,,,RAFINAD
2,2021-09-30 11:30:10,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4725270,500,d5329acc-0f13-44b6-af67-68c4d2e4ef56,,116,,,,RAFINAD
3,2021-09-30 04:40:44,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5001569,500,63c1306d-f867-4a24-9698-de2d5f30fe84,,116,,,,RAFINAD
4,2021-09-29 23:11:33,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4309910,4500,e4f1a65c-fa7e-4fdb-9e5b-b294fd3604d6,,12,,,,RAFINAD
5,2021-09-29 17:35:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5577292,4500,1508bd3e-a350-4933-9bb1-645bface6e5e,,12,,,,RAFINAD
6,2021-09-29 15:35:14,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4022570,500,cd20f2c8-f4a7-4cb3-89f8-7c95568df672,,116,,,,RAFINAD
7,2021-09-29 15:23:55,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4197935,4500,800394fd-00b1-445f-9205-d89727690d5f,,644,,,,RAFINAD
8,2021-09-29 05:49:06,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5468822,500,33797abf-4f6a-48f8-8aa0-9c221b10687f,,506,,,,RAFINAD
9,2021-09-29 02:06:00,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5471883,500,355c2fb0-124c-4786-bcc0-72ec2cfa2247,,194,,,,RAFINAD
10,2021-09-28 15:19:49,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5226879,500,59c6d5e5-8fec-4bd2-9764-32cbbdae0049,,1517,,,,RAFINAD
11,2021-09-28 08:49:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4995512,500,db152bb4-b578-4033-a41c-34ac00c0b024,,193,,,,RAFINAD
12,2021-09-28 06:54:21,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4543854,500,aefdfad3-d9d4-46c6-8661-e8ea0ef269a4,,1517,,,,RAFINAD
13,2021-09-27 17:39:25,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5503763,4500,ed81b1ea-ac5b-41b4-b15d-cf6dc1781b39,,12,,,,RAFINAD
14,2021-09-27 14:34:12,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,2334172,4500,3281b5c7-212d-4cd3-82d4-3b9cd413340b,,502,,,,RAFINAD
15,2021-09-27 02:43:16,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5557814,4500,f39a8fbe-5e8d-4f58-b45c-2fb6d9cba36c,,12,,,,RAFINAD
16,2021-09-27 00:15:01,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5325615,4500,055d18c7-c023-4c77-8d58-5c47589d2d93,,12,,,,RAFINAD
17,2021-09-26 19:50:03,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5073183,500,1b30f70c-d72e-4dd0-a420-52b43a194be5,,193,,,,RAFINAD
18,2021-09-26 14:15:34,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5347287,500,5057eff3-6ab3-4123-b975-d03fdb4a3da6,,642,,,,RAFINAD
19,2021-09-25 02:56:24,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5146831,4500,18691b4a-c8e4-43f5-8402-04d4eeab6a2a,,12,,,,RAFINAD
20,2021-09-25 00:44:40,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5549806,500,e47d3a79-2b9d-4ad6-8812-d9f77d399bf0,,1517,,,,RAFINAD
21,2021-09-24 22:56:00,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3380467,3000,bb157c75-b738-4474-a492-1a8fea286710,,1492,,,,RAFINAD
22,2021-09-24 17:20:23,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5161546,500,aceb45b0-98e2-4bf0-a6bb-9938a9309465,,672,,,,RAFINAD
23,2021-09-24 14:16:47,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5194122,500,46f49864-b017-4778-a844-bd706836de58,,498,,,,RAFINAD
24,2021-09-23 08:29:42,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5472683,4500,f9ab736a-30de-4087-a11b-902d73a690ae,,1517,,,,RAFINAD
25,2021-09-22 11:29:04,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4732714,500,b668b8c0-9a3b-4225-8759-44a3f55462cf,,501,,,,RAFINAD
26,2021-09-22 08:21:13,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4845569,500,d9cf3f87-d4cb-4339-9a42-da864ef5f5dd,,1517,,,,RAFINAD
27,2021-09-21 19:59:52,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1043465,2400,be8f40c3-aaab-44c0-a870-483eaa6eaa1c,,1492,,,,RAFINAD
28,2021-09-21 19:43:27,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5479610,500,7b3dfeef-e2d5-424b-b800-ce62534ef3fe,,1517,,,,RAFINAD
29,2021-09-21 19:26:49,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5452434,4500,e9823ba4-aa4a-4fc7-ae8f-cf766fa57403,,1517,,,,RAFINAD
30,2021-09-21 18:05:06,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3198200,500,5d256c51-8192-4383-bd8b-6550fe63713b,,1517,,,,RAFINAD
31,2021-09-21 17:19:38,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5542578,3000,26b43a78-b6c0-489e-82f5-d2731c81f9f1,,1517,,,,RAFINAD
32,2021-09-21 17:10:59,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5550500,3000,4d4d16c7-5db4-45a0-92ea-1c56effb0772,,1517,,,,RAFINAD
33,2021-09-21 16:55:47,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5550979,3000,59b464f6-dfe8-4d01-8c64-4b57698a7ba8,,1517,,,,RAFINAD
34,2021-09-21 10:14:39,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5549806,4500,e47d3a79-2b9d-4ad6-8812-d9f77d399bf0,,1517,,,,RAFINAD
35,2021-09-21 07:14:18,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5457174,3000,6c193c54-f033-484d-a3aa-466b18267f61,,1517,,,,RAFINAD
36,2021-09-21 06:32:09,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5321897,500,ad20caa6-85da-45ad-8bf4-cfe766749fb4,,1517,,,,RAFINAD
37,2021-09-21 01:32:20,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5448408,500,c2a49359-20be-4edf-b6e6-928cf76fe74a,,1517,,,,RAFINAD
38,2021-09-21 00:14:03,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5407620,3000,1816bb06-5e11-48a9-afd8-dd0ce9ad3363,,1517,,,,RAFINAD
39,2021-09-20 23:17:50,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5513510,500,1500c214-96b6-42be-ad70-f6d60f1a8336,,1517,,,,RAFINAD
40,2021-09-20 18:19:33,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5545995,4500,1a9f336a-73bf-494b-a06d-85a82a94dc56,,1517,,,,RAFINAD
41,2021-09-20 18:16:47,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5348305,4500,b990797e-5016-4b4f-aec2-5a31b9d351f8,,1517,,,,RAFINAD
42,2021-09-20 17:46:03,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4878840,500,5d80bc8d-79c6-4bcf-b96f-916390c5be0c,,1778,,,,RAFINAD
43,2021-09-20 17:22:09,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5548281,3000,0ce13a11-1a46-469d-9569-fe5d645430d9,,1517,,,,RAFINAD
44,2021-09-20 16:52:50,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5403085,500,11b6ddf4-38fe-4d3b-b1ed-d0e86508d65e,,1781,,,,RAFINAD
45,2021-09-20 15:33:54,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5377135,4500,6b400b11-d85d-4447-9f09-4f8b6a3f76bc,,1517,,,,RAFINAD
