,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-24 05:20:24,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1769723,2400,051da58d-36ce-5c82-9f79-2fa6b570c85a,,1738,,,,REGBET
1,2021-09-21 11:02:13,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1005954,2400,452a57ac-924b-508b-87ca-9a36feb73403,,2660,,,,REGBET
2,2021-09-13 14:36:11,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1694185,300,8de917dc-c037-507b-9e80-ee3e5b9b2922,,2660,,,,REGBET
3,2021-09-12 14:01:48,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5050910,500,9260ee81-ff41-597e-9324-a5ba57ee5ec7,,1738,,,,REGBET
4,2021-09-06 17:06:56,Konga,Konga // Hybrid (new+repeat loans),Займ средний,1804798,800,e122987e-4047-50e0-b463-0af0b6131f14,,1738,,,,REGBET
5,2021-09-06 01:21:49,Lime,Lime // Hybrid (new+repeat loans),Займ средний,5050910,1800,9260ee81-ff41-597e-9324-a5ba57ee5ec7,,1738,,,,REGBET
6,2021-09-06 00:53:29,Lime,Lime // Hybrid (new+repeat loans),Займ средний,5450956,1800,e04ddb08-ab60-5cf8-9c6d-3697afda8785,,2660,,,,REGBET
7,2021-09-05 17:32:05,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4663048,500,73b106df-0780-5d11-ba4f-11fac348a125,,2660,,,,REGBET
8,2021-09-03 10:12:39,Konga,Konga // Hybrid (new+repeat loans),Займ хороший,1801274,1600,1cb3f7ab-29bc-5bfc-92e7-b4977b00f239,,1738,,,,REGBET
9,2021-09-02 08:13:41,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5494677,4500,97e87909-bac3-5237-b79b-5eff5e94b230,,2660,,,,REGBET
