,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-28 09:21:09,Konga,Konga CPL,регистрация,1831171,240,6152b0ff70c7b40001592d75,,15,,,,RUBID
1,2021-09-19 14:58:21,Konga,Konga CPL,регистрация,1820236,240,614723c470c7b4000158d362,,15,,,,RUBID
2,2021-09-17 13:05:13,Konga,Konga CPL,регистрация,1817460,240,6144672a70c7b4000158bbdd,,15,,,,RUBID
3,2021-09-17 09:36:39,Konga,Konga CPL,регистрация,1817222,240,614434c670c7b4000158ba15,,15,,,,RUBID
4,2021-09-16 07:39:44,Konga,Konga CPL,регистрация,1702723,240,6142c90c70c7b4000158afe8,,15,,,,RUBID
5,2021-09-15 20:48:18,Konga,Konga CPL,регистрация,1815392,240,61422d5370c7b4000158acc3,,15,,,,RUBID
6,2021-09-15 14:20:24,Konga,Konga CPL,регистрация,1814822,240,6141d45970c7b4000158a9f0,,15,,,,RUBID
7,2021-09-15 02:14:17,Konga,Konga CPL,регистрация,1814077,240,61412a3f70c7b40001788f5c,,15,,,,RUBID
8,2021-09-14 10:49:16,Konga,Konga CPL,регистрация,1812841,240,614051be70c7b40001788896,,15,,,,RUBID
9,2021-09-14 01:28:14,Konga,Konga CPL,оформление займа,1812437,0,613fcac470c7b40001788553,,15,,,,RUBID
10,2021-09-14 01:13:09,Konga,Konga CPL,регистрация,1812437,240,613fcac470c7b40001788553,,15,,,,RUBID
11,2021-09-12 09:30:10,Konga,Konga CPL,регистрация,1810465,240,613d9c6c70c7b4000178758f,,15,,,,RUBID
12,2021-09-10 16:32:16,Konga,Konga CPL,регистрация,1808614,240,613b243d70c7b400016e989b,,15,,,,RUBID
13,2021-09-09 12:41:06,Konga,Konga CPL,регистрация,1509787,240,6139906270c7b400016e8ddd,,15,,,,RUBID
14,2021-09-08 12:14:40,Konga,Konga CPL,регистрация,1806612,240,6138717370c7b400016e866f,,15,,,,RUBID
15,2021-09-07 15:31:04,Konga,Konga CPL,регистрация,1805797,240,613758d970c7b4000181a159,,15,,,,RUBID
16,2021-09-05 15:10:56,Konga,Konga CPL,регистрация,1803658,240,6134b2df70c7b40001818ed6,,15,,,,RUBID
17,2021-09-02 21:09:40,Konga,Konga CPL,регистрация,1781277,240,611c0b7a70c7b4000198b5f0,,15,,,,RUBID
18,2021-09-02 09:13:56,Konga,Konga CPL,регистрация,1800249,240,613069e570c7b40001816d6b,,15,,,,RUBID
19,2021-09-01 03:45:02,Konga,Konga CPL,оформление займа,1799251,0,612ecb9670c7b40001815f85,,15,,,,RUBID
20,2021-09-01 03:43:09,Konga,Konga CPL,регистрация,1799251,240,612ecb9670c7b40001815f85,,15,,,,RUBID
