,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 19:09:44,Lime,Lime CPA,Займ отличный,5583322,4500,485ad160-2207-11ec-8543-afd188b4c136,,e81ce140-0f17-11ec-9230-c97122977968,,,,SALEADS
1,2021-09-29 17:48:15,Konga,Konga CPA,Займ отличный,1762530,2400,d4d998a0-2132-11ec-95ce-1fba2d6a4c1f,,83c28820-2231-11ea-b05f-310fd922fd8e,,,,SALEADS
2,2021-09-28 18:16:11,Lime,Lime CPA,Займ отличный,5572151,4500,ff896030-206b-11ec-90b4-d12e3d90e045,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SALEADS
3,2021-09-28 16:41:42,Konga,Konga CPA,Займ отличный,1330085,2400,ee631890-2060-11ec-bfda-b728d3b51f4b,,ab202250-f547-11eb-aabe-d5c9084d8e13,,,,SALEADS
4,2021-09-26 11:50:40,Lime,Lime CPA,Займ хороший,4427251,3000,44bcb9e0-1ea6-11ec-aeb6-b349e3e37b90,,83c28820-2231-11ea-b05f-310fd922fd8e,,,,SALEADS
5,2021-09-24 21:26:34,Lime,Lime CPA,Займ отличный,5559910,4500,a2a7ada0-1d4e-11ec-9f4c-99aaa0a7b68a,,91890ac0-d1c8-11eb-b3c9-cdea261cb57e,,,,SALEADS
6,2021-09-24 16:52:58,Lime,Lime CPA,Займ средний,4860255,1800,63019580-1ba3-11ec-ad2f-9b2e49c8c0dc,,2500e8d0-8179-11eb-a941-d90609d280c9,,,,SALEADS
7,2021-09-21 16:40:18,Lime,Lime CPA,Займ отличный,5550948,4500,97288e00-1adf-11ec-a597-7b5d5e2ba823,,67d48880-0b5b-11ec-bc69-91283ae87b1e,,,,SALEADS
8,2021-09-21 10:55:40,Lime,Lime CPA,Займ отличный,3690691,4500,4977dcc0-1aa4-11ec-a535-cb933f1e2f52,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SALEADS
9,2021-09-21 06:11:20,Lime,Lime CPA,Займ отличный,5519578,4500,53099490-1a88-11ec-8aa4-359707f90fd2,,1ff86da0-c5af-11e9-b815-c343d984af80,,,,SALEADS
10,2021-09-20 15:44:43,Lime,Lime CPA,Займ средний,5547809,1800,3c4e9410-1a10-11ec-9c01-6d3ba71b92de,,ad4b35e0-18fc-11eb-b530-2b6f7f3d3b86,,,,SALEADS
11,2021-09-20 07:04:42,Lime,Lime CPA,Займ отличный,5546570,4500,f5201610-19c5-11ec-beb3-5b9d96007af7,,af84e670-131f-11ec-a843-6bbc1ef96add,,,,SALEADS
12,2021-09-19 22:21:51,Lime,Lime CPA,Займ хороший,5545908,3000,652b7df0-1969-11ec-8106-757f85610234,,2c610180-e113-11eb-b5ba-310bef691609,,,,SALEADS
13,2021-09-19 12:20:02,Konga,Konga CPA,Займ отличный,1530315,2400,eeaeb030-1928-11ec-8911-9578a2168a1d,,83c28820-2231-11ea-b05f-310fd922fd8e,,,,SALEADS
14,2021-09-19 05:18:15,Lime,Lime CPA,Займ хороший,5542855,3000,d0b2e780-1887-11ec-a417-93d85de4046b,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SALEADS
15,2021-09-16 15:26:21,Konga,Konga CPA,Займ отличный,1816374,2400,edad5c70-16de-11ec-8000-0d2b5dab8121,,fdcef550-6a3b-11e8-a115-e16ef8bf2f16,,,,SALEADS
