,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 21:19:32,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4834155,500,2d35fa8e821cbbaa2357759f4e751977,,171946,,,,UNICOM24
1,2021-09-30 15:16:44,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5581289,3000,b1f364eac3a2f7785deb619357822b6a,,90863,,,,UNICOM24
2,2021-09-30 13:34:44,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5560113,500,b5c8c62c96a4905efc962aa6ec78b34c,,41476,,,,UNICOM24
3,2021-09-30 09:02:02,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5485475,4500,18c7fdde4d323cafed7f00d6dc1b45f2,,175808,,,,UNICOM24
4,2021-09-30 08:36:46,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5297216,500,808a6dd49409766c7c554617cb4f02a9,,41476,,,,UNICOM24
5,2021-09-30 05:06:34,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5177068,500,c8e143fc6aedfa97c8320f8d80cf005f,,90863,,,,UNICOM24
6,2021-09-30 00:52:46,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4458111,500,8674275a81d96ec4a269859a5de76cd0,,90863,,,,UNICOM24
7,2021-09-29 21:44:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5578404,4500,d6ad5928d1b37ed23c88f20f19149818,,15324,,,,UNICOM24
8,2021-09-29 19:10:18,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5577821,4500,2493b04505fe2ec68dd5f9aab59580d4,,90863,,,,UNICOM24
9,2021-09-29 14:29:58,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5576042,4500,d3e94cc7510a507af8add11b733841bb,,15324,,,,UNICOM24
10,2021-09-29 14:28:52,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1127067,2400,edec51782fa9900c96e74a18e698a842,,174202,,,,UNICOM24
