,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 22:30:51,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5583994,4500,,,,,,,ОКБ
1,2021-09-30 15:10:02,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5307960,4500,,,,,,,ОКБ
2,2021-09-30 12:30:00,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1833439,2400,,,,,,,ОКБ
3,2021-09-30 04:55:03,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5579067,4500,,,,,,,ОКБ
4,2021-09-28 07:45:29,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5570093,4500,,,,,,,ОКБ
5,2021-09-27 18:42:22,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5569102,3000,,,,,,,ОКБ
6,2021-09-27 16:42:45,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5567870,4500,,,,,,,ОКБ
7,2021-09-27 16:20:01,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5560911,4500,,,,,,,ОКБ
8,2021-09-27 14:00:56,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5490250,3000,,,,,,,ОКБ
9,2021-09-27 06:15:35,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1829979,2400,,,,,,,ОКБ
10,2021-09-27 05:19:24,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1830036,2400,,,,,,,ОКБ
11,2021-09-27 04:41:40,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5554797,4500,,,,,,,ОКБ
12,2021-09-26 06:18:35,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5563665,4500,,,,,,,ОКБ
13,2021-09-26 02:13:42,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1828760,2400,,,,,,,ОКБ
14,2021-09-25 21:55:10,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1824485,300,,,,,,,ОКБ
15,2021-09-24 19:29:53,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5464333,500,,,,,,,ОКБ
16,2021-09-24 18:10:28,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5140500,500,,,,,,,ОКБ
17,2021-09-24 17:39:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5557935,3000,,,,,,,ОКБ
18,2021-09-24 16:10:16,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5559422,4500,,,,,,,ОКБ
19,2021-09-23 16:47:37,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,2313463,3000,,,,,,,ОКБ
20,2021-09-22 21:03:37,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5054595,4500,,,,,,,ОКБ
21,2021-09-22 15:46:27,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1824566,2400,,,,,,,ОКБ
22,2021-09-22 15:00:49,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1824485,2400,,,,,,,ОКБ
23,2021-09-22 13:22:23,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1227453,300,,,,,,,ОКБ
24,2021-09-21 13:53:13,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1823153,2400,,,,,,,ОКБ
25,2021-09-21 11:44:12,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5549821,4500,,,,,,,ОКБ
26,2021-09-20 14:32:04,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5547539,4500,,,,,,,ОКБ
27,2021-09-19 11:00:06,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1819754,2400,,,,,,,ОКБ
28,2021-09-19 07:14:22,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1819256,2400,,,,,,,ОКБ
29,2021-09-18 13:12:32,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1818761,2400,,,,,,,ОКБ
30,2021-09-18 05:04:27,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1818334,2400,,,,,,,ОКБ
31,2021-09-17 14:21:34,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5539304,4500,,,,,,,ОКБ
32,2021-09-17 10:51:22,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1729426,2400,,,,,,,ОКБ
33,2021-09-17 09:57:07,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1816432,2400,,,,,,,ОКБ
34,2021-09-16 21:44:30,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1816832,2400,,,,,,,ОКБ
35,2021-09-16 15:24:07,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1655729,2400,,,,,,,ОКБ
36,2021-09-13 10:17:16,Konga,Konga // Hybrid (new+repeat loans),Займ средний,1811523,800,,,,,,,ОКБ
37,2021-09-12 15:00:35,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5525771,4500,,,,,,,ОКБ
38,2021-09-12 12:50:22,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5525735,4500,,,,,,,ОКБ
39,2021-09-11 08:45:42,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5522714,4500,,,,,,,ОКБ
40,2021-09-10 18:33:57,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5521369,4500,,,,,,,ОКБ
41,2021-09-10 11:24:59,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5520279,4500,,,,,,,ОКБ
42,2021-09-09 12:49:18,Konga,Konga // Hybrid (new+repeat loans),Займ хороший,1807680,1600,,,,,,,ОКБ
43,2021-09-08 21:01:59,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5461097,500,,,,,,,ОКБ
44,2021-09-08 20:03:46,Konga,Konga // Hybrid (new+repeat loans),Займ хороший,1807110,1600,,,,,,,ОКБ
45,2021-09-07 22:23:55,Konga,Konga // Hybrid (new+repeat loans),Займ средний,1806048,800,,,,,,,ОКБ
46,2021-09-05 21:04:02,Konga,Konga // Hybrid (new+repeat loans),Займ средний,1803341,800,,,,,,,ОКБ
47,2021-09-05 04:47:29,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,2278283,4500,,,,,,,ОКБ
48,2021-09-04 23:01:00,Lime,Lime // Hybrid (new+repeat loans),Займ средний,5504243,1800,,,,,,,ОКБ
49,2021-09-04 19:41:48,Lime,Lime // Hybrid (new+repeat loans),Займ средний,5392868,1800,,,,,,,ОКБ
50,2021-09-03 13:29:54,Konga,Konga // Hybrid (new+repeat loans),Займ хороший,1800976,1600,,,,,,,ОКБ
51,2021-09-02 16:47:17,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5497145,4500,,,,,,,ОКБ
52,2021-09-02 16:02:14,Konga,Konga // Hybrid (new+repeat loans),Займ средний,1800699,800,,,,,,,ОКБ
53,2021-09-02 12:23:45,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5193713,3000,,,,,,,ОКБ
54,2021-09-02 00:32:20,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5495172,4500,,,,,,,ОКБ
55,2021-09-01 21:15:40,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5494913,4500,,,,,,,ОКБ
