,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 15:55:19,Lime,Lime // Hybrid (new+repeat loans),6058073,4500,620ba0d3e565300001b9ad3f,,,BANKIROS
1,2022-02-15 10:34:22,Lime,Lime // Hybrid (new+repeat loans),5687506,500,620b568ce565300001b84c82,,,BANKIROS
2,2022-02-15 10:09:13,Lime,Lime // Hybrid (new+repeat loans),6129565,3000,620b24ece565300001b7a64d,,,BANKIROS
3,2022-02-15 07:41:39,Konga,Konga // Hybrid (new+repeat loans),1991829,300,620b2eb1e565300001b7b9d0,,,BANKIROS
4,2022-02-15 06:33:26,Lime,Lime // Hybrid (new+repeat loans),5940415,500,620b1d6ae565300001717317,,,BANKIROS
5,2022-02-15 06:02:01,Konga,Konga // Hybrid (new+repeat loans),2047484,300,620b14e0e565300001716623,,,BANKIROS
6,2022-02-15 02:51:24,Konga,Konga // Hybrid (new+repeat loans),2045971,300,620a8791e565300001707de4,,,BANKIROS
7,2022-02-14 20:56:55,Lime,Lime // Hybrid (new+repeat loans),2586831,500,620a9647e56530000170ab5b,,,BANKIROS
8,2022-02-14 19:12:18,Lime,Lime // Hybrid (new+repeat loans),6078564,500,6203aface56530000102919c,,,BANKIROS
9,2022-02-14 17:20:04,Konga,Konga // Hybrid (new+repeat loans),1563084,2400,620a56cee5653000016fd06e,,,BANKIROS
10,2022-02-14 16:46:31,Lime,Lime // Hybrid (new+repeat loans),6134075,3000,620a5befe5653000016fe424,,,BANKIROS
11,2022-02-14 10:41:24,Lime,Lime // Hybrid (new+repeat loans),5977925,500,620a051be565300001fc6064,,,BANKIROS
12,2022-02-14 07:37:07,Konga,Konga // Hybrid (new+repeat loans),2027723,300,620941d9e565300001257f59,,,BANKIROS
13,2022-02-14 04:40:36,Konga,Konga // Hybrid (new+repeat loans),1929328,300,6209b26ee5653000012630c2,,,BANKIROS
14,2022-02-13 22:59:39,Konga,Konga // Hybrid (new+repeat loans),2064537,2400,62095e57e56530000125c8bc,,,BANKIROS
15,2022-02-13 22:17:09,Konga,Konga // Hybrid (new+repeat loans),1445779,300,62090a4ce56530000124b6c0,,,BANKIROS
16,2022-02-13 22:14:25,Konga,Konga // Hybrid (new+repeat loans),2064502,2400,62095702e56530000125b7aa,,,BANKIROS
17,2022-02-13 21:17:25,Lime,Lime // Hybrid (new+repeat loans),1295418,500,620949abe565300001259454,,,BANKIROS
18,2022-02-13 17:26:59,Konga,Konga // Hybrid (new+repeat loans),2057876,300,6209149fe56530000124dc92,,,BANKIROS
19,2022-02-13 17:24:04,Lime,Lime // Hybrid (new+repeat loans),3082717,3000,62090d85e56530000124c2a0,,,BANKIROS
20,2022-02-13 13:07:56,Lime,Lime // Hybrid (new+repeat loans),5907429,500,6208d7d0e56530000123cede,,,BANKIROS
21,2022-02-13 10:43:08,Konga,Konga // Hybrid (new+repeat loans),2051483,2400,6208b315e5653000012331ac,,,BANKIROS
22,2022-02-13 10:24:58,Lime,Lime // Hybrid (new+repeat loans),5985403,500,61ddb84ee565300001fbcc8a,,,BANKIROS
23,2022-02-13 07:52:53,Konga,Konga // Hybrid (new+repeat loans),2062347,2400,62079ed8e56530000133223f,,,BANKIROS
24,2022-02-13 07:49:18,Konga,Konga // Hybrid (new+repeat loans),2057283,300,62078089e5653000016aa5c2,,,BANKIROS
