,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 16:45:51,Konga,Konga // Hybrid (new+repeat loans),1920507,2400,99XZ1VN0kmZrk8H,,EloLQk,CITYADS
1,2022-02-15 15:33:53,Lime,Lime // Hybrid (new+repeat loans),5358452,4500,3PFZ1VMY9dZ9Hep,,8qL0M2,CITYADS
2,2022-02-15 13:34:16,Konga,Konga // Hybrid (new+repeat loans),2066616,2400,99XZ1VMVYrZmTvr,,JZBDYg,CITYADS
3,2022-02-15 11:47:08,Lime,Lime // Hybrid (new+repeat loans),6139274,3000,3PFZ1VMUlVZ5hDe,,3xlW,CITYADS
4,2022-02-15 09:58:04,Lime,Lime // Hybrid (new+repeat loans),3259526,500,3PFZ1VMSMQZ9MSU,,4QCp,CITYADS
5,2022-02-15 09:44:19,Lime,Lime // Hybrid (new+repeat loans),6128344,500,3PFZ1VLV1pZvNK8,,5eDh,CITYADS
6,2022-02-15 09:38:37,Konga,Konga // Hybrid (new+repeat loans),2002029,300,99XZ1VMSqYZ5otr,,JZBDYg,CITYADS
7,2022-02-15 07:21:31,Lime,Lime // Hybrid (new+repeat loans),5416664,500,3PFZ1VMQcQZn2rL,,5eDh,CITYADS
8,2022-02-14 20:59:44,Lime,Lime // Hybrid (new+repeat loans),3395315,500,3PFZ1VMG5GZrq0e,,5eDh,CITYADS
9,2022-02-14 19:20:32,Lime,Lime // Hybrid (new+repeat loans),5897442,500,3PFZ1VLdSSZrqYg,,4QCp,CITYADS
10,2022-02-14 18:19:41,Lime,Lime // Hybrid (new+repeat loans),6136755,4500,3PFZ1VMDoWZA9rC,,vg1q4M,CITYADS
11,2022-02-14 17:27:20,Lime,Lime // Hybrid (new+repeat loans),6022767,500,3PFZ1VD7rBZiAxp,,4QCp,CITYADS
12,2022-02-14 17:13:02,Konga,Konga // Hybrid (new+repeat loans),2065557,2400,99XZ1VMChhZAald,,sp3,CITYADS
13,2022-02-14 15:57:04,Lime,Lime // Hybrid (new+repeat loans),6135046,4500,3PFZ1VMBayZrpVq,,4QCp,CITYADS
14,2022-02-14 13:53:12,Konga,Konga // Hybrid (new+repeat loans),1928952,300,99XZ1VMkRaZrjm0,,sp3,CITYADS
15,2022-02-14 09:20:15,Lime,Lime // Hybrid (new+repeat loans),5866652,500,3PFZ1VL6GaZ9Gub,,5eDh,CITYADS
16,2022-02-14 07:14:34,Lime,Lime // Hybrid (new+repeat loans),3247197,4500,3PFZ1VMsT3ZrpAA,,5eDh,CITYADS
17,2022-02-14 06:26:28,Lime,Lime // Hybrid (new+repeat loans),6133769,3000,3PFZ1VMrQ2ZEy2w,,5eDh,CITYADS
18,2022-02-14 06:18:34,Konga,Konga // Hybrid (new+repeat loans),2064750,2400,99XZ1VMrYBZA9DR,,sp3,CITYADS
19,2022-02-14 01:08:26,Lime,Lime // Hybrid (new+repeat loans),4746143,500,3PFZ1VMn0DZEx9X,,4QCp,CITYADS
20,2022-02-14 00:21:43,Lime,Lime // Hybrid (new+repeat loans),5806427,500,3PFZ1VMm6MZe64T,,5eDh,CITYADS
21,2022-02-13 21:51:49,Lime,Lime // Hybrid (new+repeat loans),6132702,3000,3PFZ1VMi5nZroKs,,5eDh,CITYADS
22,2022-02-13 21:43:23,Lime,Lime // Hybrid (new+repeat loans),5711389,500,3PFZ1VM6LUZedjU,,5eDh,CITYADS
23,2022-02-13 20:33:33,Lime,Lime // Hybrid (new+repeat loans),6041125,500,3PFZ1VMiwxZe6kV,,4QCp,CITYADS
24,2022-02-13 18:46:50,Lime,Lime // Hybrid (new+repeat loans),6008470,500,3PFZ1VMgPjZ5p2q,,5eDh,CITYADS
25,2022-02-13 18:39:51,Lime,Lime // Hybrid (new+repeat loans),5940952,500,3PFZ1VMgEaZrkAA,,5eDh,CITYADS
26,2022-02-13 15:58:48,Lime,Lime // Hybrid (new+repeat loans),5952205,500,3PFZ1VMdlfZEyM3,,4QCp,CITYADS
27,2022-02-13 14:16:57,Lime,Lime // Hybrid (new+repeat loans),5563517,3000,3PFZ1VMc4QZrqr5,,5eDh,CITYADS
28,2022-02-13 14:05:24,Lime,Lime // Hybrid (new+repeat loans),5349998,500,3PFZ1VMaRMZebtm,,5eDh,CITYADS
29,2022-02-13 12:47:55,Lime,Lime // Hybrid (new+repeat loans),5923798,500,3PFZ1VMb45ZrleX,,wjLWJJ,CITYADS
30,2022-02-13 11:30:35,Lime,Lime // Hybrid (new+repeat loans),6128344,1800,3PFZ1VLV1pZvNK8,,5eDh,CITYADS
31,2022-02-13 05:25:46,Lime,Lime // Hybrid (new+repeat loans),5927016,4500,3PFZ1VM3UDZiC6T,,5eDh,CITYADS
32,2022-02-12 23:41:28,Lime,Lime // Hybrid (new+repeat loans),6128528,3000,3PFZ1VLW0WZed6L,,5eDh,CITYADS
33,2022-02-12 21:03:37,Konga,Konga CPA,2062858,2400,7WWZ1VLUN5Zrkzu,,5eDh,CITYADS
