,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-14 16:44:58,Lime,Lime // Hybrid (new+repeat loans),6136327,1800,20d3b4b9-dfb6-4c6b-b391-92f5d4c6b0a2,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
1,2022-02-14 07:01:49,Lime,Lime // Hybrid (new+repeat loans),6122239,3000,b7470aa4-f094-4734-bf5c-2ed081d502f5,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
2,2022-02-13 21:37:13,Lime,Lime // Hybrid (new+repeat loans),5712012,1800,acee7049-ba0a-4c68-9f99-f1f3ae27f3d7,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
3,2022-02-13 07:47:12,Lime,Lime // Hybrid (new+repeat loans),6129412,3000,68ce39a8-7bbb-4455-b051-14a4fb088a3d,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
4,2022-02-13 02:48:58,Lime,Lime // Hybrid (new+repeat loans),6111663,500,36b1ff7a-6b34-487c-9395-2b729446ae19,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
5,2022-02-12 16:33:08,Lime,Lime // Hybrid (new+repeat loans),6126863,3000,6ca505c0-b7f1-46da-a1a5-19e5b916a478,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
6,2022-02-11 17:22:00,Lime,Lime // Hybrid (new+repeat loans),6122982,3000,f6f02f8b-b3f3-48dd-9d49-7cbae1629e2d,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
7,2022-02-11 02:07:14,Lime,Lime // Hybrid (new+repeat loans),6036715,500,f8d1e743-34a7-435b-a822-8f6387819fbe,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
8,2022-02-10 11:01:26,Lime,Lime // Hybrid (new+repeat loans),6116576,1800,a864f410-34b2-4929-b716-995919a04bf1,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
9,2022-02-10 10:14:11,Lime,Lime // Hybrid (new+repeat loans),6116404,3000,0987cc38-be92-4d2d-853e-aca635d74998,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
10,2022-02-09 19:43:23,Lime,Lime // Hybrid (new+repeat loans),5989133,3000,ca33190e-4b27-4d8f-a732-71a08ad23768,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
11,2022-02-08 13:41:37,Lime,Lime // Hybrid (new+repeat loans),6074959,3000,924fa586-63cf-41fc-a766-218cbb213538,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
12,2022-02-08 10:18:58,Lime,Lime // Hybrid (new+repeat loans),6107000,3000,a5e266db-ff58-4e1f-8b19-f6095e8ef507,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
13,2022-02-07 08:59:21,Lime,Lime // Hybrid (new+repeat loans),6101945,1800,f759d97e-8990-48dc-a09b-48ed0278d32d,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
14,2022-02-06 18:34:17,Lime,Lime // Hybrid (new+repeat loans),6099486,3000,5ce5d90c-251c-4bc9-842b-8d27c31f3db7,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
15,2022-02-06 16:22:15,Lime,Lime // Hybrid (new+repeat loans),6071555,500,0fa998d4-9653-446d-bb8d-ad91a6f06997,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
16,2022-02-06 09:23:12,Lime,Lime // Hybrid (new+repeat loans),5940110,1800,57c3aab5-1bac-4224-9a2a-86c24156287d,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
17,2022-02-05 22:51:34,Lime,Lime // Hybrid (new+repeat loans),6096445,4500,fa64bca9-4174-4fa6-85ae-550a22788104,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
18,2022-02-05 14:58:41,Lime,Lime // Hybrid (new+repeat loans),6093960,1800,c03a5c05-5a52-4f3b-8c33-78dbad959064,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
19,2022-02-05 11:03:04,Lime,Lime // Hybrid (new+repeat loans),6093319,3000,4137a797-0c04-4c9f-aee1-5344357c1038,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
20,2022-02-04 10:56:39,Lime,Lime // Hybrid (new+repeat loans),6088735,3000,d0140906-c9db-4fd5-9c0b-ba811f90468e,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
21,2022-02-04 08:38:18,Lime,Lime // Hybrid (new+repeat loans),6088360,1800,703ae3fc-e025-4a96-9379-65cdc065c07c,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
22,2022-02-03 15:14:38,Lime,Lime // Hybrid (new+repeat loans),6085828,3000,343f0f44-2590-43c2-b672-f5be789aad14,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
23,2022-02-03 09:56:26,Lime,Lime // Hybrid (new+repeat loans),6084129,1800,950690a8-fe3c-4fa6-a030-36d61702fef4,,c048c550-17b1-4c80-a3bc-247fbd2d539e,FINOMEN
