,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 16:08:50,Lime,Lime // Hybrid (new+repeat loans),6140347,3000,zs,,,FINPUBLIC
1,2022-02-15 15:26:12,Lime,Lime // Hybrid (new+repeat loans),6140170,3000,,bus,,FINPUBLIC
2,2022-02-15 14:12:08,Lime,Lime // Hybrid (new+repeat loans),6077728,3000,zs,,,FINPUBLIC
3,2022-02-15 06:34:55,Lime,Lime // Hybrid (new+repeat loans),4798671,500,,bus,,FINPUBLIC
4,2022-02-14 22:03:00,Lime,Lime // Hybrid (new+repeat loans),6137514,3000,zs,,,FINPUBLIC
5,2022-02-14 21:06:27,Lime,Lime // Hybrid (new+repeat loans),6137339,3000,zs,,,FINPUBLIC
6,2022-02-14 18:41:32,Lime,Lime // Hybrid (new+repeat loans),6136858,3000,,bus,,FINPUBLIC
7,2022-02-14 18:38:02,Lime,Lime // Hybrid (new+repeat loans),5876281,3000,,bus,,FINPUBLIC
8,2022-02-14 13:48:50,Lime,Lime // Hybrid (new+repeat loans),6083227,500,,bus,,FINPUBLIC
9,2022-02-14 13:48:32,Lime,Lime // Hybrid (new+repeat loans),6134611,3000,,bus,,FINPUBLIC
10,2022-02-14 07:48:49,Lime,Lime // Hybrid (new+repeat loans),5552302,500,zs,,,FINPUBLIC
11,2022-02-14 07:32:12,Lime,Lime // Hybrid (new+repeat loans),6133867,3000,,,om,FINPUBLIC
12,2022-02-14 02:47:17,Lime,Lime // Hybrid (new+repeat loans),5842442,3000,,bus,,FINPUBLIC
13,2022-02-13 23:02:16,Lime,Lime // Hybrid (new+repeat loans),6133161,3000,,bus,,FINPUBLIC
14,2022-02-13 19:15:48,Lime,Lime // Hybrid (new+repeat loans),5883803,3000,zs,,,FINPUBLIC
15,2022-02-13 18:44:15,Lime,Lime // Hybrid (new+repeat loans),6131054,3000,,bus,,FINPUBLIC
16,2022-02-13 17:10:45,Lime,Lime // Hybrid (new+repeat loans),5898499,1800,zs,,,FINPUBLIC
17,2022-02-13 16:21:34,Lime,Lime // Hybrid (new+repeat loans),6131215,3000,,bus,,FINPUBLIC
18,2022-02-13 15:30:41,Lime,Lime // Hybrid (new+repeat loans),6128530,4500,,bus,,FINPUBLIC
19,2022-02-13 09:54:07,Lime,Lime // Hybrid (new+repeat loans),5510102,1800,,bus,,FINPUBLIC
20,2022-02-13 08:40:06,Lime,Lime // Hybrid (new+repeat loans),3068170,4500,,bus,,FINPUBLIC
21,2022-02-13 06:38:13,Lime,Lime // Hybrid (new+repeat loans),6018007,500,,bus,,FINPUBLIC
22,2022-02-12 23:36:16,Lime,Lime // Hybrid (new+repeat loans),5869869,500,,bus,,FINPUBLIC
23,2022-02-12 20:54:13,Lime,Lime // Hybrid (new+repeat loans),6128271,3000,,bus,,FINPUBLIC
24,2022-02-12 17:21:13,Lime,Lime // Hybrid (new+repeat loans),1276378,1800,,bus,,FINPUBLIC
25,2022-02-12 16:11:35,Lime,Lime // Hybrid (new+repeat loans),6070335,1800,zs,,,FINPUBLIC
26,2022-02-12 13:47:05,Lime,Lime // Hybrid (new+repeat loans),6126304,3000,,bus,,FINPUBLIC
27,2022-02-12 11:42:20,Lime,Lime // Hybrid (new+repeat loans),6125779,3000,zs,,,FINPUBLIC
28,2022-02-12 10:49:55,Lime,Lime // Hybrid (new+repeat loans),5918679,1800,,bus,,FINPUBLIC
29,2022-02-12 08:46:01,Lime,Lime // Hybrid (new+repeat loans),6125078,3000,,bus,,FINPUBLIC
30,2022-02-12 08:43:52,Lime,Lime // Hybrid (new+repeat loans),6125100,3000,,bus,,FINPUBLIC
31,2022-02-12 01:44:08,Lime,Lime // Hybrid (new+repeat loans),5683717,500,,bus,,FINPUBLIC
32,2022-02-11 22:53:51,Lime,Lime // Hybrid (new+repeat loans),6124249,1800,,bus,,FINPUBLIC
33,2022-02-11 19:11:26,Lime,Lime // Hybrid (new+repeat loans),6123526,4500,zs,,,FINPUBLIC
34,2022-02-11 14:47:48,Lime,Lime // Hybrid (new+repeat loans),6122476,3000,,bus,,FINPUBLIC
35,2022-02-11 11:41:45,Lime,Lime // Hybrid (new+repeat loans),6121605,3000,,bus,,FINPUBLIC
36,2022-02-11 10:12:25,Lime,Lime // Hybrid (new+repeat loans),6023051,500,,bus,,FINPUBLIC
37,2022-02-10 18:19:42,Lime,Lime // Hybrid (new+repeat loans),6119070,1800,zs,,,FINPUBLIC
38,2022-02-10 17:46:51,Lime,Lime // Hybrid (new+repeat loans),6118946,3000,,bus,,FINPUBLIC
39,2022-02-10 16:10:48,Lime,Lime // Hybrid (new+repeat loans),5942874,1800,,bus,,FINPUBLIC
40,2022-02-10 11:36:20,Lime,Lime // Hybrid (new+repeat loans),5968534,500,,bus,,FINPUBLIC
41,2022-02-10 11:10:24,Lime,Lime // Hybrid (new+repeat loans),6038637,500,,bus,,FINPUBLIC
42,2022-02-10 08:06:22,Lime,Lime // Hybrid (new+repeat loans),6116207,4500,,,om,FINPUBLIC
43,2022-02-09 21:03:05,Lime,Lime // Hybrid (new+repeat loans),5961043,4500,,bus,,FINPUBLIC
44,2022-02-09 19:28:51,Lime,Lime // Hybrid (new+repeat loans),3376170,1800,zs,,,FINPUBLIC
45,2022-02-09 17:17:48,Lime,Lime // Hybrid (new+repeat loans),5968101,1800,,bus,,FINPUBLIC
46,2022-02-09 14:16:37,Lime,Lime // Hybrid (new+repeat loans),6042495,500,zs,,,FINPUBLIC
47,2022-02-08 23:54:36,Lime,Lime // Hybrid (new+repeat loans),6085891,1800,,bus,,FINPUBLIC
48,2022-02-08 19:05:37,Lime,Lime // Hybrid (new+repeat loans),6109846,4500,zs,,,FINPUBLIC
49,2022-02-08 18:03:38,Lime,Lime // Hybrid (new+repeat loans),6109526,3000,,bus,,FINPUBLIC
50,2022-02-08 16:13:57,Lime,Lime // Hybrid (new+repeat loans),6108972,3000,,bus,,FINPUBLIC
51,2022-02-08 15:08:48,Lime,Lime // Hybrid (new+repeat loans),6108653,1800,,,om,FINPUBLIC
52,2022-02-08 13:51:27,Lime,Lime // Hybrid (new+repeat loans),5943428,1800,,bus,,FINPUBLIC
53,2022-02-08 13:02:59,Lime,Lime // Hybrid (new+repeat loans),6107805,3000,,bus,,FINPUBLIC
54,2022-02-08 12:52:12,Lime,Lime // Hybrid (new+repeat loans),5953042,500,,bus,,FINPUBLIC
55,2022-02-08 12:33:19,Lime,Lime // Hybrid (new+repeat loans),6107697,3000,zs,,,FINPUBLIC
56,2022-02-08 09:07:30,Lime,Lime // Hybrid (new+repeat loans),6106748,3000,,bus,,FINPUBLIC
57,2022-02-07 21:53:15,Lime,Lime // Hybrid (new+repeat loans),5951419,3000,,bus,,FINPUBLIC
58,2022-02-07 17:01:06,Lime,Lime // Hybrid (new+repeat loans),3680824,3000,,bus,,FINPUBLIC
59,2022-02-07 14:43:36,Lime,Lime // Hybrid (new+repeat loans),6103716,1800,zs,,,FINPUBLIC
60,2022-02-07 14:36:58,Lime,Lime // Hybrid (new+repeat loans),6103713,3000,zs,,,FINPUBLIC
61,2022-02-07 13:52:08,Lime,Lime // Hybrid (new+repeat loans),6095130,1800,,bus,,FINPUBLIC
62,2022-02-07 12:26:23,Lime,Lime // Hybrid (new+repeat loans),3617288,3000,zs,,,FINPUBLIC
63,2022-02-07 09:37:49,Lime,Lime // Hybrid (new+repeat loans),6032596,4500,,bus,,FINPUBLIC
64,2022-02-07 01:46:10,Lime,Lime // Hybrid (new+repeat loans),6100040,3000,,,om,FINPUBLIC
65,2022-02-06 23:19:57,Lime,Lime // Hybrid (new+repeat loans),6101200,4500,,bus,,FINPUBLIC
66,2022-02-06 22:05:10,Lime,Lime // Hybrid (new+repeat loans),6100603,3000,,bus,,FINPUBLIC
67,2022-02-06 19:15:50,Lime,Lime // Hybrid (new+repeat loans),6100542,4500,,bus,,FINPUBLIC
68,2022-02-06 18:47:10,Konga,Konga // Hybrid (new+repeat loans),2052683,2400,,,om,FINPUBLIC
69,2022-02-06 16:56:53,Lime,Lime // Hybrid (new+repeat loans),6099938,3000,,bus,,FINPUBLIC
70,2022-02-06 12:48:31,Lime,Lime // Hybrid (new+repeat loans),6098558,1800,,,om,FINPUBLIC
71,2022-02-06 06:53:26,Lime,Lime // Hybrid (new+repeat loans),5246937,4500,,bus,,FINPUBLIC
72,2022-02-05 20:21:25,Konga,Konga // Hybrid (new+repeat loans),2050778,2400,zs,,,FINPUBLIC
73,2022-02-05 20:14:41,Lime,Lime // Hybrid (new+repeat loans),6095673,3000,,bus,,FINPUBLIC
74,2022-02-05 17:02:47,Lime,Lime // Hybrid (new+repeat loans),5415434,1800,,bus,,FINPUBLIC
75,2022-02-05 16:50:47,Lime,Lime // Hybrid (new+repeat loans),6095104,3000,,,om,FINPUBLIC
76,2022-02-05 16:32:24,Lime,Lime // Hybrid (new+repeat loans),6094999,4500,,bus,,FINPUBLIC
77,2022-02-05 13:47:07,Lime,Lime // Hybrid (new+repeat loans),6086320,3000,,bus,,FINPUBLIC
78,2022-02-05 11:25:15,Lime,Lime // Hybrid (new+repeat loans),5463949,3000,,bus,,FINPUBLIC
79,2022-02-05 10:54:50,Lime,Lime // Hybrid (new+repeat loans),6093273,1800,zs,,,FINPUBLIC
80,2022-02-05 09:11:04,Lime,Lime // Hybrid (new+repeat loans),5998502,3000,,bus,,FINPUBLIC
81,2022-02-05 07:27:59,Konga,Konga // Hybrid (new+repeat loans),1815523,300,,,,FINPUBLIC
82,2022-02-04 20:21:29,Lime,Lime // Hybrid (new+repeat loans),3509467,500,,bus,,FINPUBLIC
83,2022-02-04 19:45:48,Lime,Lime // Hybrid (new+repeat loans),6091423,3000,,bus,,FINPUBLIC
84,2022-02-04 16:58:10,Lime,Lime // Hybrid (new+repeat loans),5655683,500,,bus,,FINPUBLIC
85,2022-02-04 16:51:10,Lime,Lime // Hybrid (new+repeat loans),6062803,4500,,bus,,FINPUBLIC
86,2022-02-04 15:43:54,Lime,Lime // Hybrid (new+repeat loans),5570965,1800,,bus,,FINPUBLIC
87,2022-02-03 23:37:41,Lime,Lime // Hybrid (new+repeat loans),5934992,3000,zs,,,FINPUBLIC
88,2022-02-03 17:15:32,Lime,Lime // Hybrid (new+repeat loans),5006545,3000,,bus,,FINPUBLIC
89,2022-02-03 16:56:26,Lime,Lime // Hybrid (new+repeat loans),5772543,1800,zs,,,FINPUBLIC
90,2022-02-03 16:55:47,Konga,Konga // Hybrid (new+repeat loans),1747206,300,,,,FINPUBLIC
91,2022-02-03 14:08:59,Konga,Konga // Hybrid (new+repeat loans),2047502,2400,,,om,FINPUBLIC
92,2022-02-03 13:43:26,Lime,Lime // Hybrid (new+repeat loans),6085336,4500,,bus,,FINPUBLIC
93,2022-02-03 11:59:13,Lime,Lime // Hybrid (new+repeat loans),5946235,500,,,om,FINPUBLIC
94,2022-02-03 11:18:33,Lime,Lime // Hybrid (new+repeat loans),6021852,1800,zs,,,FINPUBLIC
95,2022-02-03 10:46:16,Lime,Lime // Hybrid (new+repeat loans),5801131,1800,,,om,FINPUBLIC
96,2022-02-03 08:47:51,Lime,Lime // Hybrid (new+repeat loans),4066332,500,,bus,,FINPUBLIC
97,2022-02-02 23:19:53,Lime,Lime // Hybrid (new+repeat loans),6083227,4500,,bus,,FINPUBLIC
98,2022-02-02 20:10:49,Lime,Lime // Hybrid (new+repeat loans),2998214,3000,,bus,,FINPUBLIC
99,2022-02-02 17:58:47,Lime,Lime // Hybrid (new+repeat loans),6082034,4500,zs,,,FINPUBLIC
100,2022-02-02 17:25:31,Lime,Lime // Hybrid (new+repeat loans),6081891,3000,zs,,,FINPUBLIC
101,2022-02-02 16:52:24,Lime,Lime // Hybrid (new+repeat loans),5511338,500,,bus,,FINPUBLIC
102,2022-02-02 16:02:43,Lime,Lime // Hybrid (new+repeat loans),5633933,1800,zs,,,FINPUBLIC
103,2022-02-02 15:19:41,Lime,Lime // Hybrid (new+repeat loans),5885936,4500,zs,,,FINPUBLIC
104,2022-02-02 11:51:04,Lime,Lime // Hybrid (new+repeat loans),6079969,1800,,bus,,FINPUBLIC
105,2022-02-02 11:05:53,Lime,Lime // Hybrid (new+repeat loans),5747709,1800,,bus,,FINPUBLIC
106,2022-02-02 03:47:37,Lime,Lime // Hybrid (new+repeat loans),6078828,3000,,,om,FINPUBLIC
107,2022-02-02 00:28:05,Lime,Lime // Hybrid (new+repeat loans),5538575,4500,,bus,,FINPUBLIC
108,2022-02-01 23:57:28,Lime,Lime // Hybrid (new+repeat loans),6078494,3000,,bus,,FINPUBLIC
109,2022-02-01 22:54:00,Lime,Lime // Hybrid (new+repeat loans),5920935,4500,,bus,,FINPUBLIC
110,2022-02-01 21:40:21,Lime,Lime // Hybrid (new+repeat loans),5811563,3000,,bus,,FINPUBLIC
111,2022-02-01 21:12:50,Lime,Lime // Hybrid (new+repeat loans),6078136,3000,zs,,,FINPUBLIC
112,2022-02-01 18:44:23,Lime,Lime // Hybrid (new+repeat loans),6077549,4500,,bus,,FINPUBLIC
113,2022-02-01 17:50:58,Lime,Lime // Hybrid (new+repeat loans),5017293,3000,,bus,,FINPUBLIC
114,2022-02-01 16:11:18,Lime,Lime // Hybrid (new+repeat loans),6076849,3000,,bus,,FINPUBLIC
115,2022-02-01 15:43:58,Lime,Lime // Hybrid (new+repeat loans),6075946,3000,,,om,FINPUBLIC
116,2022-02-01 13:06:20,Lime,Lime // Hybrid (new+repeat loans),6075850,1800,zs,,,FINPUBLIC
117,2022-02-01 11:18:53,Lime,Lime // Hybrid (new+repeat loans),5347949,500,,bus,,FINPUBLIC
118,2022-02-01 10:34:30,Lime,Lime // Hybrid (new+repeat loans),5930365,1800,,bus,,FINPUBLIC
119,2022-02-01 09:59:25,Lime,Lime // Hybrid (new+repeat loans),6074814,3000,,bus,,FINPUBLIC
120,2022-02-01 08:00:01,Konga,Konga // Hybrid (new+repeat loans),1815523,2400,,,,FINPUBLIC
121,2022-02-01 07:43:12,Lime,Lime // Hybrid (new+repeat loans),5845212,500,,bus,,FINPUBLIC
