,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 14:30:21,Lime,Lime // Hybrid (new+repeat loans),5029475,500,2,,,GOODAFF
1,2022-02-15 14:23:19,Lime,Lime // Hybrid (new+repeat loans),6139990,1800,2,,,GOODAFF
2,2022-02-15 10:27:29,Lime,Lime // Hybrid (new+repeat loans),6073404,500,2,,,GOODAFF
3,2022-02-14 12:39:23,Lime,Lime // Hybrid (new+repeat loans),6118444,4500,2,,,GOODAFF
4,2022-02-13 18:30:12,Lime,Lime // Hybrid (new+repeat loans),5826947,3000,2,,,GOODAFF
5,2022-02-13 16:46:35,Lime,Lime // Hybrid (new+repeat loans),6131830,4500,2,,,GOODAFF
6,2022-02-13 16:25:39,Lime,Lime // Hybrid (new+repeat loans),5809883,3000,2,,,GOODAFF
7,2022-02-13 15:32:34,Lime,Lime // Hybrid (new+repeat loans),6105744,4500,2,,,GOODAFF
8,2022-02-12 13:59:22,Lime,Lime // Hybrid (new+repeat loans),6126368,3000,2,,,GOODAFF
9,2022-02-11 23:32:07,Lime,Lime // Hybrid (new+repeat loans),5532302,1800,2,,,GOODAFF
10,2022-02-11 23:06:30,Lime,Lime // Hybrid (new+repeat loans),6013241,500,2,,,GOODAFF
11,2022-02-11 22:35:02,Lime,Lime // Hybrid (new+repeat loans),6046256,500,2,,,GOODAFF
12,2022-02-11 13:10:06,Lime,Lime // Hybrid (new+repeat loans),5290071,500,2,,,GOODAFF
13,2022-02-11 11:01:04,Lime,Lime // Hybrid (new+repeat loans),5080774,1800,2,,,GOODAFF
14,2022-02-11 10:46:59,Lime,Lime // Hybrid (new+repeat loans),6121310,3000,2,,,GOODAFF
15,2022-02-11 09:50:40,Lime,Lime // Hybrid (new+repeat loans),5837755,500,2,,,GOODAFF
16,2022-02-11 05:25:18,Lime,Lime // Hybrid (new+repeat loans),6120504,4500,2,,,GOODAFF
17,2022-02-10 10:49:57,Konga,Konga // Hybrid (new+repeat loans),gaff_test,800,2,,,GOODAFF
18,2022-02-10 10:20:50,Lime,Lime // Hybrid (new+repeat loans),5804901,1800,2,,,GOODAFF
19,2022-02-10 08:24:24,Lime,Lime // Hybrid (new+repeat loans),6086644,500,2,,,GOODAFF
20,2022-02-10 04:55:30,Lime,Lime // Hybrid (new+repeat loans),6115943,4500,2,,,GOODAFF
21,2022-02-09 23:57:57,Lime,Lime // Hybrid (new+repeat loans),6115518,3000,2,,,GOODAFF
22,2022-02-09 15:39:16,Lime,Lime // Hybrid (new+repeat loans),3011532,1800,2,,,GOODAFF
23,2022-02-09 15:25:38,Lime,Lime // Hybrid (new+repeat loans),6089474,500,2,,,GOODAFF
24,2022-02-09 14:05:38,Lime,Lime // Hybrid (new+repeat loans),5005739,500,2,,,GOODAFF
25,2022-02-09 13:55:14,Lime,Lime // Hybrid (new+repeat loans),5560914,1800,2,,,GOODAFF
26,2022-02-09 12:00:00,Lime,Lime // Hybrid (new+repeat loans),4153509,4500,2,,,GOODAFF
27,2022-02-09 05:56:49,Lime,Lime // Hybrid (new+repeat loans),4986274,3000,2,,,GOODAFF
28,2022-02-08 23:35:19,Lime,Lime // Hybrid (new+repeat loans),5341262,500,2,,,GOODAFF
29,2022-02-08 20:18:22,Lime,Lime // Hybrid (new+repeat loans),5855097,1800,2,,,GOODAFF
30,2022-02-08 17:26:37,Lime,Lime // Hybrid (new+repeat loans),6083395,500,2,,,GOODAFF
31,2022-02-08 17:18:22,Lime,Lime // Hybrid (new+repeat loans),6109116,3000,2,,,GOODAFF
