,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 16:24:57,Lime,Lime // Hybrid (new+repeat loans),6140553,4200,0a583312c2a02e4ccbdbc6219567aaf1,,1430,GURU
1,2022-02-15 16:17:26,Lime,Lime // Hybrid (new+repeat loans),6140433,4200,869868ea313a5ded9f621b5d7271c582,,2024,GURU
2,2022-02-15 15:55:34,Lime,Lime // Hybrid (new+repeat loans),6140428,4200,9b2c965bc8086f71d0c52dc776ff1098,,1529,GURU
3,2022-02-15 15:37:59,Lime,Lime // Hybrid (new+repeat loans),6140324,4200,c7c58852a3d0aaedaf87adce80102988,,1529,GURU
4,2022-02-15 15:34:44,Lime,Lime // Hybrid (new+repeat loans),6140222,3000,bc30d40dd2674d9fc40eb18d7daf93d5,,1501,GURU
5,2022-02-15 15:32:04,Lime,Lime // Hybrid (new+repeat loans),5437648,4000,4eaf4898b5097c55f5582cca60dc82ca,,2149,GURU
6,2022-02-15 15:28:43,Lime,Lime // Hybrid (new+repeat loans),6140280,4200,2b1b8439ffb378dfe99583cc109ec539,,16,GURU
7,2022-02-15 15:21:34,Lime,Lime // Hybrid (new+repeat loans),5915394,4000,80bec54a90418690649dc0eae64d7503,,2149,GURU
8,2022-02-15 15:20:55,Konga,Konga // Hybrid (new+repeat loans),1959135,2400,2d0f304f86a6847d3b97e7df28032769,,1529,GURU
9,2022-02-15 15:13:19,Lime,Lime // Hybrid (new+repeat loans),6137926,4200,164f5184c2fa3e330456ac30d8bfc19d,,1430,GURU
10,2022-02-15 15:05:57,Konga,Konga // Hybrid (new+repeat loans),1998353,2400,fbe687dad5247d330973a410bf86f227,,1529,GURU
11,2022-02-15 14:52:03,Lime,Lime // Hybrid (new+repeat loans),6140128,3800,3423c9660b3ba3856347372f1c89a6f7,,3563,GURU
12,2022-02-15 14:46:12,Lime,Lime // Hybrid (new+repeat loans),6122571,4200,33df8ca1a6dd6727864f0dc35d9c1537,,16,GURU
13,2022-02-15 14:41:42,Lime,Lime // Hybrid (new+repeat loans),6140093,4000,b38a5b54304928130d491c28a9d90ee4,,2149,GURU
14,2022-02-15 14:40:40,Lime,Lime // Hybrid (new+repeat loans),6140095,4200,3173aaabae5ad59ee28257dc36590a21,,16,GURU
15,2022-02-15 14:31:13,Lime,Lime // Hybrid (new+repeat loans),6020779,4000,5b61510140020ede2ca07a9bda4f2a7c,,2149,GURU
16,2022-02-15 14:23:54,Lime,Lime // Hybrid (new+repeat loans),6140018,4200,17a573ecea6d4c113b0c866f51d9fe5e,,1430,GURU
17,2022-02-15 14:10:50,Lime,Lime // Hybrid (new+repeat loans),5929911,4000,1097324b1aa94f481a6743445479cd37,,2764,GURU
18,2022-02-15 13:50:32,Lime,Lime // Hybrid (new+repeat loans),5479981,4200,c5e6c32c51278185542592f81eb49634,,2024,GURU
19,2022-02-15 13:47:37,Lime,Lime // Hybrid (new+repeat loans),5239987,4200,81be091d345c8156f244ed9857fa88d7,,1529,GURU
20,2022-02-15 13:46:32,Lime,Lime // Hybrid (new+repeat loans),5662452,500,1d42e81768e10e9c2d311b2a31c06a85,,666,GURU
21,2022-02-15 13:45:12,Lime,Lime // Hybrid (new+repeat loans),6139762,4000,ca5575c863bc2ea2e9ace049f1640473,,2149,GURU
22,2022-02-15 13:40:53,Lime,Lime // Hybrid (new+repeat loans),4365315,4200,fe30590553221c271c0c97ec90933aed,,16,GURU
23,2022-02-15 13:40:48,Lime,Lime // Hybrid (new+repeat loans),4698573,4200,7b8941f665360c9cb58a9ce0f7f15919,,1529,GURU
24,2022-02-15 13:15:33,Lime,Lime // Hybrid (new+repeat loans),6139680,4000,52cfa9634da3cca1e190e6ba6f79f4fb,,2149,GURU
25,2022-02-15 13:10:44,Lime,Lime // Hybrid (new+repeat loans),6139630,4000,f7e3dacd28e6c0286d4584644d1b96aa,,2149,GURU
26,2022-02-15 13:04:36,Konga,Konga // Hybrid (new+repeat loans),2061306,2400,5aabf8a3e041c631845a5ef7ea4a286e,,1529,GURU
27,2022-02-15 12:53:52,Lime,Lime // Hybrid (new+repeat loans),2809890,4200,c6ecdd9f3b926482ae21d5542f2302b9,,1529,GURU
28,2022-02-15 12:49:52,Lime,Lime // Hybrid (new+repeat loans),6139589,4200,08930d13cb08bbf1d38f3a7f78a88d44,,1529,GURU
29,2022-02-15 12:43:47,Lime,Lime // Hybrid (new+repeat loans),6135919,4000,ec3e2524ead5738d5c6be4878ae0bd38,,2764,GURU
30,2022-02-15 12:27:29,Lime,Lime // Hybrid (new+repeat loans),6139475,1800,ad47d0a4028e9dab9f16f262c991524b,,1804,GURU
31,2022-02-15 12:21:44,Lime,Lime // Hybrid (new+repeat loans),6139441,4000,33ff4b7dbc8f650fb3837e9e9a409147,,2149,GURU
32,2022-02-15 12:19:09,Konga,Konga // Hybrid (new+repeat loans),2060727,2400,6edfc49886ed9ec3968271ca711c0833,,1529,GURU
33,2022-02-15 12:04:55,Lime,Lime // Hybrid (new+repeat loans),4085953,4200,ec48100b4f1e85ecd298c23e093d4d13,,2024,GURU
34,2022-02-15 11:55:45,Lime,Lime // Hybrid (new+repeat loans),5974145,4000,eec4af6ead7c9327fc515dc8f9d38316,,3614,GURU
35,2022-02-15 11:47:15,Lime,Lime // Hybrid (new+repeat loans),6139272,4200,9517e24eced010d5499c3d67d8152476,,16,GURU
36,2022-02-15 11:34:22,Lime,Lime // Hybrid (new+repeat loans),4539447,4200,78f60377f6442061aedb277e025145d0,,2024,GURU
37,2022-02-15 11:33:39,Lime,Lime // Hybrid (new+repeat loans),6139030,4200,ee4db3870778232a45a34971b0f40fd8,,1430,GURU
38,2022-02-15 11:30:58,Lime,Lime // Hybrid (new+repeat loans),6092620,500,a956d64f8b3a03226bf79bdf89b66ef8,,16,GURU
39,2022-02-15 11:24:26,Lime,Lime // Hybrid (new+repeat loans),6139157,1800,3daeaad1f4fb7195cc4e91f5f746d612,,2240,GURU
40,2022-02-15 11:21:33,Lime,Lime // Hybrid (new+repeat loans),6139160,4000,943f907a5e0819300b3bb6a90866dc5d,,2149,GURU
41,2022-02-15 11:20:15,Lime,Lime // Hybrid (new+repeat loans),5929150,4000,0ff3aa2d354e8aa7e23941894cc6f354,,666,GURU
