,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 10:53:34,Lime,Lime // Hybrid (new+repeat loans),4921892,500,9E1vbb,,,KIPNET
1,2022-02-15 07:30:04,Lime,Lime // Hybrid (new+repeat loans),5852356,500,CbKvbb,,,KIPNET
2,2022-02-14 22:44:51,Konga,Konga // Hybrid (new+repeat loans),1765507,2400,tyvwbb,,,KIPNET
3,2022-02-14 22:32:13,Konga,Konga // Hybrid (new+repeat loans),2065727,2400,4xvwbb,,,KIPNET
4,2022-02-14 21:12:51,Lime,Lime // Hybrid (new+repeat loans),5437145,500,CDKvbb,,,KIPNET
5,2022-02-14 21:04:46,Lime,Lime // Hybrid (new+repeat loans),6134302,3000,HK7vbb,,,KIPNET
6,2022-02-14 20:47:59,Lime,Lime // Hybrid (new+repeat loans),5601615,500,pkRubb,,,KIPNET
7,2022-02-14 18:18:55,Konga,Konga // Hybrid (new+repeat loans),2059639,2400,phPubb,,,KIPNET
8,2022-02-14 16:24:33,Lime,Lime // Hybrid (new+repeat loans),4109973,500,2U7vbb,,,KIPNET
9,2022-02-14 15:37:20,Lime,Lime // Hybrid (new+repeat loans),6122878,3000,Q4lvbb,,,KIPNET
10,2022-02-14 15:23:56,Lime,Lime // Hybrid (new+repeat loans),5871507,1800,WC1vbb,,,KIPNET
11,2022-02-14 14:05:22,Lime,Lime // Hybrid (new+repeat loans),5844210,500,vQ2vbb,,,KIPNET
12,2022-02-14 14:04:49,Lime,Lime // Hybrid (new+repeat loans),6040353,500,AK2vbb,,,KIPNET
13,2022-02-14 14:00:08,Lime,Lime // Hybrid (new+repeat loans),6094540,500,et1vbb,,,KIPNET
14,2022-02-14 13:37:42,Lime,Lime // Hybrid (new+repeat loans),5326516,500,7lsvbb,,,KIPNET
15,2022-02-14 12:58:14,Lime,Lime // Hybrid (new+repeat loans),5955027,3000,9Z0ubb,,,KIPNET
16,2022-02-14 10:12:17,Lime,Lime // Hybrid (new+repeat loans),6053007,500,eF1vbb,,,KIPNET
17,2022-02-14 09:05:54,Lime,Lime // Hybrid (new+repeat loans),6014837,500,UY0vbb,,,KIPNET
18,2022-02-14 09:05:45,Lime,Lime // Hybrid (new+repeat loans),5859555,500,jt2vbb,,,KIPNET
19,2022-02-14 08:21:57,Lime,Lime // Hybrid (new+repeat loans),6134012,3000,MO0vbb,,,KIPNET
20,2022-02-14 08:08:19,Lime,Lime // Hybrid (new+repeat loans),5786781,500,rM0vbb,,,KIPNET
21,2022-02-14 00:08:54,Lime,Lime // Hybrid (new+repeat loans),5838989,500,2r1vbb,,,KIPNET
22,2022-02-13 20:56:06,Lime,Lime // Hybrid (new+repeat loans),6132840,4500,RF7vbb,,,KIPNET
23,2022-02-13 19:40:44,Konga,Konga // Hybrid (new+repeat loans),1880971,2400,kE7vbb,,,KIPNET
24,2022-02-13 19:09:35,Lime,Lime // Hybrid (new+repeat loans),6130042,3000,eT0vbb,,,KIPNET
25,2022-02-13 18:07:08,Lime,Lime // Hybrid (new+repeat loans),6132265,3000,SN0vbb,,,KIPNET
26,2022-02-13 17:51:12,Lime,Lime // Hybrid (new+repeat loans),6058818,4500,7W1vbb,,,KIPNET
27,2022-02-13 17:42:51,Lime,Lime // Hybrid (new+repeat loans),5990322,1800,Ry2vbb,,,KIPNET
28,2022-02-13 17:35:21,Lime,Lime // Hybrid (new+repeat loans),5916099,3000,Rz0vbb,,,KIPNET
29,2022-02-13 14:30:05,Lime,Lime // Hybrid (new+repeat loans),6045634,500,MfKvbb,,,KIPNET
30,2022-02-13 12:40:53,Lime,Lime // Hybrid (new+repeat loans),5992051,3000,ApKvbb,,,KIPNET
31,2022-02-13 12:34:11,Lime,Lime // Hybrid (new+repeat loans),5537212,1800,tSKvbb,,,KIPNET
32,2022-02-13 12:25:35,Lime,Lime // Hybrid (new+repeat loans),5181407,500,BBpibb,,,KIPNET
33,2022-02-13 10:35:57,Lime,Lime // Hybrid (new+repeat loans),5802802,3000,QZhsbb,,,KIPNET
34,2022-02-13 09:46:14,Konga,Konga // Hybrid (new+repeat loans),1993553,2400,1osvbb,,,KIPNET
35,2022-02-13 08:52:40,Lime,Lime // Hybrid (new+repeat loans),5942281,500,Ajkhbb,,,KIPNET
36,2022-02-13 06:05:23,Lime,Lime // Hybrid (new+repeat loans),5214138,500,Bnisbb,,,KIPNET
37,2022-02-12 20:14:06,Lime,Lime // Hybrid (new+repeat loans),5868471,3000,25Kvbb,,,KIPNET
38,2022-02-12 17:22:35,Lime,Lime // Hybrid (new+repeat loans),6127397,4500,A6Jvbb,,,KIPNET
39,2022-02-12 08:49:05,Konga,Konga // Hybrid (new+repeat loans),2061224,2400,6o6ubb,,,KIPNET
40,2022-02-12 03:55:29,Lime,Lime // Hybrid (new+repeat loans),6120947,4500,PU5ubb,,,KIPNET
41,2022-02-11 19:17:52,Konga,Konga // Hybrid (new+repeat loans),2061249,2400,7Uovbb,,,KIPNET
42,2022-02-11 17:58:08,Lime,Lime // Hybrid (new+repeat loans),5857545,500,Uiptbb,,,KIPNET
43,2022-02-11 16:10:44,Konga,Konga // Hybrid (new+repeat loans),1958747,2400,q47ubb,,,KIPNET
44,2022-02-11 15:06:28,Lime,Lime // Hybrid (new+repeat loans),2904423,1800,wXfubb,,,KIPNET
45,2022-02-11 14:53:32,Lime,Lime // Hybrid (new+repeat loans),5920715,500,p2Pkbb,,,KIPNET
46,2022-02-11 12:17:33,Konga,Konga // Hybrid (new+repeat loans),1985157,300,Xdnubb,,,KIPNET
47,2022-02-11 11:11:35,Lime,Lime // Hybrid (new+repeat loans),6121386,3000,ql6ubb,,,KIPNET
48,2022-02-11 09:11:05,Konga,Konga // Hybrid (new+repeat loans),1975023,300,Zfnubb,,,KIPNET
49,2022-02-11 06:07:52,Konga,Konga // Hybrid (new+repeat loans),2059584,2400,hlHubb,,,KIPNET
50,2022-02-11 02:31:33,Lime,Lime // Hybrid (new+repeat loans),5173536,3000,hGGlbb,,,KIPNET
51,2022-02-11 01:50:54,Lime,Lime // Hybrid (new+repeat loans),5483336,500,f5kibb,,,KIPNET
