,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 13:37:40,Lime,Lime // Hybrid (new+repeat loans),6117110,500,2dtn02vfnbt0,,,KOSMOS
1,2022-02-15 12:01:13,Lime,Lime // Hybrid (new+repeat loans),6061564,500,2jmvt58fifpm,,,KOSMOS
2,2022-02-15 11:14:12,Lime,Lime // Hybrid (new+repeat loans),6081839,3000,sd4p4rg03q8,,,KOSMOS
3,2022-02-14 20:38:55,Lime,Lime // Hybrid (new+repeat loans),6101344,500,38dr43sfj922,,,KOSMOS
4,2022-02-14 16:11:27,Lime,Lime // Hybrid (new+repeat loans),6130584,4500,20hsmr9fc0pm,,,KOSMOS
5,2022-02-14 15:56:31,Lime,Lime // Hybrid (new+repeat loans),6119478,500,3hkv2e3fnvf6,,,KOSMOS
6,2022-02-14 15:24:02,Lime,Lime // Hybrid (new+repeat loans),6135768,3000,f8fpqcfv4pn,,,KOSMOS
7,2022-02-14 14:07:11,Lime,Lime // Hybrid (new+repeat loans),6124007,1800,1b8cbjafpg3q,,,KOSMOS
8,2022-02-14 07:52:22,Lime,Lime // Hybrid (new+repeat loans),5809223,3000,18po94tftj67,,,KOSMOS
9,2022-02-13 20:16:49,Lime,Lime // Hybrid (new+repeat loans),6132729,3000,lkthj2ft9sc,,,KOSMOS
10,2022-02-13 16:58:08,Lime,Lime // Hybrid (new+repeat loans),6117432,3000,26p57lcfngbr,,,KOSMOS
11,2022-02-13 11:07:53,Lime,Lime // Hybrid (new+repeat loans),6130084,3000,1j9nolcfrloq,,,KOSMOS
12,2022-02-12 21:24:00,Lime,Lime // Hybrid (new+repeat loans),5973415,500,37qgvbne6k8n,,,KOSMOS
13,2022-02-12 17:46:19,Lime,Lime // Hybrid (new+repeat loans),5995844,500,3mvqn2tee9h7,,,KOSMOS
14,2022-02-12 10:50:27,Lime,Lime // Hybrid (new+repeat loans),6099702,500,vfn1tofivq5,,,KOSMOS
15,2022-02-11 15:18:00,Lime,Lime // Hybrid (new+repeat loans),5986595,500,3hf7beeea1on,,,KOSMOS
16,2022-02-11 14:51:15,Lime,Lime // Hybrid (new+repeat loans),6122281,3000,3hlj047fp1n3,,,KOSMOS
17,2022-02-11 14:17:18,Lime,Lime // Hybrid (new+repeat loans),5383915,3000,2se5idgfp1ih,,,KOSMOS
18,2022-02-11 13:49:59,Lime,Lime // Hybrid (new+repeat loans),6122219,3000,n21ogefp08r,,,KOSMOS
19,2022-02-11 12:33:55,Lime,Lime // Hybrid (new+repeat loans),6113775,3000,1qbvt3kfmelk,,,KOSMOS
20,2022-02-11 12:33:47,Lime,Lime // Hybrid (new+repeat loans),6073706,1800,5uv7mofna8u,,,KOSMOS
21,2022-02-11 12:01:55,Lime,Lime // Hybrid (new+repeat loans),6121533,4500,biooa3fogp7,,,KOSMOS
22,2022-02-11 11:17:49,Lime,Lime // Hybrid (new+repeat loans),6121505,3000,12gsdtgfogcs,,,KOSMOS
23,2022-02-11 10:28:25,Lime,Lime // Hybrid (new+repeat loans),6119478,1800,3hkv2e3fnvf6,,,KOSMOS
