,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 16:09:26,Konga,Konga CPA,2066881,2400,,29,409059645b0a49bb880640f8acaade3f,LEADSTECH
1,2022-02-15 15:50:47,Lime,Lime // Hybrid (new+repeat loans),6023746,500,b4c4afe9954d4c169a0244d182d8da39,,17,LEADSTECH
2,2022-02-15 15:44:14,Konga,Konga CPA,2066861,2400,,,cc4724b450fe443a89b133bc55308731,LEADSTECH
3,2022-02-15 15:34:24,Lime,Lime // Hybrid (new+repeat loans),5962184,1800,bc23e18270bb47e9800f324e3ab9b648,,17,LEADSTECH
4,2022-02-15 14:40:35,Lime,Lime // Hybrid (new+repeat loans),5419895,1800,be0c9edea849490fa321397546dace32,,99,LEADSTECH
5,2022-02-15 14:04:53,Lime,Lime // Hybrid (new+repeat loans),6139931,3000,aa43fd3101f748b49f6d19377dd3bde3,,8,LEADSTECH
6,2022-02-15 14:00:46,Lime,Lime // Hybrid (new+repeat loans),6069548,4500,c1a6b68cc75a44f3a9c86062f80e0b2f,,8,LEADSTECH
7,2022-02-15 14:00:41,Lime,Lime // Hybrid (new+repeat loans),3334250,500,ab6e33a3ebf146fbb2a05f05cc38f1cb,,150,LEADSTECH
8,2022-02-15 13:52:23,Konga,Konga CPA,1939959,2400,,13LC5,cea3d8d889274d6d89a61024ecacce39,LEADSTECH
9,2022-02-15 13:50:04,Konga,Konga CPA,2058717,2400,,vot,da881ebe7d5e4f84b21740e6b3da7b8e,LEADSTECH
10,2022-02-15 13:34:58,Konga,Konga CPA,2066521,2400,,26,e232194203b441a6a0f783218a81d7ba,LEADSTECH
11,2022-02-15 13:23:00,Lime,Lime // Hybrid (new+repeat loans),5419464,1800,e5c405b326d44a91a8e9df00a58b1e83,,25,LEADSTECH
12,2022-02-15 12:43:18,Lime,Lime // Hybrid (new+repeat loans),4855302,500,4cef9e61edfb4817982d73e36e4a962a,,8,LEADSTECH
13,2022-02-15 12:32:08,Lime,Lime // Hybrid (new+repeat loans),5939798,1800,bf1bb602a2744bdda6392b7a6d982c07,,17,LEADSTECH
14,2022-02-15 11:15:54,Lime,Lime // Hybrid (new+repeat loans),6032714,500,f0a3b3a2ab5440109512ddd603d0ff33,,17,LEADSTECH
15,2022-02-15 10:57:11,Konga,Konga CPA,2066368,2400,,cashr-tb,54a7a420204644308135e2009bdf9ae8,LEADSTECH
16,2022-02-15 10:48:46,Lime,Lime // Hybrid (new+repeat loans),5951177,1800,23b968e8b8a84f4bba2f018a377e5adf,,13,LEADSTECH
