,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 15:03:02,Konga,Konga // Hybrid (new+repeat loans),2066715,2400,88de9501-04f9-4c08-b3c4-616510441ffe,,795,LEADTARGET
1,2022-02-15 14:31:55,Konga,Konga // Hybrid (new+repeat loans),2062211,2400,3c014fbc-a1f9-4d5d-a009-d081aaf9807b,,789,LEADTARGET
2,2022-02-15 13:42:56,Konga,Konga // Hybrid (new+repeat loans),2066551,2400,cbc90ecb-217e-4772-a597-eda2800346d8,,1380,LEADTARGET
3,2022-02-15 12:48:03,Lime,Lime // Hybrid (new+repeat loans),5850433,1800,3a5a4e0f-8bb2-48a3-9c2d-52757893e024,,843,LEADTARGET
4,2022-02-15 11:11:50,Lime,Lime // Hybrid (new+repeat loans),6139004,3000,5dc225e5-02c4-402f-9af3-4f87b39a7c09,,1496,LEADTARGET
5,2022-02-15 10:52:26,Konga,Konga // Hybrid (new+repeat loans),1940831,300,03e96b6a-611b-475d-bc02-d61ac5e46e0f,,789,LEADTARGET
6,2022-02-15 09:40:08,Lime,Lime // Hybrid (new+repeat loans),6135380,1800,07489d74-8a0b-490c-a686-38d83accff45,,843,LEADTARGET
7,2022-02-15 09:15:23,Konga,Konga // Hybrid (new+repeat loans),2065458,2400,9baad2f1-0e0c-4c3d-9c8a-c8db4e6230e4,,1380,LEADTARGET
8,2022-02-15 04:19:20,Lime,Lime // Hybrid (new+repeat loans),5504259,3000,9383ef18-af01-4444-8cc2-9c6f9e0771c2,,843,LEADTARGET
9,2022-02-14 21:56:20,Lime,Lime // Hybrid (new+repeat loans),6137525,3000,ec322893-af10-4182-ba56-61318b1823e0,,1540,LEADTARGET
10,2022-02-14 20:42:01,Lime,Lime // Hybrid (new+repeat loans),6136524,3000,fee30183-3927-488f-88c7-a4f63df8e421,,993,LEADTARGET
11,2022-02-14 20:37:46,Lime,Lime // Hybrid (new+repeat loans),6137120,3000,786d8bf8-aa2a-47ee-a74b-03400bfd801d,,1540,LEADTARGET
12,2022-02-14 19:34:44,Lime,Lime // Hybrid (new+repeat loans),5969439,3000,94d11006-dcf6-4652-8532-94fbebd179db,,1284,LEADTARGET
13,2022-02-14 19:22:33,Konga,Konga // Hybrid (new+repeat loans),2065765,2400,2ab8a113-146d-4000-85a3-5dc821779356,,1380,LEADTARGET
14,2022-02-14 18:27:26,Lime,Lime // Hybrid (new+repeat loans),6136819,1800,bf70ddcc-22ba-4dad-9d9c-ff4066b7a78f,,1496,LEADTARGET
15,2022-02-14 16:25:39,Lime,Lime // Hybrid (new+repeat loans),5808592,1800,bfcd4a03-bc7c-447b-8cd1-74afe5f0e024,,843,LEADTARGET
16,2022-02-14 15:58:55,Lime,Lime // Hybrid (new+repeat loans),5443244,500,f9da9399-b04a-4567-b3c7-6ecb0b1c5fe0,,1496,LEADTARGET
17,2022-02-14 14:05:57,Lime,Lime // Hybrid (new+repeat loans),5646943,500,f0de066f-a118-46ed-aba1-d3de334030e8,,1496,LEADTARGET
18,2022-02-14 13:12:53,Lime,Lime // Hybrid (new+repeat loans),5845792,1800,843d8a10-7068-48d5-b94b-7489286af2bb,,843,LEADTARGET
19,2022-02-14 12:58:14,Lime,Lime // Hybrid (new+repeat loans),5783443,1800,19864098-edbb-4505-a3f4-9b07cabd0939,,1496,LEADTARGET
20,2022-02-14 12:45:27,Konga,Konga // Hybrid (new+repeat loans),1992426,2400,ad8351b8-f4bf-4af0-b49a-c0848d1ae579,,1380,LEADTARGET
21,2022-02-14 10:36:00,Lime,Lime // Hybrid (new+repeat loans),6134422,1800,aaddd6f1-f5dc-49f9-8dad-ba7c4b957e1b,,968,LEADTARGET
22,2022-02-14 10:20:20,Lime,Lime // Hybrid (new+repeat loans),5844472,1800,efe4908f-02da-4cf5-a568-84179b54ce1b,,843,LEADTARGET
23,2022-02-14 10:07:28,Konga,Konga // Hybrid (new+repeat loans),2055331,300,aa52f74c-0bca-4293-a0c4-edc24d98ec22,,789,LEADTARGET
24,2022-02-14 09:13:40,Lime,Lime // Hybrid (new+repeat loans),3164809,3000,6b58e05e-4d5c-4005-a962-55dc1669036d,,784,LEADTARGET
25,2022-02-13 23:34:12,Konga,Konga // Hybrid (new+repeat loans),1997703,2400,9f1b16dd-eedd-46b8-a0ae-03f1df97139d,,789,LEADTARGET
26,2022-02-13 23:06:56,Lime,Lime // Hybrid (new+repeat loans),5126410,1800,924c2f4a-0358-407f-8b32-31897bc0bdb0,,968,LEADTARGET
27,2022-02-13 21:59:03,Lime,Lime // Hybrid (new+repeat loans),5939212,500,5bebab85-a686-463c-9c80-ff45470b6724,,796,LEADTARGET
28,2022-02-13 14:37:08,Lime,Lime // Hybrid (new+repeat loans),4679752,500,a5b5c497-471c-4c09-88c7-1cfdb431fc66,,843,LEADTARGET
29,2022-02-13 14:21:34,Lime,Lime // Hybrid (new+repeat loans),6013278,500,5297704c-1070-453f-87b7-ee479f43ee79,,1496,LEADTARGET
30,2022-02-13 14:16:41,Konga,Konga // Hybrid (new+repeat loans),2004624,2400,681021d3-1c08-4eb3-a5b9-1b37ee62f62e,,789,LEADTARGET
31,2022-02-13 13:32:33,Lime,Lime // Hybrid (new+repeat loans),6130817,3000,6d932fbd-3789-46ab-8830-c92a038a77ee,,1496,LEADTARGET
32,2022-02-13 13:21:16,Lime,Lime // Hybrid (new+repeat loans),5951601,500,9bdc3b57-edb9-4fcd-a3d1-6e7c01a4ea1f,,843,LEADTARGET
33,2022-02-13 12:04:46,Lime,Lime // Hybrid (new+repeat loans),6130252,1800,84cff2de-fa72-45bf-8ce9-d448819f7b4b,,968,LEADTARGET
34,2022-02-13 11:58:53,Lime,Lime // Hybrid (new+repeat loans),5986773,1800,a75cda03-258b-4deb-b5c5-8e0ff8776c5b,,1284,LEADTARGET
