,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-14 16:22:29,Lime,Lime CPA,6136165,4500,d21bdc385c16459fdca6418f3KVLbTM3,,maximedia,MASTERTARGET
1,2022-02-10 17:26:02,Lime,Lime CPA,6118813,4500,282cc5b98e8c8a16cacdcyAG5jIPSoHE,,12698,MASTERTARGET
2,2022-02-08 13:30:31,Lime,Lime CPA,6108073,3000,f37dc9a77887c2319a816dfdaed16b6F,,maximedia,MASTERTARGET
3,2022-02-08 13:10:07,Lime,Lime CPA,6108010,4500,b14d5d7916ae66f278a6b2e3343673jT,,Alex75,MASTERTARGET
4,2022-02-07 18:30:25,Lime,Lime CPA,6104805,3000,448a66ae6011688c9fb91ca61ab62xHj,,maximedia,MASTERTARGET
5,2022-02-07 17:24:08,Lime,Lime CPA,6104555,4500,9e65d45314b0032db603Ne5WJt8Kiceg,,atamansan,MASTERTARGET
6,2022-02-07 00:59:49,Lime,Lime CPA,6101403,3000,8c8197226ec7ec0f8c2EVYI05LO2b5ZE,,maximedia,MASTERTARGET
7,2022-02-07 00:27:55,Lime,Lime CPA,6100773,4500,c931ba38000b7e30d8bf0343951a4r0G,,maximedia,MASTERTARGET
8,2022-02-05 21:28:51,Lime,Lime CPA,6096214,3000,bfa360a2a7b1c9ff724bjraOKRs20f7o,,maximedia,MASTERTARGET
9,2022-02-05 20:32:27,Lime,Lime CPA,6095855,4500,adffa9abc5b15f120cb4b1f5124c93a6,,maximedia,MASTERTARGET
10,2022-02-05 01:05:17,Lime,Lime CPA,6092140,3000,dbda062926810020850f4c29dHpZzOiy,,usbfan,MASTERTARGET
11,2022-02-01 15:40:27,Lime,Lime CPA,6076353,3000,a617ff0d18e298a8fcb6b3a70JrLpv74,,maximedia,MASTERTARGET
