,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 16:32:10,Lime,Lime // Hybrid (new+repeat loans),5612724,1800,59ae6933ebfcb8367b42c246fee2e84d70d2f290,,25634,PDL-PROFIT
1,2022-02-15 14:56:53,Konga,Konga // Hybrid (new+repeat loans),1879304,300,,26335,,PDL-PROFIT
2,2022-02-15 13:57:50,Lime,Lime // Hybrid (new+repeat loans),6139893,3000,c362c78e082952d4c589570d9a210eda253af7c1,,22199,PDL-PROFIT
3,2022-02-15 12:58:31,Lime,Lime // Hybrid (new+repeat loans),5653701,1800,35627f4ce845a5390d0b439ac0fb802ef4c7fd30,,27131,PDL-PROFIT
4,2022-02-15 01:10:50,Konga,Konga // Hybrid (new+repeat loans),2065588,2400,,26335,,PDL-PROFIT
5,2022-02-14 23:39:26,Lime,Lime // Hybrid (new+repeat loans),5845238,3000,42042c4fcb5b3654dd5bac7909cab9f5f6e2af06,,17316,PDL-PROFIT
6,2022-02-14 17:28:57,Lime,Lime // Hybrid (new+repeat loans),5577987,1800,d516d86b80c1628df5e7947fb75fcb6533763679,,18836,PDL-PROFIT
7,2022-02-13 22:05:12,Konga,Konga // Hybrid (new+repeat loans),2064490,2400,,27601,,PDL-PROFIT
8,2022-02-13 19:42:54,Konga,Konga // Hybrid (new+repeat loans),2064332,2400,,27601,,PDL-PROFIT
9,2022-02-13 17:15:16,Konga,Konga // Hybrid (new+repeat loans),2056230,300,,20223,,PDL-PROFIT
10,2022-02-13 15:30:00,Lime,Lime // Hybrid (new+repeat loans),5070020,500,2ecab15b0f470c54d59c7b0b1e3f667524d505fe,,18827,PDL-PROFIT
11,2022-02-13 12:27:16,Lime,Lime // Hybrid (new+repeat loans),5719250,4500,ad94b4b045b5b4d82369375b987d5c7adc2a304d,,22279,PDL-PROFIT
12,2022-02-13 09:46:21,Konga,Konga // Hybrid (new+repeat loans),2063291,2400,,27601,,PDL-PROFIT
13,2022-02-13 00:12:04,Lime,Lime // Hybrid (new+repeat loans),6128763,4500,2a4e7d144b2931ed459a44003cff422f15a2d981,,22279,PDL-PROFIT
14,2022-02-12 15:04:06,Lime,Lime // Hybrid (new+repeat loans),6126671,4500,f6d30ca1d4f1766735d37340b848de436aac2fee,,25634,PDL-PROFIT
15,2022-02-12 10:32:17,Konga,Konga // Hybrid (new+repeat loans),2027089,300,,23041,,PDL-PROFIT
16,2022-02-12 10:16:24,Lime,Lime // Hybrid (new+repeat loans),6125426,4500,262e7c251c1665ea10d39089a774589c45433a71,,27131,PDL-PROFIT
17,2022-02-12 07:07:38,Lime,Lime // Hybrid (new+repeat loans),6053933,500,68e323dfe687bd56fced54dc535798e075877b00,,26335,PDL-PROFIT
18,2022-02-12 00:44:25,Lime,Lime // Hybrid (new+repeat loans),5302471,3000,2b741918dfea26521549f44f9039799302e60997,,22279,PDL-PROFIT
19,2022-02-11 23:04:55,Lime,Lime // Hybrid (new+repeat loans),6123659,3000,00b26ca105f7663b68d909cd74bb6e4bf31ebc24,,25634,PDL-PROFIT
20,2022-02-11 22:05:36,Lime,Lime // Hybrid (new+repeat loans),6124139,1800,949ca0ad8bc0d2db2feaf8e3f8c8bd05954e1fd6,,18766,PDL-PROFIT
21,2022-02-11 17:30:29,Lime,Lime // Hybrid (new+repeat loans),6123171,4500,896a40408d113cab466fb9ce809a670a68b5181b,,24053,PDL-PROFIT
22,2022-02-11 14:51:53,Lime,Lime // Hybrid (new+repeat loans),6013649,500,1fdc53946458ef859bcede5eb9e351119c9c7404,,25634,PDL-PROFIT
23,2022-02-11 10:53:52,Lime,Lime // Hybrid (new+repeat loans),6121274,1800,fb9491e06c6d1d94267234234c56c889640fcbd4,,18511,PDL-PROFIT
24,2022-02-11 08:39:42,Lime,Lime // Hybrid (new+repeat loans),6120540,4500,b1d8ee9e25c6d73882b649f5ad342163436637c6,,22279,PDL-PROFIT
25,2022-02-11 06:44:27,Konga,Konga // Hybrid (new+repeat loans),2060121,2400,,23041,,PDL-PROFIT
26,2022-02-11 02:37:26,Konga,Konga // Hybrid (new+repeat loans),2059854,2400,,23041,,PDL-PROFIT
27,2022-02-10 21:22:56,Konga,Konga // Hybrid (new+repeat loans),2059932,2400,,23041,,PDL-PROFIT
28,2022-02-10 18:55:38,Lime,Lime // Hybrid (new+repeat loans),5755048,3000,c9f2b2826e31cc4b448f5fad486f4f960475d6a8,,26768,PDL-PROFIT
29,2022-02-10 17:07:07,Lime,Lime // Hybrid (new+repeat loans),6118682,4500,2877de4423d55266a5ce55d5cb09497bba96d8c7,,22279,PDL-PROFIT
30,2022-02-10 16:47:11,Konga,Konga // Hybrid (new+repeat loans),1100439,2400,,23041,,PDL-PROFIT
31,2022-02-10 16:03:53,Lime,Lime // Hybrid (new+repeat loans),6067529,500,92aae45abc9d28e7a53e4418fe60d0a7a4f2a277,,29309,PDL-PROFIT
32,2022-02-10 11:38:28,Lime,Lime // Hybrid (new+repeat loans),3308545,1800,00964bdcd12543db8fe6a61877955f6d75b68255,,18511,PDL-PROFIT
33,2022-02-10 01:22:58,Konga,Konga // Hybrid (new+repeat loans),2039779,2400,,27601,,PDL-PROFIT
34,2022-02-09 11:43:05,Konga,Konga // Hybrid (new+repeat loans),1955705,2400,,26335,,PDL-PROFIT
35,2022-02-09 07:05:13,Lime,Lime // Hybrid (new+repeat loans),6111074,4500,c22e286e7be5d24a2fef3ac1ab3d63085af1ddba,,17316,PDL-PROFIT
36,2022-02-09 01:32:05,Konga,Konga // Hybrid (new+repeat loans),2039998,300,,27601,,PDL-PROFIT
37,2022-02-08 22:18:50,Lime,Lime // Hybrid (new+repeat loans),5699602,1800,dab341fc3c525f8227edf6e162a69cb85b064a5c,,22279,PDL-PROFIT
38,2022-02-08 21:08:27,Lime,Lime // Hybrid (new+repeat loans),5520136,3000,cd5a9202e00ccd32b7429ab350d527080db0bd52,,18766,PDL-PROFIT
39,2022-02-08 14:20:25,Lime,Lime // Hybrid (new+repeat loans),6108334,4500,32506b8a953cc6d027b4262e13ad1519e90130de,,22279,PDL-PROFIT
40,2022-02-08 12:38:23,Lime,Lime // Hybrid (new+repeat loans),5931879,500,4fc8d319617f7710385a6c7017de2103a9c5e1f9,,23324,PDL-PROFIT
41,2022-02-08 12:34:58,Konga,Konga // Hybrid (new+repeat loans),1269765,2400,,27601,,PDL-PROFIT
42,2022-02-08 11:25:42,Lime,Lime // Hybrid (new+repeat loans),6107484,3000,516ad36ea5f8eba8e32bedaa44dd9b015be660f4,,18511,PDL-PROFIT
43,2022-02-08 04:34:04,Lime,Lime // Hybrid (new+repeat loans),6106274,3000,769708dbc92748200d1bc1ff77205c167299ba8c,,25634,PDL-PROFIT
44,2022-02-07 22:47:32,Lime,Lime // Hybrid (new+repeat loans),6105790,3000,931b967b6e6d0679bb5118a369c7771d4a35563e,,18766,PDL-PROFIT
