,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 09:36:44,Konga,Konga // Hybrid (new+repeat loans),1935680,300,d9a5ed0e-a6f4-5d9b-a3f5-75887f59babf,,2660,REGBET
1,2022-02-14 23:57:22,Konga,Konga // Hybrid (new+repeat loans),1990957,2400,45cb3fd2-1e60-5b4a-a209-fdbc30430085,,2660,REGBET
2,2022-02-14 09:43:43,Lime,Lime // Hybrid (new+repeat loans),5637977,500,2297cf74-5f6a-5479-8ad3-2585e9700b8c,,2660,REGBET
3,2022-02-13 23:49:46,Lime,Lime // Hybrid (new+repeat loans),5152883,500,48e938da-e641-5f5f-87fa-110860d79d40,,1738,REGBET
4,2022-02-13 20:35:00,Konga,Konga // Hybrid (new+repeat loans),2009134,2400,7b98e825-c5f0-54cf-b997-88d76a4762a9,,1738,REGBET
5,2022-02-12 21:53:03,Konga,Konga // Hybrid (new+repeat loans),2005128,2400,e13a3f80-1361-583b-8de0-f5576a27ee08,,2660,REGBET
6,2022-02-12 12:49:10,Lime,Lime // Hybrid (new+repeat loans),5519237,3000,1760c77a-7954-5ea6-80a1-27b1b03ab02b,,1738,REGBET
7,2022-02-11 17:39:26,Lime,Lime // Hybrid (new+repeat loans),5968384,3000,039fe012-f39e-5ddd-85b8-519704a23aed,,2660,REGBET
8,2022-02-11 16:09:35,Lime,Lime // Hybrid (new+repeat loans),5456398,500,2bc960dd-2cfc-5b7a-a752-96bf2603f4b1,,1738,REGBET
9,2022-02-11 07:11:08,Konga,Konga // Hybrid (new+repeat loans),1878273,2400,e82608a1-806c-5832-8708-91afa4903e50,,2660,REGBET
10,2022-02-11 05:54:17,Lime,Lime // Hybrid (new+repeat loans),5908827,500,ebda5c48-c905-5a87-bbbb-e464a166a185,,2660,REGBET
11,2022-02-10 08:29:36,Konga,Konga // Hybrid (new+repeat loans),2016270,300,873df072-aaf2-5d8b-bb66-da658a56f29b,,2660,REGBET
12,2022-02-09 15:39:26,Lime,Lime // Hybrid (new+repeat loans),5908827,1800,a4ba78ec-6884-58f2-b04a-bbec3afbbfbf,,2660,REGBET
13,2022-02-06 19:18:10,Lime,Lime // Hybrid (new+repeat loans),6100553,4500,7fbe83a9-8daa-59c2-912f-11ff89913d6c,,2660,REGBET
14,2022-02-06 18:33:48,Lime,Lime // Hybrid (new+repeat loans),5713286,500,9da65d67-770f-5431-ab4b-4f728cc68c5d,,2660,REGBET
15,2022-02-06 08:31:46,Konga,Konga // Hybrid (new+repeat loans),1396531,2400,57a5fd01-6e16-58b8-84a8-553af46c4e28,,2660,REGBET
16,2022-02-04 10:05:48,Lime,Lime // Hybrid (new+repeat loans),5746098,1800,33821a6c-0366-5d1e-a1f1-90ecf2fa03d4,,2660,REGBET
17,2022-02-04 01:13:24,Lime,Lime // Hybrid (new+repeat loans),6087810,3000,3ddb6cee-9c15-5de7-bbd2-0a85d96ab0e7,,2660,REGBET
18,2022-02-03 05:31:16,Lime,Lime // Hybrid (new+repeat loans),6062056,500,0e55bdb4-51e4-5a94-bf1c-341da328a1b1,,2660,REGBET
19,2022-02-03 02:01:08,Lime,Lime // Hybrid (new+repeat loans),5858651,1800,9cdb71a2-c7e6-5bbc-9414-e9a905f7f28b,,2660,REGBET
20,2022-02-02 13:40:32,Konga,Konga // Hybrid (new+repeat loans),2045892,2400,5473d602-bd08-5334-bbca-f3d5e34f602e,,1738,REGBET
21,2022-02-02 13:23:04,Konga,Konga // Hybrid (new+repeat loans),1877614,2400,e43fe085-40ca-5e6a-abe9-51d548b71588,,2660,REGBET
22,2022-02-01 11:31:45,Lime,Lime // Hybrid (new+repeat loans),5637977,3000,2792212d-623d-5350-a7a7-230bfe85422d,,2660,REGBET
23,2022-02-01 09:14:02,Konga,Konga // Hybrid (new+repeat loans),1734099,300,56ff3592-7029-562d-a273-17a70bde2227,,2660,REGBET
