,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-14 20:21:31,Lime,Lime CPA,6137225,4500,a81bd730-8db6-11ec-8296-c726afac3926,,dbc9ade0-8ee8-11e7-9d9e-dd7d8ba42923,SALEADS
1,2022-02-14 19:18:32,Lime,Lime CPA,6137039,3000,841ff260-8db0-11ec-89ca-f1db6d9bd24d,,9b221ff0-1af5-11ec-9119-edfbd3ae1484,SALEADS
2,2022-02-14 15:38:39,Lime,Lime CPA,6135864,4500,d660b270-8d8c-11ec-ae18-95a93311980b,,2a8f6360-5367-11ec-b978-4f0f4e4533fd,SALEADS
3,2022-02-13 22:24:08,Lime,Lime CPA,5723779,4500,47337c10-8cfa-11ec-84d7-fd05c36bb91a,,9b221ff0-1af5-11ec-9119-edfbd3ae1484,SALEADS
4,2022-02-13 00:56:05,Konga,Konga CPA,1899696,2400,7ed35bc0-8c4d-11ec-a644-c9ba5f1e6dbf,,0f97b990-7d62-11ec-8de4-211c3f836b72,SALEADS
5,2022-02-12 15:54:58,Lime,Lime CPA,5976035,1800,4be65a90-8c02-11ec-86d2-bfe2ce7ccdc2,,5c828ee0-8841-11e8-9d8d-5943e594e8d8,SALEADS
6,2022-02-12 00:15:53,Konga,Konga CPA,2061492,2400,0267c850-8b7d-11ec-b891-559e17f77439,,83c28820-2231-11ea-b05f-310fd922fd8e,SALEADS
7,2022-02-11 15:07:37,Lime,Lime CPA,6122576,3000,b28c1220-8b31-11ec-8da4-ef4e3168b1d8,,1c824560-55d4-11ec-bb98-97a663f21a93,SALEADS
8,2022-02-11 10:48:04,Lime,Lime CPA,2874657,4500,cb026080-8b0d-11ec-bd6a-df197001576b,,dbc9ade0-8ee8-11e7-9d9e-dd7d8ba42923,SALEADS
9,2022-02-10 11:27:53,Lime,Lime CPA,6116951,4500,745b4cd0-8a48-11ec-ba79-7313975e638a,,028fa400-07ec-11ec-b803-3de1aed1166b,SALEADS
10,2022-02-09 11:55:45,Lime,Lime CPA,6112072,4500,dfa53b50-897b-11ec-813a-0f7cea3de690,,fdcef550-6a3b-11e8-a115-e16ef8bf2f16,SALEADS
11,2022-02-09 11:21:30,Lime,Lime CPA,6112126,4500,d5c1b8a0-897d-11ec-bbaa-c3d7b957a4ed,,d4f61810-7e6d-11ec-b47e-1315795283b2,SALEADS
12,2022-02-08 20:54:50,Lime,Lime CPA,6110240,4500,1ca1c2c0-8907-11ec-99e9-cf85fe2182d9,,5c828ee0-8841-11e8-9d8d-5943e594e8d8,SALEADS
13,2022-02-08 15:37:40,Lime,Lime CPA,6108776,4500,51527090-88d9-11ec-8b6f-f1b534783fe4,,dbc9ade0-8ee8-11e7-9d9e-dd7d8ba42923,SALEADS
14,2022-02-08 02:22:31,Konga,Konga CPA,2054903,2400,c01e54e0-886a-11ec-ae71-fb3a03953050,,a7ac92e0-03e7-11eb-a159-8d146f867216,SALEADS
15,2022-02-07 01:36:54,Konga,Konga CPA,2053098,2400,f5560d20-879b-11ec-9b81-ffffd31e92fe,,2c9dd710-b271-11eb-a12d-a92047fdb86c,SALEADS
16,2022-02-06 19:07:18,Lime,Lime CPA,6100440,4500,82c937b0-8766-11ec-89f6-dbefe261a910,,5c828ee0-8841-11e8-9d8d-5943e594e8d8,SALEADS
17,2022-02-06 17:00:08,Lime,Lime CPA,5803783,1800,f7cd3ad0-8754-11ec-b3c3-33ead3ac9240,,dbc9ade0-8ee8-11e7-9d9e-dd7d8ba42923,SALEADS
18,2022-02-05 08:31:53,Lime,Lime CPA,5872665,4500,df594c30-8643-11ec-87c1-7f2250e3d3fb,,dbc9ade0-8ee8-11e7-9d9e-dd7d8ba42923,SALEADS
19,2022-02-04 15:31:00,Lime,Lime CPA,6089527,3000,74822bb0-85a1-11ec-98d3-239d18a886f7,,fdcef550-6a3b-11e8-a115-e16ef8bf2f16,SALEADS
20,2022-02-04 12:22:19,Lime,Lime CPA,6077905,3000,8dd9f360-851d-11ec-be62-47b881decea5,,12eec710-7c54-11ec-94a5-7b1782b9b152,SALEADS
21,2022-02-01 20:15:31,Lime,Lime CPA,6077873,3000,74addbe0-837f-11ec-9089-1ff6206832d4,,dbc9ade0-8ee8-11e7-9d9e-dd7d8ba42923,SALEADS
22,2022-02-01 18:54:36,Lime,Lime CPA,6077562,4500,8d84f5d0-8374-11ec-9e6a-e3c485ebe0b5,,dbc9ade0-8ee8-11e7-9d9e-dd7d8ba42923,SALEADS
23,2022-02-01 07:51:22,Lime,Lime CPA,6074493,3000,d5fc88e0-82ba-11ec-bf33-695b8795b348,,fc29f0c0-c1c2-11ea-b357-af7b56f9a875,SALEADS
