,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 16:33:49,Lime,Lime // Hybrid (new+repeat loans),5449097,500,303267711.1644931722,/zaimy/,1027b8209d7ea0e0fddda711c83fff,SRAVNI.RU
1,2022-02-15 16:19:19,Konga,Konga // Hybrid (new+repeat loans),2065456,2400,550375149.1644836578,/zaimy/,102d3248665d2d04d57b0344dd0606,SRAVNI.RU
2,2022-02-15 16:05:49,Konga,Konga // Hybrid (new+repeat loans),2053852,2400,190154770.1639205674,/zaimy/,102ea548e3642de3456ed8e6e0bee5,SRAVNI.RU
3,2022-02-15 16:01:31,Lime,Lime // Hybrid (new+repeat loans),6140353,1800,1906327957.1644928066,/zaimy/na-kivi-bez-karty/,10236439895a83ac9f14edfef426d8,SRAVNI.RU
4,2022-02-15 15:56:08,Konga,Konga // Hybrid (new+repeat loans),1105427,2400,2090865341.1631773231,/zaimy/novinki/,102f9fb55f59df87b25dc43dff828d,SRAVNI.RU
5,2022-02-15 15:50:08,Lime,Lime // Hybrid (new+repeat loans),6140295,1800,1933672458.1644927302,/zaimy/lushie_zaimy_61_dney_i_bolee/,102cfc68271af21ca8e1a631951a03,SRAVNI.RU
6,2022-02-15 15:33:19,Konga,Konga // Hybrid (new+repeat loans),2066740,2400,1152598628.1643643081,/zaimy/,1028e0f0b7621872705bd17dbdf6dc,SRAVNI.RU
7,2022-02-15 15:27:06,Konga,Konga // Hybrid (new+repeat loans),2066816,2400,2028629799.1644404898,/zaimy/na-kartu-bez-otkazov/,102e59beb9e814e8a3462d82934c68,SRAVNI.RU
8,2022-02-15 15:24:25,Konga,Konga // Hybrid (new+repeat loans),2066809,2400,1914453195.1643009529,/zaimy/,102dc1e602fedc68ecad3c4668ae13,SRAVNI.RU
9,2022-02-15 15:06:43,Konga,Konga // Hybrid (new+repeat loans),2066717,2400,710473967.1644760919,/zaimy/,102c11ce1ed5a354f056a0ab7a5c58,SRAVNI.RU
10,2022-02-15 15:04:13,Lime,Lime // Hybrid (new+repeat loans),5818326,1800,1430926039.1637075695,/zaimy/,10207e8b4430d87d83f749a3f66118,SRAVNI.RU
11,2022-02-15 15:02:13,Konga,Konga // Hybrid (new+repeat loans),2066764,2400,281933246.1641814326,/zaimy/lushie_zaimy_61_dney_i_bolee/,102a730592149cbea1064ee97b3f4a,SRAVNI.RU
12,2022-02-15 14:58:44,Konga,Konga // Hybrid (new+repeat loans),1786980,300,432554751.1642110110,/zaimy/ekaterinburg/,102e365b5bf90fe2e2b995ddd038fb,SRAVNI.RU
13,2022-02-15 14:58:00,Konga,Konga // Hybrid (new+repeat loans),2045182,300,300006694.1607112280,/zaimy/,102f9447399495b897771a6fda8cbe,SRAVNI.RU
14,2022-02-15 14:17:07,Lime,Lime // Hybrid (new+repeat loans),5720411,3000,17254863.1644594715,/zaimy/lushie_zaimy_61_dney_i_bolee/,1027d66e366e1a06f7e2e32708a908,SRAVNI.RU
15,2022-02-15 14:06:50,Lime,Lime // Hybrid (new+repeat loans),4781666,3000,1660264527.1644759411,/zaimy/lushie_zaimy_61_dney_i_bolee/,102ec9566c2c4d2a5fac4e9e2c029c,SRAVNI.RU
16,2022-02-15 13:44:48,Lime,Lime // Hybrid (new+repeat loans),6139829,1800,1962836542.1644921163,/zaimy/na-kartu-bez-otkazov/,102553b79f94982b01475a88794ab1,SRAVNI.RU
17,2022-02-15 13:44:08,Konga,Konga // Hybrid (new+repeat loans),2066649,2400,199332737.1644899017,/zaimy/,1023992f0a31df1b74f91880d8a336,SRAVNI.RU
18,2022-02-15 13:27:38,Lime,Lime // Hybrid (new+repeat loans),6053465,500,34004774.1641703074,/zaimy/na-kartu-bez-otkazov/,102f60cc985c5c764ea0bb7b586b9f,SRAVNI.RU
19,2022-02-15 13:08:17,Lime,Lime // Hybrid (new+repeat loans),5968232,1800,1975729592.1642268372,/zaimy/,102c2454be1c1b5b34b0dacbe40d77,SRAVNI.RU
20,2022-02-15 12:59:29,Konga,Konga // Hybrid (new+repeat loans),2060247,2400,1417266099.1644546279,/zaimy/lushie_zaimy_61_dney_i_bolee/,102dfd4f02b162eb604bc990a4e036,SRAVNI.RU
21,2022-02-15 12:53:33,Lime,Lime // Hybrid (new+repeat loans),5722096,500,1137641896.1644106982,/zaimy/,1021e631e1b8cbbea9a63962b9f78d,SRAVNI.RU
22,2022-02-15 12:49:54,Konga,Konga // Hybrid (new+repeat loans),1514888,300,795514608.1636872067,/zaimy/lushie_zaimy_61_dney_i_bolee/,102c4090a496ea3704507bfd449c81,SRAVNI.RU
23,2022-02-15 12:24:05,Lime,Lime // Hybrid (new+repeat loans),5778838,500,471044278.1633943245,/zaimy/lushie_zaimy_61_dney_i_bolee/,102802e8a0da09443ed9a485f49be1,SRAVNI.RU
24,2022-02-15 12:13:51,Konga,Konga // Hybrid (new+repeat loans),1589404,2400,929889683.1631179209,/zaimy/,102ebe00e5e97f45a99721d6b56c80,SRAVNI.RU
25,2022-02-15 12:06:27,Lime,Lime // Hybrid (new+repeat loans),6133968,3000,1509915004.1644914971,/zaimy/lushie_zaimy_61_dney_i_bolee/,1020febc44c57673dcd2aba7b354fb,SRAVNI.RU
26,2022-02-15 11:55:15,Lime,Lime // Hybrid (new+repeat loans),6139293,4500,,/zaimy/akcii/,102800bec319b5877e4960b533df23,SRAVNI.RU
27,2022-02-15 11:38:42,Konga,Konga // Hybrid (new+repeat loans),1895391,2400,925435918.1644912282,/zaimy/bolshie-zaimy/,10224004828e3a3c75a3940c8af136,SRAVNI.RU
28,2022-02-15 11:31:09,Lime,Lime // Hybrid (new+repeat loans),6059646,500,1749496228.1644828128,/zaimy/lushie_zaimy_61_dney_i_bolee/,102abdf90fbba65772c1cbaaf2945a,SRAVNI.RU
29,2022-02-15 11:18:03,Lime,Lime // Hybrid (new+repeat loans),5472054,500,118598972.1637329211,/zaimy/,1023119d3f9fc265760be5ea1f0cc0,SRAVNI.RU
30,2022-02-15 10:55:12,Lime,Lime // Hybrid (new+repeat loans),6017033,500,1073307929.1641720868,/zaimy/lushie_zaimy_61_dney_i_bolee/,102520c5c2768fdcc10d65232f6dad,SRAVNI.RU
31,2022-02-15 10:13:40,Lime,Lime // Hybrid (new+repeat loans),6073347,500,100714961.1642439190,/zaimy/lushie_zaimy_61_dney_i_bolee/,102b80fd5b8c580f6baec03e570c46,SRAVNI.RU
32,2022-02-15 10:00:44,Lime,Lime // Hybrid (new+repeat loans),6138818,3000,252810497.1644906937,/zaimy/,1029b70668cf3bf57e94cad593e65a,SRAVNI.RU
33,2022-02-15 09:47:14,Lime,Lime // Hybrid (new+repeat loans),5543582,500,769501339.1622105131,/zaimy/na-kartu/,10224dd72828982fcdaa6aec976691,SRAVNI.RU
34,2022-02-15 09:45:31,Lime,Lime // Hybrid (new+repeat loans),6052228,500,1242370162.1643262860,/zaimy/lushie_zaimy_61_dney_i_bolee/,10262a5ee34d9e34964b4e6700bbed,SRAVNI.RU
