,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 14:27:11,Lime,Lime // Hybrid (new+repeat loans),6139979,3000,507cacadf0badd5448a978a3c71f21a2,,1,UNICOM24
1,2022-02-15 14:00:30,Lime,Lime // Hybrid (new+repeat loans),6115224,3000,a57d017fec46936b6839470fc9bf9f82,,17180,UNICOM24
2,2022-02-15 12:59:24,Konga,Konga // Hybrid (new+repeat loans),2063889,2400,16b3ebbd2c73dfea5a23c90b3a91411f,,175679,UNICOM24
3,2022-02-15 12:49:05,Lime,Lime // Hybrid (new+repeat loans),5686411,1800,9158eeccfa65e45fb5b3763a08089230,,41476,UNICOM24
4,2022-02-15 11:32:34,Konga,Konga // Hybrid (new+repeat loans),1833216,300,02b7c1c498efddcfcdc42c4375c168c1,,19253,UNICOM24
5,2022-02-15 09:34:58,Lime,Lime // Hybrid (new+repeat loans),6138387,3000,14cdbf335763d0e1f582a4d4af7457f9,,1,UNICOM24
6,2022-02-15 08:03:30,Lime,Lime // Hybrid (new+repeat loans),6138475,4500,bc0814719ef299776221260d91a8168f,,70740,UNICOM24
7,2022-02-15 03:47:03,Lime,Lime // Hybrid (new+repeat loans),5554930,500,c350f5288f9442e93192736340d44f7a,,90863,UNICOM24
8,2022-02-14 21:58:13,Konga,Konga // Hybrid (new+repeat loans),2065936,2400,ccb334580a4682eaddf76af49d12e694,,175679,UNICOM24
9,2022-02-14 18:21:45,Lime,Lime // Hybrid (new+repeat loans),5817676,3000,e15cd2f34aee9105761865de91fcd068,,1,UNICOM24
10,2022-02-14 18:06:35,Lime,Lime // Hybrid (new+repeat loans),6136114,3000,0f6adc90b5a5cde269df24afab80c0c6,,16110,UNICOM24
11,2022-02-14 17:55:36,Konga,Konga // Hybrid (new+repeat loans),2038455,300,5c65a8db371d64a2487c95da1f2fa046,,175679,UNICOM24
12,2022-02-14 14:04:37,Lime,Lime // Hybrid (new+repeat loans),6132371,3000,444a6188033c80c4e733685ccadd4369,,16110,UNICOM24
13,2022-02-14 13:13:28,Lime,Lime // Hybrid (new+repeat loans),6134411,4500,38a9f0818074067fe7441d1966de311c,,119879,UNICOM24
14,2022-02-14 10:35:14,Konga,Konga // Hybrid (new+repeat loans),2064974,2400,01a7eecb48c9badc9c0982587ac81acf,,181513,UNICOM24
15,2022-02-14 09:48:16,Lime,Lime // Hybrid (new+repeat loans),5978753,500,e7c6e1277945913fd7758763b6011be7,,180669,UNICOM24
16,2022-02-14 09:30:24,Lime,Lime // Hybrid (new+repeat loans),6133074,3000,f23af343b4b91466684e9a6ff5b06329,,119879,UNICOM24
17,2022-02-14 05:23:10,Konga,Konga // Hybrid (new+repeat loans),1994507,2400,91995bb70af7d323ef07f53df207e0e4,,1,UNICOM24
18,2022-02-14 04:45:30,Lime,Lime // Hybrid (new+repeat loans),6133663,4500,79a1bd2abf745e1ada212ce02c386bd2,,175808,UNICOM24
19,2022-02-14 02:35:00,Lime,Lime // Hybrid (new+repeat loans),6133499,4500,c239baddd7eb5a913af1faec73bb9f24,,20981,UNICOM24
20,2022-02-14 00:09:48,Lime,Lime // Hybrid (new+repeat loans),6133310,1800,d881afd99580b6c535d5854322a986e0,,107079,UNICOM24
21,2022-02-13 20:59:36,Lime,Lime // Hybrid (new+repeat loans),6132865,4500,54fb643da78e089810692fa16ebf8ae4,,106976,UNICOM24
22,2022-02-13 20:25:27,Lime,Lime // Hybrid (new+repeat loans),6132555,3000,36c46e499d56023a8025b38a9486d9c5,,108080,UNICOM24
23,2022-02-13 18:58:09,Lime,Lime // Hybrid (new+repeat loans),6132425,3000,a226c447750b2b97da39bda288847c8b,,16110,UNICOM24
24,2022-02-13 18:12:39,Lime,Lime // Hybrid (new+repeat loans),6132035,1800,ad8b47f946e47eebb2ec29abb2d07ef0,,1,UNICOM24
25,2022-02-13 17:51:00,Lime,Lime // Hybrid (new+repeat loans),6131717,3000,2c0db21d252c3d9270398937a8560a9c,,181273,UNICOM24
26,2022-02-13 17:40:09,Lime,Lime // Hybrid (new+repeat loans),6132104,4500,f03db3757a7217ecb806e522cd992d6b,,119879,UNICOM24
27,2022-02-13 16:09:27,Lime,Lime // Hybrid (new+repeat loans),5905167,1800,5ed7552c90b98f81fd0614a03315aaab,,41476,UNICOM24
28,2022-02-13 13:58:27,Lime,Lime // Hybrid (new+repeat loans),6130307,3000,954166692bd38ca2e6a6e44bbaecf651,,179945,UNICOM24
29,2022-02-13 10:49:05,Lime,Lime // Hybrid (new+repeat loans),4798711,500,589aafe08740af2be061c8e05b951260,,1,UNICOM24
30,2022-02-13 09:57:12,Lime,Lime // Hybrid (new+repeat loans),6129817,4500,81998e0accfa32987fdbc7e8c5fb6141,,70740,UNICOM24
31,2022-02-13 06:25:30,Lime,Lime // Hybrid (new+repeat loans),6129235,1800,61c62d0b60ba7a51256db5c9711a0ca7,,175962,UNICOM24
32,2022-02-12 17:37:08,Lime,Lime // Hybrid (new+repeat loans),5757032,1800,7779b8e98d954ef08ac48212523e45c2,,20865,UNICOM24
33,2022-02-12 17:03:31,Lime,Lime // Hybrid (new+repeat loans),5827271,3000,55cbd072a614e4995e90eba3e6d5fb81,,41476,UNICOM24
34,2022-02-12 15:42:22,Lime,Lime // Hybrid (new+repeat loans),6126877,3000,a9d66266984ef466900e0edbba8d4f9d,,16110,UNICOM24
