,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-02-15 14:26:02,Lime,Lime // Hybrid (new+repeat loans),6139953,3000,,,,ОКБ
1,2022-02-15 12:17:41,Konga,Konga // Hybrid (new+repeat loans),2066503,2400,,,,ОКБ
2,2022-02-14 08:12:28,Lime,Lime // Hybrid (new+repeat loans),5446299,3000,,,,ОКБ
3,2022-02-14 05:17:09,Konga,Konga // Hybrid (new+repeat loans),2064722,2400,,,,ОКБ
4,2022-02-14 01:05:33,Konga,Konga // Hybrid (new+repeat loans),2064601,2400,,,,ОКБ
5,2022-02-13 23:32:25,Konga,Konga // Hybrid (new+repeat loans),2064566,2400,,,,ОКБ
6,2022-02-13 19:30:24,Lime,Lime // Hybrid (new+repeat loans),5550222,500,,,,ОКБ
7,2022-02-13 16:15:53,Konga,Konga // Hybrid (new+repeat loans),1989746,2400,,,,ОКБ
8,2022-02-13 03:15:03,Lime,Lime // Hybrid (new+repeat loans),5645684,500,,,,ОКБ
9,2022-02-12 17:15:47,Konga,Konga // Hybrid (new+repeat loans),2062570,2400,,,,ОКБ
10,2022-02-12 08:39:48,Lime,Lime // Hybrid (new+repeat loans),5461959,500,,,,ОКБ
11,2022-02-11 12:21:49,Konga,Konga // Hybrid (new+repeat loans),2015163,2400,,,,ОКБ
12,2022-02-11 09:05:09,Lime,Lime // Hybrid (new+repeat loans),5550749,1800,,,,ОКБ
13,2022-02-10 10:43:10,Lime,Lime // Hybrid (new+repeat loans),5525275,500,,,,ОКБ
14,2022-02-09 17:44:41,Lime,Lime // Hybrid (new+repeat loans),5955418,4500,,,,ОКБ
15,2022-02-09 15:50:33,Konga,Konga // Hybrid (new+repeat loans),2053733,2400,,,,ОКБ
16,2022-02-09 12:23:34,Konga,Konga // Hybrid (new+repeat loans),1875817,2400,,,,ОКБ
17,2022-02-09 09:04:56,Lime,Lime // Hybrid (new+repeat loans),5719323,1800,,,,ОКБ
18,2022-02-09 08:51:42,Lime,Lime // Hybrid (new+repeat loans),6111545,4500,,,,ОКБ
19,2022-02-09 06:05:26,Lime,Lime // Hybrid (new+repeat loans),5241057,500,,,,ОКБ
20,2022-02-09 01:11:40,Lime,Lime // Hybrid (new+repeat loans),5800010,1800,,,,ОКБ
21,2022-02-08 17:14:45,Lime,Lime // Hybrid (new+repeat loans),6109317,3000,,,,ОКБ
22,2022-02-08 15:06:32,Konga,Konga // Hybrid (new+repeat loans),2055791,2400,,,,ОКБ
23,2022-02-08 14:15:59,Konga,Konga // Hybrid (new+repeat loans),2055783,2400,,,,ОКБ
24,2022-02-08 13:21:04,Konga,Konga // Hybrid (new+repeat loans),1999629,2400,,,,ОКБ
25,2022-02-08 02:23:05,Konga,Konga // Hybrid (new+repeat loans),2053120,2400,,,,ОКБ
26,2022-02-07 22:49:33,Lime,Lime // Hybrid (new+repeat loans),6063814,3000,,,,ОКБ
27,2022-02-07 21:33:17,Konga,Konga // Hybrid (new+repeat loans),1928524,2400,,,,ОКБ
28,2022-02-07 13:51:16,Lime,Lime // Hybrid (new+repeat loans),4818265,3000,,,,ОКБ
29,2022-02-07 11:51:34,Konga,Konga // Hybrid (new+repeat loans),2053519,2400,,,,ОКБ
30,2022-02-07 08:25:36,Lime,Lime // Hybrid (new+repeat loans),6101985,1800,,,,ОКБ
31,2022-02-07 03:47:00,Lime,Lime // Hybrid (new+repeat loans),6101502,3000,,,,ОКБ
