,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 23:24:52,Lime,Lime // Hybrid (new+repeat loans),5699883,500,0ee03ee5870893ff71bf839b681a505d,,539733,ADMITAD
1,2022-01-31 18:16:55,Lime,Lime // Hybrid (new+repeat loans),5964600,500,f9675cf348b3ed30b07bd4336aeaa80f,,539733,ADMITAD
2,2022-01-31 14:07:57,Lime,Lime // Hybrid (new+repeat loans),6071436,4500,b995db45f8316731f0d028f1eec8962c,,1055604,ADMITAD
3,2022-01-31 13:02:50,Lime,Lime // Hybrid (new+repeat loans),5998294,500,2cc87bf771d02e89e2c0842a329431b1,,52519,ADMITAD
4,2022-01-31 09:29:48,Lime,Lime // Hybrid (new+repeat loans),2028210,500,30d35a12c47752e26e4a3974741049ad,,52519,ADMITAD
5,2022-01-31 09:01:55,Konga,Konga CPA,2041768,2400,94b9ec9691f543c10d8a258f4bc425ac,,483283,ADMITAD
6,2022-01-31 08:31:23,Lime,Lime // Hybrid (new+repeat loans),5526688,500,fac2c6adebe8fe5a7034db3ebce93cd8,,539733,ADMITAD
7,2022-01-30 23:06:45,Lime,Lime // Hybrid (new+repeat loans),5953104,500,a628f7d995204820db4af404b7db1588,,654928,ADMITAD
8,2022-01-30 17:09:41,Lime,Lime // Hybrid (new+repeat loans),6067508,3000,12f6afcacc22894ade8d1eefc19f0af3,,852515,ADMITAD
9,2022-01-30 15:03:36,Lime,Lime // Hybrid (new+repeat loans),5594044,500,f2e6f3732f02e23f24a8471e1e7cbf16,,52519,ADMITAD
10,2022-01-30 12:06:35,Lime,Lime // Hybrid (new+repeat loans),5565757,500,d7077b6592cd165ed3bcd28f1c288604,,539733,ADMITAD
11,2022-01-30 11:53:01,Lime,Lime // Hybrid (new+repeat loans),6065626,3000,66bb511e3d9c72bbd849c58bcf42227d,,1055604,ADMITAD
12,2022-01-30 11:22:41,Lime,Lime // Hybrid (new+repeat loans),5992463,500,7b82496948c41f4ba6264e7acde4702d,,52519,ADMITAD
13,2022-01-30 10:24:58,Lime,Lime // Hybrid (new+repeat loans),6065425,1800,903d34390f2c7843d1917ff01dfe2114,,539733,ADMITAD
14,2022-01-30 01:40:46,Lime,Lime // Hybrid (new+repeat loans),5862645,1800,eaf19383daad16a6048ee09fc316a85f,,1110136,ADMITAD
15,2022-01-29 22:10:52,Lime,Lime // Hybrid (new+repeat loans),6043187,3000,74b5165bb20f8af10d3a76b6d4246c0c,,539733,ADMITAD
16,2022-01-29 19:32:49,Lime,Lime // Hybrid (new+repeat loans),3761104,3000,12fcd3014d3ca5d41f5e9672f0be0969,,539733,ADMITAD
17,2022-01-29 18:33:39,Lime,Lime // Hybrid (new+repeat loans),5888955,3000,3014c73046e04357903f1c738d6540d5,,539733,ADMITAD
18,2022-01-29 17:57:44,Lime,Lime // Hybrid (new+repeat loans),6062410,3000,2636d0e3c8bd24a7ed7bb1e38707c593,,1055604,ADMITAD
19,2022-01-29 14:41:08,Konga,Konga CPA,2004039,2400,54274b4f34cded3a35f8155af295e7e2,,960004,ADMITAD
20,2022-01-29 13:57:32,Lime,Lime // Hybrid (new+repeat loans),6061458,3000,649d3e274d87f32a3a5fdb2df4b4024a,,1055604,ADMITAD
21,2022-01-29 13:56:00,Lime,Lime // Hybrid (new+repeat loans),6062162,3000,32c1a73f86cb501e6d16b20e2dac523b,,1055604,ADMITAD
22,2022-01-29 12:44:04,Lime,Lime // Hybrid (new+repeat loans),4595665,3000,814b0b57c42224d4cb1a2863b57bf880,,44143,ADMITAD
23,2022-01-29 11:39:31,Lime,Lime // Hybrid (new+repeat loans),3596684,500,8dd0b1c64a87d5d3f057d1c75f932e33,,539733,ADMITAD
24,2022-01-29 10:31:39,Lime,Lime // Hybrid (new+repeat loans),6059502,3000,aa82e7c83ad83315c1d220f242a4af26,,1055604,ADMITAD
25,2022-01-29 09:10:59,Lime,Lime // Hybrid (new+repeat loans),4944257,500,b86fa1d395b6f19c9efb01eab3435501,,483283,ADMITAD
26,2022-01-29 01:57:56,Lime,Lime // Hybrid (new+repeat loans),6007612,3000,9026b986245030a812e0194f8ced65ba,,52519,ADMITAD
27,2022-01-28 22:37:33,Lime,Lime // Hybrid (new+repeat loans),6059787,4500,f3bf6cfabb2d8429a3f573b33694dca9,,177921,ADMITAD
28,2022-01-28 21:49:10,Lime,Lime // Hybrid (new+repeat loans),6059666,3000,91e411c93246b206b7630c84e4b13252,,1055604,ADMITAD
29,2022-01-28 18:01:57,Lime,Lime // Hybrid (new+repeat loans),6058876,4500,c0fac5b96abfd1223b597af4b2c88a85,,1055604,ADMITAD
30,2022-01-28 15:36:21,Lime,Lime // Hybrid (new+repeat loans),6058163,3000,d50dfcc35eedf9f5e90f70372d5911e9,,1828250,ADMITAD
31,2022-01-28 15:32:02,Lime,Lime // Hybrid (new+repeat loans),4719316,500,0328f0088302d311b7fd01847f1b1639,,539733,ADMITAD
32,2022-01-28 12:53:32,Lime,Lime // Hybrid (new+repeat loans),6057319,4500,ecf85113c12a2bcb5ee9e827e5d4189a,,1055604,ADMITAD
33,2022-01-28 11:16:45,Lime,Lime // Hybrid (new+repeat loans),2873334,500,90757c7836957a307ba38e5b4cdd1675,,52519,ADMITAD
34,2022-01-28 10:38:04,Konga,Konga CPA,2034749,2400,9716e76738a1d30c9c7cad213899f1c4,,960004,ADMITAD
35,2022-01-28 08:23:10,Lime,Lime // Hybrid (new+repeat loans),6056174,3000,eb3a857d7bb7c13e82f400c21cf0ebed,,1613577,ADMITAD
36,2022-01-28 06:54:45,Lime,Lime // Hybrid (new+repeat loans),6055989,3000,2bdab69ead090b3e2af1ab75832f2b30,,1055604,ADMITAD
37,2022-01-27 23:13:51,Lime,Lime // Hybrid (new+repeat loans),6055479,3000,0ba1169a94cb3acfdbb0913100767e2e,,539733,ADMITAD
38,2022-01-27 22:53:53,Lime,Lime // Hybrid (new+repeat loans),4145772,500,486fd24ceb9226e3e43976ec51e73a0a,,539733,ADMITAD
39,2022-01-27 20:31:31,Lime,Lime // Hybrid (new+repeat loans),5926290,1800,f508622694aec1b3f04b8983a63ebd54,,539733,ADMITAD
40,2022-01-27 18:03:43,Lime,Lime // Hybrid (new+repeat loans),6052781,3000,60deab9d445bb4f688e8ca393f761b1b,,539733,ADMITAD
41,2022-01-27 16:20:26,Lime,Lime // Hybrid (new+repeat loans),5900848,500,9c8021a4f1e806687b4b71928fdab036,,539733,ADMITAD
42,2022-01-27 15:52:16,Lime,Lime // Hybrid (new+repeat loans),6053729,3000,b6fd83cdd571fab5c6058a113b2dfb32,,1278220,ADMITAD
43,2022-01-27 13:26:26,Lime,Lime // Hybrid (new+repeat loans),6014825,3000,966dd6252705c9f4a77f93ab21ff9320,,1055604,ADMITAD
44,2022-01-27 12:34:44,Lime,Lime // Hybrid (new+repeat loans),5691027,500,3985a701bb95aa96f9c9197da27e1178,,539733,ADMITAD
45,2022-01-27 10:15:30,Lime,Lime // Hybrid (new+repeat loans),4578286,500,db1a8359a1ad5fad4e2b3e16a082a880,,539733,ADMITAD
46,2022-01-27 09:50:03,Lime,Lime // Hybrid (new+repeat loans),4482251,500,b394c188e6cebafd21ff25345314df13,,539733,ADMITAD
47,2022-01-27 08:45:41,Lime,Lime // Hybrid (new+repeat loans),5810711,500,3a656f576545c7b8679ee027dc2cbc17,,1224141,ADMITAD
48,2022-01-27 07:36:51,Lime,Lime // Hybrid (new+repeat loans),5829590,500,710496d9bf9b7b0aa5809687697317bf,,539733,ADMITAD
49,2022-01-27 03:42:45,Lime,Lime // Hybrid (new+repeat loans),5591578,3000,c503eeb51da0fd85c9127ba8ff53ae13,,539733,ADMITAD
50,2022-01-27 00:39:38,Lime,Lime // Hybrid (new+repeat loans),5175598,500,ddad888dd52a0a595ffa86755bc687fc,,539733,ADMITAD
51,2022-01-26 23:43:51,Konga,Konga CPA,2034590,2400,cfd23b3391f110c292a8133b69cda121,,1387002,ADMITAD
52,2022-01-26 23:18:33,Lime,Lime // Hybrid (new+repeat loans),5970326,500,d705a1673699ef57233a62073e1891fa,,539733,ADMITAD
53,2022-01-26 23:12:12,Lime,Lime // Hybrid (new+repeat loans),2590220,500,5d13e70f97c29460f3a2bf6927f30dde,,52519,ADMITAD
54,2022-01-26 20:08:07,Lime,Lime // Hybrid (new+repeat loans),6045349,3000,9b6c8d3c9f4de9bb75de9dbbf1775786,,539733,ADMITAD
55,2022-01-26 19:59:40,Lime,Lime // Hybrid (new+repeat loans),5869747,500,a5d3a26b9ddcd14d44257ee444d54b31,,539733,ADMITAD
56,2022-01-26 18:49:01,Lime,Lime // Hybrid (new+repeat loans),3051464,500,0aa915a98278ff9b18f654bbce232c87,,52519,ADMITAD
57,2022-01-26 18:39:21,Lime,Lime // Hybrid (new+repeat loans),2607151,500,8c03bb5dddba4b1920ce2f7b28a0b351,,539733,ADMITAD
58,2022-01-26 18:05:23,Lime,Lime // Hybrid (new+repeat loans),5830606,500,16707a6c0f147a12fe8d365f0801b727,,52519,ADMITAD
59,2022-01-26 17:13:14,Lime,Lime // Hybrid (new+repeat loans),5317039,500,7fcd4ec7ae0707e1e81ef4ed841bb897,,539733,ADMITAD
60,2022-01-26 15:30:11,Lime,Lime // Hybrid (new+repeat loans),5977156,3000,30e2d8184ebd4d6ca26c51411cd0100a,,1452433,ADMITAD
61,2022-01-26 14:10:21,Lime,Lime // Hybrid (new+repeat loans),6048059,3000,cf8e31f20eb9169db6d6d38f92d9641e,,1055604,ADMITAD
62,2022-01-26 14:02:41,Lime,Lime // Hybrid (new+repeat loans),4712346,4500,0c5f83ddea95de2df6812c53ad7aa5a1,,889145,ADMITAD
63,2022-01-26 13:58:12,Lime,Lime // Hybrid (new+repeat loans),5483710,500,08971568ba8593d8ea1ad34fceb5e781,,483283,ADMITAD
64,2022-01-26 12:57:26,Lime,Lime // Hybrid (new+repeat loans),6047954,4500,007d650ea16d34de5c30638fd601b297,,1055604,ADMITAD
65,2022-01-26 11:50:21,Lime,Lime // Hybrid (new+repeat loans),5814133,500,cad6c446d4534b977d2b4984113f4574,,960004,ADMITAD
66,2022-01-26 11:32:36,Lime,Lime // Hybrid (new+repeat loans),5285647,500,f7bee50a49f9d194788b4e7136845b81,,539733,ADMITAD
67,2022-01-26 11:14:55,Lime,Lime // Hybrid (new+repeat loans),6046846,4500,b19524fc164c09c174e2636d2f0deec9,,1055604,ADMITAD
68,2022-01-26 11:09:14,Lime,Lime // Hybrid (new+repeat loans),5809822,500,df3c82cc1da28db27284f8a12966635f,,539733,ADMITAD
69,2022-01-26 10:41:25,Lime,Lime // Hybrid (new+repeat loans),6047286,4500,d2131c91480ed691c6f28ec33fd24d98,,539733,ADMITAD
70,2022-01-26 05:44:24,Lime,Lime // Hybrid (new+repeat loans),6037124,500,f4b738dd662ca582978176a45aa1db4b,,539733,ADMITAD
71,2022-01-26 05:16:53,Lime,Lime // Hybrid (new+repeat loans),5580262,500,f5361384a213faeab0f930e7e390df3f,,539733,ADMITAD
72,2022-01-25 20:09:51,Lime,Lime // Hybrid (new+repeat loans),6045526,3000,8b39d315eb3395ac5cc0e0eed1afa2a1,,1055604,ADMITAD
