,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 11:43:35,Lime,Lime // Hybrid (new+repeat loans),5614130,500,d31,q1,,ARHIP
1,2022-01-28 08:16:50,Lime,Lime // Hybrid (new+repeat loans),5449368,3000,d31,q1,,ARHIP
2,2022-01-19 23:36:24,Lime,Lime // Hybrid (new+repeat loans),5778042,3000,d31,q1,,ARHIP
3,2022-01-19 01:44:35,Lime,Lime // Hybrid (new+repeat loans),5838802,500,d31,q1,,ARHIP
4,2022-01-15 14:46:45,Lime,Lime // Hybrid (new+repeat loans),5520503,500,,,,ARHIP
5,2022-01-15 09:53:43,Lime,Lime // Hybrid (new+repeat loans),5385434,500,d31,q1,,ARHIP
6,2022-01-12 05:47:51,Lime,Lime // Hybrid (new+repeat loans),5610799,500,d31,q1,,ARHIP
7,2022-01-10 15:31:59,Lime,Lime // Hybrid (new+repeat loans),5672542,500,d31,q1,,ARHIP
8,2022-01-09 11:33:34,Lime,Lime // Hybrid (new+repeat loans),5672542,3000,d31,q1,,ARHIP
9,2022-01-09 10:47:45,Lime,Lime // Hybrid (new+repeat loans),4506966,3000,d31,q1,,ARHIP
10,2022-01-08 09:31:11,Lime,Lime // Hybrid (new+repeat loans),4199765,3000,d31,q1,,ARHIP
11,2022-01-07 13:06:36,Lime,Lime // Hybrid (new+repeat loans),5839406,4500,d31,q1,,ARHIP
12,2022-01-07 12:48:02,Lime,Lime // Hybrid (new+repeat loans),5839106,3000,d31,q1,,ARHIP
13,2022-01-07 12:35:48,Lime,Lime // Hybrid (new+repeat loans),5503092,500,d31,q1,,ARHIP
14,2022-01-07 12:24:20,Lime,Lime // Hybrid (new+repeat loans),5838802,3000,d31,q1,,ARHIP
15,2022-01-07 08:10:23,Lime,Lime // Hybrid (new+repeat loans),5661669,4500,d31,q1,,ARHIP
16,2022-01-06 14:11:42,Lime,Lime // Hybrid (new+repeat loans),3420960,4500,d31,q1,,ARHIP
17,2022-01-06 12:22:03,Lime,Lime // Hybrid (new+repeat loans),5326079,500,d31,q1,,ARHIP
18,2022-01-06 12:04:49,Lime,Lime // Hybrid (new+repeat loans),5610799,3000,d31,q1,,ARHIP
19,2022-01-06 11:47:28,Lime,Lime // Hybrid (new+repeat loans),5510790,3000,,,,ARHIP
20,2022-01-04 03:12:55,Lime,Lime // Hybrid (new+repeat loans),5800750,3000,d31,q1,,ARHIP
21,2022-01-03 16:56:15,Lime,Lime // Hybrid (new+repeat loans),2139100,3000,d31,q1,,ARHIP
22,2022-01-02 11:59:39,Lime,Lime // Hybrid (new+repeat loans),5940493,3000,d31,q1,,ARHIP
23,2022-01-02 10:21:17,Lime,Lime // Hybrid (new+repeat loans),5614130,3000,d31,q1,,ARHIP
24,2022-01-02 00:54:42,Lime,Lime // Hybrid (new+repeat loans),5723080,500,d31,q1,,ARHIP
