,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 17:42:13,Lime,Lime // Hybrid (new+repeat loans),6056770,1800,3PFZ1VHiC9ZvJGD,,9L5,CITYADS
1,2022-01-31 17:07:31,Konga,Konga CPA,1844920,2400,7WWZ1VHinsZn0PR,,5eDh,CITYADS
2,2022-01-31 13:45:20,Lime,Lime // Hybrid (new+repeat loans),6057894,1800,3PFZ1VGvU1Ze83V,,4QCp,CITYADS
3,2022-01-31 13:45:07,Lime,Lime // Hybrid (new+repeat loans),6059747,3000,3PFZ1VGepPZecXk,,4QCp,CITYADS
4,2022-01-31 12:28:47,Lime,Lime // Hybrid (new+repeat loans),6070928,1800,3PFZ1VHdOeZrpBD,,4QCp,CITYADS
5,2022-01-31 01:50:00,Lime,Lime // Hybrid (new+repeat loans),6068195,4500,3PFZ1VH3BIZ9NMl,,4QCp,CITYADS
6,2022-01-31 00:44:23,Lime,Lime // Hybrid (new+repeat loans),5696543,500,3PFZ1VGXEhZn1GB,,5eLm,CITYADS
7,2022-01-30 23:18:42,Lime,Lime // Hybrid (new+repeat loans),6065098,4500,3PFZ1VH13gZn2mb,,4QCp,CITYADS
8,2022-01-30 23:02:38,Lime,Lime // Hybrid (new+repeat loans),6068670,1800,3PFZ1VH0QnZec14,,4QCp,CITYADS
9,2022-01-30 19:37:38,Lime,Lime // Hybrid (new+repeat loans),6068204,3000,3PFZ1VtVcvZrktV,,GZq19K,CITYADS
10,2022-01-30 18:34:53,Lime,Lime // Hybrid (new+repeat loans),5922757,1800,3PFZ1VGVoOZ5jkQ,,4QCp,CITYADS
11,2022-01-29 12:18:43,Lime,Lime // Hybrid (new+repeat loans),3259526,3000,3PFZ1VGsk2Z9Nw3,,4QCp,CITYADS
12,2022-01-29 10:17:34,Lime,Lime // Hybrid (new+repeat loans),5911341,3000,3PFZ1Vt7N1ZmVLT,,4QCp,CITYADS
13,2022-01-29 08:28:30,Lime,Lime // Hybrid (new+repeat loans),6060228,1800,3PFZ1VGoxkZ9Nv6,,4QCp,CITYADS
14,2022-01-28 16:02:32,Konga,Konga // Hybrid (new+repeat loans),1992766,300,99XZ1VG8H1Ze8cW,,sp3,CITYADS
15,2022-01-28 15:36:59,Konga,Konga CPA,2037306,2400,7WWZ1VG876ZebMk,,oY4w23,CITYADS
16,2022-01-28 12:21:54,Lime,Lime // Hybrid (new+repeat loans),6057120,3000,3PFZ1VG4MCZ5jKi,,8qL0M2,CITYADS
17,2022-01-28 07:02:15,Konga,Konga // Hybrid (new+repeat loans),2036489,2400,99XZ1VFYNvZrq38,,2Keh,CITYADS
18,2022-01-28 05:27:20,Konga,Konga // Hybrid (new+repeat loans),1905208,300,99XZ1VF1yPZ5nNq,,sp3,CITYADS
19,2022-01-27 21:05:07,Lime,Lime // Hybrid (new+repeat loans),6055098,3000,3PFZ1VFPlwZrpfN,,4QCp,CITYADS
20,2022-01-27 19:49:01,Lime,Lime // Hybrid (new+repeat loans),5183044,1800,3PFZ1VFO6mZvP5m,,4QCp,CITYADS
21,2022-01-27 16:38:32,Lime,Lime // Hybrid (new+repeat loans),5794810,500,3PFZ1VFKQrZmUyq,,4QCp,CITYADS
22,2022-01-27 14:27:16,Lime,Lime // Hybrid (new+repeat loans),5925982,1800,3PFZ1VFHAxZrkYr,,9L5,CITYADS
23,2022-01-27 13:36:08,Lime,Lime // Hybrid (new+repeat loans),6052590,3000,3PFZ1VFHseZn0BD,,4QCp,CITYADS
24,2022-01-27 07:19:29,Lime,Lime // Hybrid (new+repeat loans),5822027,500,3PFZ1VEylNZ9GTe,,4QCp,CITYADS
25,2022-01-27 00:13:58,Lime,Lime // Hybrid (new+repeat loans),5470914,500,3PFZ1VAOVqZECaM,,4QCp,CITYADS
26,2022-01-26 17:57:52,Lime,Lime // Hybrid (new+repeat loans),5965244,500,3PFZ1VFo47ZA9T8,,wjLWJJ,CITYADS
27,2022-01-26 16:14:23,Lime,Lime // Hybrid (new+repeat loans),6049063,3000,3PFZ1VFn9TZ5iz3,,4QCp,CITYADS
28,2022-01-26 15:51:13,Lime,Lime // Hybrid (new+repeat loans),6048839,3000,3PFZ1VFmxPZecWK,,4QCp,CITYADS
29,2022-01-26 13:01:09,Lime,Lime // Hybrid (new+repeat loans),6044406,3000,3PFZ1VFaEXZmW7Y,,4QCp,CITYADS
30,2022-01-26 05:06:49,Konga,Konga CPA,2031837,2400,7WWZ1VEVG8ZExAg,,58ZYo8,CITYADS
31,2022-01-26 00:15:15,Lime,Lime // Hybrid (new+repeat loans),5847599,500,3PFZ1VEkyEZedQV,,4QCp,CITYADS
32,2022-01-25 22:47:26,Konga,Konga // Hybrid (new+repeat loans),2020732,300,99XZ1VCMcLZmUGV,,5Fpi,CITYADS
33,2022-01-25 21:08:31,Lime,Lime // Hybrid (new+repeat loans),2902469,500,3PFZ1VF4VYZEwTm,,4QCp,CITYADS
