,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 22:54:22,Lime,Lime // Hybrid (new+repeat loans),6073774,1800,zs,,,FINPUBLIC
1,2022-01-31 15:59:38,Lime,Lime // Hybrid (new+repeat loans),5617488,1800,,bus,,FINPUBLIC
2,2022-01-31 15:40:10,Lime,Lime // Hybrid (new+repeat loans),5949627,3000,,bus,,FINPUBLIC
3,2022-01-31 14:09:19,Lime,Lime // Hybrid (new+repeat loans),5423865,1800,,bus,,FINPUBLIC
4,2022-01-31 12:26:30,Lime,Lime // Hybrid (new+repeat loans),6070854,3000,,bus,,FINPUBLIC
5,2022-01-31 09:23:52,Lime,Lime // Hybrid (new+repeat loans),5982232,500,,bus,,FINPUBLIC
6,2022-01-31 07:49:31,Lime,Lime // Hybrid (new+repeat loans),6069644,3000,zs,,,FINPUBLIC
7,2022-01-31 05:11:38,Lime,Lime // Hybrid (new+repeat loans),6069429,1800,,bus,,FINPUBLIC
8,2022-01-31 03:08:12,Lime,Lime // Hybrid (new+repeat loans),6069206,1800,,bus,,FINPUBLIC
9,2022-01-30 22:33:36,Lime,Lime // Hybrid (new+repeat loans),5955447,500,,bus,,FINPUBLIC
10,2022-01-30 19:08:01,Lime,Lime // Hybrid (new+repeat loans),6068141,4500,zs,,,FINPUBLIC
11,2022-01-30 15:51:37,Lime,Lime // Hybrid (new+repeat loans),6067137,3000,zs,,,FINPUBLIC
12,2022-01-30 08:28:40,Lime,Lime // Hybrid (new+repeat loans),5610691,3000,zs,,,FINPUBLIC
13,2022-01-30 07:22:38,Lime,Lime // Hybrid (new+repeat loans),2425659,4500,,bus,,FINPUBLIC
14,2022-01-29 23:02:22,Lime,Lime // Hybrid (new+repeat loans),5986459,500,,bus,,FINPUBLIC
15,2022-01-29 20:18:53,Lime,Lime // Hybrid (new+repeat loans),5873968,500,,bus,,FINPUBLIC
16,2022-01-29 20:11:22,Lime,Lime // Hybrid (new+repeat loans),5675122,500,zs,,,FINPUBLIC
17,2022-01-29 18:53:08,Lime,Lime // Hybrid (new+repeat loans),6063539,1800,zs,,,FINPUBLIC
18,2022-01-29 17:59:30,Konga,Konga // Hybrid (new+repeat loans),1789323,2400,zs,,,FINPUBLIC
19,2022-01-29 17:31:37,Lime,Lime // Hybrid (new+repeat loans),6063142,3000,,bus,,FINPUBLIC
20,2022-01-29 16:38:09,Lime,Lime // Hybrid (new+repeat loans),6062538,3000,,bus,,FINPUBLIC
21,2022-01-29 15:58:36,Lime,Lime // Hybrid (new+repeat loans),5484304,1800,,bus,,FINPUBLIC
22,2022-01-29 15:53:49,Lime,Lime // Hybrid (new+repeat loans),6046296,1800,,bus,,FINPUBLIC
23,2022-01-29 14:19:55,Lime,Lime // Hybrid (new+repeat loans),5739517,3000,,bus,,FINPUBLIC
24,2022-01-29 13:34:53,Lime,Lime // Hybrid (new+repeat loans),3440725,3000,,bus,,FINPUBLIC
25,2022-01-29 13:02:57,Lime,Lime // Hybrid (new+repeat loans),6061826,4500,,,om,FINPUBLIC
26,2022-01-29 12:11:01,Lime,Lime // Hybrid (new+repeat loans),6061521,4500,,bus,,FINPUBLIC
27,2022-01-29 01:46:53,Konga,Konga // Hybrid (new+repeat loans),2020976,300,zs,,,FINPUBLIC
28,2022-01-28 18:53:25,Lime,Lime // Hybrid (new+repeat loans),6059005,4500,,bus,,FINPUBLIC
29,2022-01-28 17:34:44,Lime,Lime // Hybrid (new+repeat loans),6058749,4500,,bus,,FINPUBLIC
30,2022-01-28 16:11:18,Lime,Lime // Hybrid (new+repeat loans),6058380,3000,,bus,,FINPUBLIC
31,2022-01-28 15:27:31,Lime,Lime // Hybrid (new+repeat loans),6058140,3000,,bus,,FINPUBLIC
32,2022-01-28 15:08:08,Lime,Lime // Hybrid (new+repeat loans),5570915,1800,,bus,,FINPUBLIC
33,2022-01-28 14:31:41,Lime,Lime // Hybrid (new+repeat loans),6057769,3000,,,om,FINPUBLIC
34,2022-01-28 14:17:04,Lime,Lime // Hybrid (new+repeat loans),6057015,1800,zs,,,FINPUBLIC
35,2022-01-28 14:03:13,Lime,Lime // Hybrid (new+repeat loans),6057691,4500,,bus,,FINPUBLIC
36,2022-01-28 11:24:13,Lime,Lime // Hybrid (new+repeat loans),5539325,4500,zs,,,FINPUBLIC
37,2022-01-28 11:01:01,Lime,Lime // Hybrid (new+repeat loans),6056811,3000,zs,,,FINPUBLIC
38,2022-01-28 10:43:03,Lime,Lime // Hybrid (new+repeat loans),6056671,3000,,,om,FINPUBLIC
39,2022-01-28 10:05:27,Konga,Konga // Hybrid (new+repeat loans),2036654,2400,zs,,,FINPUBLIC
40,2022-01-28 10:04:29,Lime,Lime // Hybrid (new+repeat loans),6056412,1800,zs,,,FINPUBLIC
41,2022-01-28 00:01:12,Lime,Lime // Hybrid (new+repeat loans),5663316,3000,zs,,,FINPUBLIC
42,2022-01-27 20:20:54,Lime,Lime // Hybrid (new+repeat loans),6054978,3000,zs,,,FINPUBLIC
43,2022-01-27 17:30:43,Lime,Lime // Hybrid (new+repeat loans),5289151,500,zs,,,FINPUBLIC
44,2022-01-27 15:52:22,Lime,Lime // Hybrid (new+repeat loans),6048746,500,,bus,,FINPUBLIC
45,2022-01-27 13:05:35,Lime,Lime // Hybrid (new+repeat loans),6052765,3000,,bus,,FINPUBLIC
46,2022-01-27 10:00:34,Lime,Lime // Hybrid (new+repeat loans),6051545,3000,zs,,,FINPUBLIC
47,2022-01-26 18:18:26,Lime,Lime // Hybrid (new+repeat loans),6049732,3000,zs,,,FINPUBLIC
48,2022-01-26 14:58:48,Lime,Lime // Hybrid (new+repeat loans),6048497,3000,,bus,,FINPUBLIC
49,2022-01-26 10:49:56,Lime,Lime // Hybrid (new+repeat loans),3330719,500,,bus,,FINPUBLIC
50,2022-01-26 07:13:56,Lime,Lime // Hybrid (new+repeat loans),6045459,3000,,bus,,FINPUBLIC
51,2022-01-26 02:11:22,Lime,Lime // Hybrid (new+repeat loans),6046352,1800,,bus,,FINPUBLIC
52,2022-01-26 01:56:07,Lime,Lime // Hybrid (new+repeat loans),6046300,3000,,bus,,FINPUBLIC
53,2022-01-26 01:54:08,Lime,Lime // Hybrid (new+repeat loans),6046314,3000,,bus,,FINPUBLIC
54,2022-01-25 18:44:26,Lime,Lime // Hybrid (new+repeat loans),6045203,3000,zs,,,FINPUBLIC
55,2022-01-25 15:47:46,Lime,Lime // Hybrid (new+repeat loans),6044301,4500,,bus,,FINPUBLIC
56,2022-01-25 12:15:03,Lime,Lime // Hybrid (new+repeat loans),5691140,500,,,om,FINPUBLIC
57,2022-01-25 10:01:08,Lime,Lime // Hybrid (new+repeat loans),5165694,1800,,bus,,FINPUBLIC
58,2022-01-24 13:51:39,Lime,Lime // Hybrid (new+repeat loans),5905845,1800,zs,,,FINPUBLIC
59,2022-01-24 13:05:53,Lime,Lime // Hybrid (new+repeat loans),5986459,4500,,bus,,FINPUBLIC
60,2022-01-24 11:51:52,Lime,Lime // Hybrid (new+repeat loans),6038245,3000,zs,,,FINPUBLIC
61,2022-01-24 09:25:26,Lime,Lime // Hybrid (new+repeat loans),6037566,3000,,bus,,FINPUBLIC
62,2022-01-24 06:22:22,Lime,Lime // Hybrid (new+repeat loans),6022860,4500,zs,,,FINPUBLIC
63,2022-01-24 00:43:04,Lime,Lime // Hybrid (new+repeat loans),4116499,500,,bus,,FINPUBLIC
64,2022-01-23 21:18:38,Konga,Konga // Hybrid (new+repeat loans),2029302,2400,,,om,FINPUBLIC
65,2022-01-23 19:46:38,Lime,Lime // Hybrid (new+repeat loans),6035988,1800,,bus,,FINPUBLIC
66,2022-01-23 19:04:14,Lime,Lime // Hybrid (new+repeat loans),5984143,500,,bus,,FINPUBLIC
