,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 22:59:09,Lime,Lime // Hybrid (new+repeat loans),5732216,500,2,,,GOODAFF
1,2022-01-31 20:12:03,Lime,Lime // Hybrid (new+repeat loans),5551870,4500,2,,,GOODAFF
2,2022-01-31 15:33:40,Lime,Lime // Hybrid (new+repeat loans),6071087,3000,2,,,GOODAFF
3,2022-01-31 13:16:39,Lime,Lime // Hybrid (new+repeat loans),6071167,3000,2,,,GOODAFF
4,2022-01-31 08:12:50,Lime,Lime // Hybrid (new+repeat loans),5930144,500,2,,,GOODAFF
5,2022-01-31 07:47:49,Lime,Lime // Hybrid (new+repeat loans),6064284,4500,2,,,GOODAFF
6,2022-01-30 23:47:22,Lime,Lime // Hybrid (new+repeat loans),6069017,3000,2,,,GOODAFF
7,2022-01-30 23:21:56,Lime,Lime // Hybrid (new+repeat loans),4829575,4500,2,,,GOODAFF
8,2022-01-30 20:32:38,Lime,Lime // Hybrid (new+repeat loans),5475811,500,2,,,GOODAFF
9,2022-01-30 19:37:17,Lime,Lime // Hybrid (new+repeat loans),5866371,3000,2,,,GOODAFF
10,2022-01-30 12:50:48,Lime,Lime // Hybrid (new+repeat loans),5941479,500,2,,,GOODAFF
11,2022-01-30 10:46:37,Lime,Lime // Hybrid (new+repeat loans),6023977,1800,2,,,GOODAFF
12,2022-01-30 10:21:48,Lime,Lime // Hybrid (new+repeat loans),5496074,4500,2,,,GOODAFF
13,2022-01-30 09:55:32,Lime,Lime // Hybrid (new+repeat loans),6065325,4500,2,,,GOODAFF
14,2022-01-30 05:49:17,Lime,Lime // Hybrid (new+repeat loans),5597920,500,2,,,GOODAFF
15,2022-01-29 23:51:54,Lime,Lime // Hybrid (new+repeat loans),6064396,4500,2,,,GOODAFF
16,2022-01-29 21:51:39,Lime,Lime // Hybrid (new+repeat loans),1394232,3000,2,,,GOODAFF
17,2022-01-29 18:27:12,Lime,Lime // Hybrid (new+repeat loans),5125027,3000,2,,,GOODAFF
18,2022-01-29 16:43:37,Lime,Lime // Hybrid (new+repeat loans),5482658,500,2,,,GOODAFF
19,2022-01-29 13:58:40,Lime,Lime // Hybrid (new+repeat loans),6049801,3000,2,,,GOODAFF
20,2022-01-28 23:46:26,Lime,Lime // Hybrid (new+repeat loans),5866873,3000,2,,,GOODAFF
21,2022-01-28 18:22:42,Lime,Lime // Hybrid (new+repeat loans),5618225,3000,2,,,GOODAFF
