,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 23:26:26,Lime,Lime // Hybrid (new+repeat loans),1843061,3000,lHhhbb,,,KIPNET
1,2022-01-31 17:23:53,Lime,Lime // Hybrid (new+repeat loans),6072550,1800,ghRhbb,,,KIPNET
2,2022-01-31 14:27:36,Lime,Lime // Hybrid (new+repeat loans),5855670,3000,0PGhbb,,,KIPNET
3,2022-01-30 15:16:15,Lime,Lime // Hybrid (new+repeat loans),5789245,1800,Mo4hbb,,,KIPNET
4,2022-01-30 14:40:36,Lime,Lime // Hybrid (new+repeat loans),6066828,4500,qXCjbb,,,KIPNET
5,2022-01-30 13:05:52,Lime,Lime // Hybrid (new+repeat loans),5886207,500,oOPkbb,,,KIPNET
6,2022-01-30 10:22:52,Lime,Lime // Hybrid (new+repeat loans),6065386,4500,Dz0hbb,,,KIPNET
7,2022-01-30 07:42:25,Lime,Lime // Hybrid (new+repeat loans),3808382,500,6pTlbb,,,KIPNET
8,2022-01-30 07:21:51,Lime,Lime // Hybrid (new+repeat loans),5775926,3000,RrEjbb,,,KIPNET
9,2022-01-30 07:12:56,Lime,Lime // Hybrid (new+repeat loans),5692409,500,4Emhbb,,,KIPNET
10,2022-01-29 23:22:09,Lime,Lime // Hybrid (new+repeat loans),5666522,500,pZVhbb,,,KIPNET
11,2022-01-29 20:07:03,Lime,Lime // Hybrid (new+repeat loans),5872733,500,iJB5ab,,,KIPNET
12,2022-01-29 19:48:47,Lime,Lime // Hybrid (new+repeat loans),6063720,4500,pMQhbb,,,KIPNET
13,2022-01-29 17:51:42,Lime,Lime // Hybrid (new+repeat loans),6063290,4500,ub5hbb,,,KIPNET
14,2022-01-29 13:41:08,Lime,Lime // Hybrid (new+repeat loans),5899274,1800,kb5ebb,,,KIPNET
15,2022-01-29 12:11:29,Lime,Lime // Hybrid (new+repeat loans),5777469,500,Vi1hbb,,,KIPNET
16,2022-01-29 10:04:51,Lime,Lime // Hybrid (new+repeat loans),5277169,3000,4ZUlbb,,,KIPNET
17,2022-01-28 17:00:31,Lime,Lime // Hybrid (new+repeat loans),5958209,500,xs9ebb,,,KIPNET
18,2022-01-28 15:04:14,Lime,Lime // Hybrid (new+repeat loans),5829436,500,uGDlbb,,,KIPNET
19,2022-01-28 07:20:19,Lime,Lime // Hybrid (new+repeat loans),5967919,500,V1Ekbb,,,KIPNET
20,2022-01-27 15:04:08,Lime,Lime // Hybrid (new+repeat loans),5876656,500,cKTebb,,,KIPNET
21,2022-01-27 09:25:36,Lime,Lime // Hybrid (new+repeat loans),5487744,500,jDdqbb,,,KIPNET
22,2022-01-27 08:04:33,Lime,Lime // Hybrid (new+repeat loans),5800528,3000,DhcUab,,,KIPNET
23,2022-01-26 16:20:02,Lime,Lime // Hybrid (new+repeat loans),5812804,500,yFBlbb,,,KIPNET
24,2022-01-25 21:14:22,Lime,Lime // Hybrid (new+repeat loans),5410095,3000,9JQlbb,,,KIPNET
25,2022-01-25 15:54:58,Lime,Lime // Hybrid (new+repeat loans),6044235,3000,x3Plbb,,,KIPNET
26,2022-01-25 12:22:36,Lime,Lime // Hybrid (new+repeat loans),5736624,3000,IJhibb,,,KIPNET
