,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 23:35:43,Lime,Lime // Hybrid (new+repeat loans),6073881,3000,372thk8e85ns,,,KOSMOS
1,2022-01-31 22:30:28,Lime,Lime // Hybrid (new+repeat loans),4479943,3000,nr6q65e88iv,,,KOSMOS
2,2022-01-31 20:39:37,Lime,Lime // Hybrid (new+repeat loans),5579623,3000,13ufvm9fcmnq,,,KOSMOS
3,2022-01-31 19:24:18,Lime,Lime // Hybrid (new+repeat loans),5982957,3000,84vepgfcl6u,,,KOSMOS
4,2022-01-31 19:22:45,Lime,Lime // Hybrid (new+repeat loans),5764143,500,3e1jdjfeonjf,,,KOSMOS
5,2022-01-31 18:31:46,Lime,Lime // Hybrid (new+repeat loans),5777926,3000,bdds92fck29,,,KOSMOS
6,2022-01-31 17:51:15,Lime,Lime // Hybrid (new+repeat loans),6072648,4500,271e3crfcijb,,,KOSMOS
7,2022-01-31 17:44:02,Lime,Lime // Hybrid (new+repeat loans),6072629,1800,lmj8fqfcigr,,,KOSMOS
8,2022-01-31 17:01:53,Lime,Lime // Hybrid (new+repeat loans),5834836,3000,3n0200tfcddk,,,KOSMOS
9,2022-01-31 16:32:31,Lime,Lime // Hybrid (new+repeat loans),5983828,500,10p3uve9svo,,,KOSMOS
10,2022-01-31 15:49:41,Lime,Lime // Hybrid (new+repeat loans),6066532,4500,3dfjpv2f9k1r,,,KOSMOS
11,2022-01-31 14:35:31,Lime,Lime // Hybrid (new+repeat loans),5808808,500,2gh2abofccbr,,,KOSMOS
12,2022-01-31 14:24:16,Lime,Lime // Hybrid (new+repeat loans),6071549,4500,g02jkafcbam,,,KOSMOS
13,2022-01-31 14:07:01,Lime,Lime // Hybrid (new+repeat loans),6071468,3000,35me3s9fcan7,,,KOSMOS
14,2022-01-31 13:48:52,Lime,Lime // Hybrid (new+repeat loans),5980321,500,m39oiheop0n,,,KOSMOS
15,2022-01-31 13:45:34,Lime,Lime // Hybrid (new+repeat loans),6065675,3000,rsjsvof91v0,,,KOSMOS
16,2022-01-31 11:51:06,Lime,Lime // Hybrid (new+repeat loans),6070732,1800,2e88tqffc3ms,,,KOSMOS
17,2022-01-31 11:41:20,Lime,Lime // Hybrid (new+repeat loans),5796279,3000,261l301fc3fs,,,KOSMOS
18,2022-01-31 11:13:37,Lime,Lime // Hybrid (new+repeat loans),5817375,500,2vmfph5ecjps,,,KOSMOS
19,2022-01-31 10:54:02,Lime,Lime // Hybrid (new+repeat loans),6070294,3000,1pgq037fbnks,,,KOSMOS
20,2022-01-31 10:48:23,Lime,Lime // Hybrid (new+repeat loans),6070398,3000,3mbmao0fbsf3,,,KOSMOS
21,2022-01-31 10:46:50,Lime,Lime // Hybrid (new+repeat loans),6070382,3000,2vjpj8pfbnr2,,,KOSMOS
22,2022-01-31 10:32:58,Lime,Lime // Hybrid (new+repeat loans),6070327,3000,jk387ffboph,,,KOSMOS
23,2022-01-31 09:45:09,Lime,Lime // Hybrid (new+repeat loans),5611755,3000,2gcj3grfav23,,,KOSMOS
24,2022-01-31 06:55:43,Lime,Lime // Hybrid (new+repeat loans),5557349,500,qbk6p5eb3cb,,,KOSMOS
25,2022-01-31 06:45:03,Lime,Lime // Hybrid (new+repeat loans),6069554,3000,2j9t1g7faf0b,,,KOSMOS
26,2022-01-31 04:55:58,Lime,Lime // Hybrid (new+repeat loans),6061757,3000,1q91nn1f7hr9,,,KOSMOS
27,2022-01-31 03:06:24,Lime,Lime // Hybrid (new+repeat loans),5962227,500,1k69qt8e3gnc,,,KOSMOS
28,2022-01-31 00:30:56,Lime,Lime // Hybrid (new+repeat loans),5921146,3000,2835l7jf9qpo,,,KOSMOS
29,2022-01-30 23:50:20,Lime,Lime // Hybrid (new+repeat loans),5986110,500,241r5poea73h,,,KOSMOS
30,2022-01-30 23:01:57,Lime,Lime // Hybrid (new+repeat loans),6068852,3000,10fmcmkfa9v8,,,KOSMOS
31,2022-01-30 20:58:07,Lime,Lime // Hybrid (new+repeat loans),6068541,1800,tpfeivfa84m,,,KOSMOS
32,2022-01-30 17:32:35,Lime,Lime // Hybrid (new+repeat loans),5714741,500,3h58idhf9tn7,,,KOSMOS
33,2022-01-30 17:32:35,Lime,Lime // Hybrid (new+repeat loans),6067665,3000,2722ed1f9r7o,,,KOSMOS
34,2022-01-30 17:18:31,Lime,Lime // Hybrid (new+repeat loans),5984963,500,1ol6rkaea264,,,KOSMOS
35,2022-01-30 17:07:38,Lime,Lime // Hybrid (new+repeat loans),6067533,4500,2jq7330f9qcf,,,KOSMOS
36,2022-01-30 16:33:23,Lime,Lime // Hybrid (new+repeat loans),6067409,3000,ahm1jlf9po8,,,KOSMOS
37,2022-01-30 14:33:45,Lime,Lime // Hybrid (new+repeat loans),6066738,3000,oqjslcf9liv,,,KOSMOS
38,2022-01-30 13:48:56,Lime,Lime // Hybrid (new+repeat loans),6066345,1800,17jbq7tf8p4t,,,KOSMOS
39,2022-01-30 12:44:34,Lime,Lime // Hybrid (new+repeat loans),5854534,500,pcff79f9gmd,,,KOSMOS
40,2022-01-30 12:09:40,Lime,Lime // Hybrid (new+repeat loans),6065858,4500,13f8gd0f95l7,,,KOSMOS
41,2022-01-30 12:08:37,Lime,Lime // Hybrid (new+repeat loans),3707572,4500,1jnbf3tf94al,,,KOSMOS
42,2022-01-30 11:55:56,Lime,Lime // Hybrid (new+repeat loans),5690699,3000,4ecpolf96tk,,,KOSMOS
43,2022-01-30 11:51:55,Lime,Lime // Hybrid (new+repeat loans),5480812,3000,tnbguif954o,,,KOSMOS
44,2022-01-30 11:43:34,Lime,Lime // Hybrid (new+repeat loans),5995201,1800,2urhmq8f94av,,,KOSMOS
45,2022-01-30 10:59:40,Lime,Lime // Hybrid (new+repeat loans),5729179,500,351kinfetp3r,,,KOSMOS
46,2022-01-30 10:39:56,Lime,Lime // Hybrid (new+repeat loans),6065447,4500,15rg45nf8qnv,,,KOSMOS
47,2022-01-30 10:32:46,Lime,Lime // Hybrid (new+repeat loans),2355031,3000,227q6a1f8qsa,,,KOSMOS
48,2022-01-30 08:43:28,Lime,Lime // Hybrid (new+repeat loans),5814990,500,1r4rtloe86vh,,,KOSMOS
49,2022-01-30 02:51:55,Lime,Lime // Hybrid (new+repeat loans),3126514,500,1hfap9vf879q,,,KOSMOS
50,2022-01-30 01:06:15,Lime,Lime // Hybrid (new+repeat loans),2056953,500,a05gskf86an,,,KOSMOS
51,2022-01-30 00:46:53,Lime,Lime // Hybrid (new+repeat loans),5850006,1800,2v66jp6f86b7,,,KOSMOS
52,2022-01-29 22:51:52,Lime,Lime // Hybrid (new+repeat loans),5804803,500,1f8lejde61qc,,,KOSMOS
53,2022-01-29 21:20:33,Lime,Lime // Hybrid (new+repeat loans),6064056,3000,1ftp6buf83fv,,,KOSMOS
54,2022-01-29 19:57:17,Lime,Lime // Hybrid (new+repeat loans),2610402,3000,252vni6f1vpo,,,KOSMOS
55,2022-01-29 18:04:14,Lime,Lime // Hybrid (new+repeat loans),6062908,3000,38uosn7f7sco,,,KOSMOS
56,2022-01-29 17:58:42,Lime,Lime // Hybrid (new+repeat loans),5639147,4500,1n49gv5f7vho,,,KOSMOS
57,2022-01-29 17:23:46,Lime,Lime // Hybrid (new+repeat loans),6063036,3000,3rt947f7t4o,,,KOSMOS
58,2022-01-29 15:32:49,Lime,Lime // Hybrid (new+repeat loans),6062473,3000,1llenjpf7p72,,,KOSMOS
59,2022-01-29 15:05:05,Lime,Lime // Hybrid (new+repeat loans),6061595,3000,1821laaf7842,,,KOSMOS
60,2022-01-29 14:57:04,Lime,Lime // Hybrid (new+repeat loans),5922087,4500,2c4mg40f7p7n,,,KOSMOS
61,2022-01-29 14:41:52,Lime,Lime // Hybrid (new+repeat loans),6062384,3000,ohed4rf7ogk,,,KOSMOS
62,2022-01-29 13:16:28,Lime,Lime // Hybrid (new+repeat loans),5442499,3000,239sr4bf7jr1,,,KOSMOS
63,2022-01-29 12:33:56,Lime,Lime // Hybrid (new+repeat loans),5978150,3000,1ep0s0cf747g,,,KOSMOS
64,2022-01-29 12:32:34,Lime,Lime // Hybrid (new+repeat loans),6038563,1800,2sd42bsf7gc8,,,KOSMOS
65,2022-01-29 11:37:00,Lime,Lime // Hybrid (new+repeat loans),5761280,500,26e14gpf6m6f,,,KOSMOS
66,2022-01-29 11:22:37,Lime,Lime // Hybrid (new+repeat loans),6061249,3000,3oq3mvqf72fd,,,KOSMOS
