,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 21:15:25,Lime,Lime // Hybrid (new+repeat loans),3377039,4500,93809ff2-9701-4a41-b5b4-4a4aed61cd22,,796,LEADTARGET
1,2022-01-31 20:37:31,Lime,Lime // Hybrid (new+repeat loans),6073395,3000,46d62829-dd1c-45f9-b69b-2c01d863e4b8,,796,LEADTARGET
2,2022-01-31 19:42:31,Lime,Lime // Hybrid (new+repeat loans),5874478,1800,00d59ae3-a39e-400d-9034-bcc097115029,,244,LEADTARGET
3,2022-01-31 17:55:35,Lime,Lime // Hybrid (new+repeat loans),6072702,1800,e4570a18-5685-4bbe-838d-755f92b164f1,,244,LEADTARGET
4,2022-01-31 17:55:14,Lime,Lime // Hybrid (new+repeat loans),5600760,4500,0683679e-a0d9-4243-a800-dcdb0d91f632,,968,LEADTARGET
5,2022-01-31 17:52:12,Lime,Lime // Hybrid (new+repeat loans),5481274,3000,17870ac3-3c77-4929-aca3-ed5e3f0bf890,,843,LEADTARGET
6,2022-01-31 16:54:54,Lime,Lime // Hybrid (new+repeat loans),5948956,3000,52afafa0-f175-4f85-84de-017d287a4781,,244,LEADTARGET
7,2022-01-31 16:09:08,Lime,Lime // Hybrid (new+repeat loans),6072186,3000,25d27589-3701-49ac-8353-332bec55f1bd,,796,LEADTARGET
8,2022-01-31 14:28:55,Lime,Lime // Hybrid (new+repeat loans),6071513,3000,4f01b82a-3f1a-4f7e-b485-34481d004bb5,,968,LEADTARGET
9,2022-01-31 12:09:00,Lime,Lime // Hybrid (new+repeat loans),4636677,1800,ba3ac1bd-1d44-4e67-8c81-9da90b9ac53d,,843,LEADTARGET
10,2022-01-31 11:47:41,Lime,Lime // Hybrid (new+repeat loans),6070682,3000,465d9586-55c4-4d24-8056-b98c60df8560,,796,LEADTARGET
11,2022-01-31 11:41:51,Lime,Lime // Hybrid (new+repeat loans),4328652,3000,8799af8c-05e8-4a65-9c57-9a0fc1ca31f5,,289,LEADTARGET
12,2022-01-31 11:24:32,Lime,Lime // Hybrid (new+repeat loans),6047934,3000,f25c7a77-7184-49e8-a294-1deedffc45e6,,289,LEADTARGET
13,2022-01-31 10:18:45,Lime,Lime // Hybrid (new+repeat loans),5820570,1800,57e78b27-267f-4a87-950a-b98cafe1f22d,,968,LEADTARGET
14,2022-01-31 09:52:11,Lime,Lime // Hybrid (new+repeat loans),6070004,4500,a90baf88-2b89-4d96-b058-3b00e1086c8a,,968,LEADTARGET
15,2022-01-31 08:00:43,Lime,Lime // Hybrid (new+repeat loans),6064077,3000,15d1c5d0-4c3d-444a-8c08-7a1f0c3b4c5d,,244,LEADTARGET
16,2022-01-31 07:30:42,Konga,Konga // Hybrid (new+repeat loans),2041087,2400,2c3e49f1-abb7-4641-bfd2-bab2aad171a9,,795,LEADTARGET
17,2022-01-31 05:50:57,Lime,Lime // Hybrid (new+repeat loans),5805763,1800,6c8b2009-c513-45cf-8a08-cfa29e9a35fc,,244,LEADTARGET
18,2022-01-31 05:43:10,Lime,Lime // Hybrid (new+repeat loans),5896378,500,da989e6a-cbd4-43d7-bc8f-bc361a94834a,,796,LEADTARGET
19,2022-01-30 22:24:37,Lime,Lime // Hybrid (new+repeat loans),6068431,3000,e0effed8-b944-4636-bcb6-ffd65d442cff,,796,LEADTARGET
20,2022-01-30 21:47:18,Konga,Konga // Hybrid (new+repeat loans),1974063,2400,2a16d93b-f5f8-4577-a9d7-00969b16b9cc,,795,LEADTARGET
21,2022-01-30 21:14:17,Konga,Konga // Hybrid (new+repeat loans),2041337,2400,0c08167b-f057-4a7e-a555-e65d94be3866,,1380,LEADTARGET
22,2022-01-30 21:05:21,Lime,Lime // Hybrid (new+repeat loans),6068586,3000,13a55f5e-d157-4490-84fe-1dd396da69cf,,796,LEADTARGET
23,2022-01-30 20:13:04,Lime,Lime // Hybrid (new+repeat loans),5357009,4500,a208ba88-73ac-4ea9-973c-1b9176f0d72b,,968,LEADTARGET
