,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 14:38:08,Konga,Konga CPA,1831630,2400,ad30c26295a091be31456Bt7VvGgtrnb,,credit4you,MASTERTARGET
1,2022-01-31 09:59:59,Lime,Lime CPA,786725,4500,e96cc80b97e6e0d4e9d41e99f7a44OrU,,Alex75,MASTERTARGET
2,2022-01-30 11:28:59,Lime,Lime CPA,5891330,4500,290d2b7b5ab08dcdd5b41da20acti3OP,,maximedia,MASTERTARGET
3,2022-01-29 02:00:55,Lime,Lime CPA,6060049,4500,e8f6d1336e55c15fb7ee2fe1ebb9cc1m,,maximedia,MASTERTARGET
4,2022-01-28 04:52:40,Lime,Lime CPA,5935584,4500,5302b5a8c39674272d4541lHFTn3dcGk,,maximedia,MASTERTARGET
5,2022-01-27 17:05:19,Lime,Lime CPA,6054072,3000,5a70b154137e922c42d37adcc0e298c3,,kreditagregator,MASTERTARGET
6,2022-01-27 09:56:57,Lime,Lime CPA,5843337,3000,5b618a0c6a1e0458d11e13941cadXieB,,567123,MASTERTARGET
7,2022-01-19 13:05:16,Lime,Lime CPA,6017377,1800,d83410cdba6c77ef44e7e9ba583ebSZb,,555678,MASTERTARGET
8,2022-01-14 18:58:49,Lime,Lime CPA,5996269,1800,21507a7290c8088174522ce37aFiSDQS,,gogogo,MASTERTARGET
9,2022-01-14 12:33:46,Lime,Lime CPA,5996166,3000,28be118376eaf8a7e31b94f5431ab65a,,maximedia,MASTERTARGET
10,2022-01-13 14:00:55,Lime,Lime CPA,5992650,3000,31edb4a0ce9d101278ab515ee8a07uAo,,credit4you,MASTERTARGET
11,2022-01-13 13:33:00,Lime,Lime CPA,5992484,4500,df026abcaab2e74cdbc7ee5d003d2rgi,,Alex75,MASTERTARGET
12,2022-01-08 15:25:16,Lime,Lime CPA,5968879,4500,118723ba223e1fd8590TkIKxlS2oByOY,,CrazyWolf,MASTERTARGET
13,2022-01-05 11:44:23,Lime,Lime CPA,5953420,4500,2c456b845e3d571103ecvS30CKFtY1Tg,,Alex75,MASTERTARGET
14,2022-01-05 04:26:35,Lime,Lime CPA,4677289,3000,6492216730583fb3b8483fejM01m4GK0,,maximedia,MASTERTARGET
