,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 20:57:31,Lime,Lime // Hybrid (new+repeat loans),5679886,500,1007ad4c-9805-484d-8cea-90035c217774,,197,RAFINAD
1,2022-01-31 15:19:45,Lime,Lime // Hybrid (new+repeat loans),5188137,500,9f2a9bc3-71fe-43f3-a559-cc3b72e7a84b,,504,RAFINAD
2,2022-01-31 13:45:20,Lime,Lime // Hybrid (new+repeat loans),6057839,3000,d30b3bde-3eb5-4746-bf11-fde3529eab16,,816,RAFINAD
3,2022-01-30 12:46:00,Lime,Lime // Hybrid (new+repeat loans),6065712,4500,6b99a017-9883-4a08-8abb-1b973596cd09,,816,RAFINAD
4,2022-01-30 08:06:01,Lime,Lime // Hybrid (new+repeat loans),5999337,500,52a8811c-2948-4ea4-b30b-3b778275c77b,,645,RAFINAD
5,2022-01-30 07:33:58,Lime,Lime // Hybrid (new+repeat loans),6012418,500,bf0a556a-ecbf-4adb-98b6-6476bc49908f,,504,RAFINAD
6,2022-01-30 02:56:52,Lime,Lime // Hybrid (new+repeat loans),6061141,500,cc977488-c03f-4dbe-a08d-0a9f7c478134,,1642,RAFINAD
7,2022-01-29 18:02:44,Lime,Lime // Hybrid (new+repeat loans),4069428,500,1c12687c-fb17-422a-8619-6b7158bc2595,,193,RAFINAD
8,2022-01-29 17:06:14,Lime,Lime // Hybrid (new+repeat loans),5912872,500,4ad78b96-db9f-4d82-a4b7-4ab846f0d860,,498,RAFINAD
9,2022-01-29 16:54:01,Lime,Lime // Hybrid (new+repeat loans),5827643,3000,1191dba8-ebfa-4366-93d2-dec8f6161ae8,,640,RAFINAD
10,2022-01-29 15:01:16,Lime,Lime // Hybrid (new+repeat loans),5478358,3000,4e6db76f-31e7-4ad3-9279-82bc73794bc1,,505,RAFINAD
11,2022-01-29 14:24:03,Lime,Lime // Hybrid (new+repeat loans),5598782,500,73241787-4ae7-4e88-8e6a-f631a2a87e25,,506,RAFINAD
12,2022-01-29 11:45:23,Lime,Lime // Hybrid (new+repeat loans),5644650,3000,8a27589e-8ab4-4535-ad1b-a1080e6f0714,,116,RAFINAD
13,2022-01-29 11:41:58,Lime,Lime // Hybrid (new+repeat loans),6024421,500,9a1a1f83-fa5c-4d93-9bc9-c1d9d259c9e9,,1642,RAFINAD
14,2022-01-29 11:23:15,Lime,Lime // Hybrid (new+repeat loans),6061141,4500,cc977488-c03f-4dbe-a08d-0a9f7c478134,,1642,RAFINAD
15,2022-01-29 11:11:24,Lime,Lime // Hybrid (new+repeat loans),4897703,500,8a01e0c2-1419-46f3-9cb8-82dc8c664e14,,502,RAFINAD
16,2022-01-29 03:52:05,Lime,Lime // Hybrid (new+repeat loans),4434102,500,ce1cfd72-812f-4e84-a044-f3221745fe78,,116,RAFINAD
17,2022-01-29 03:06:25,Lime,Lime // Hybrid (new+repeat loans),6034933,500,b4c679db-8d1b-4c95-a883-fab3d9b89a27,,1642,RAFINAD
18,2022-01-28 23:26:56,Lime,Lime // Hybrid (new+repeat loans),6059478,3000,b6d36fa3-40b3-416f-a827-8e9855b82e35,,816,RAFINAD
19,2022-01-28 13:17:03,Lime,Lime // Hybrid (new+repeat loans),6056500,4500,792fa6d8-326c-4d35-9502-534abfaf7d97,,645,RAFINAD
20,2022-01-28 07:19:40,Konga,Konga // Hybrid (new+repeat loans),2035876,2400,23cda0f5-7681-45ac-97ca-2399c14779fd,,1143,RAFINAD
21,2022-01-28 06:56:02,Lime,Lime // Hybrid (new+repeat loans),6056047,1800,198bbf44-61c4-4fec-abe6-f356a3da67f1,,640,RAFINAD
22,2022-01-28 05:12:01,Lime,Lime // Hybrid (new+repeat loans),5639985,500,8377ed30-0e3c-4635-8e44-5da1dfade0bf,,816,RAFINAD
23,2022-01-28 01:06:25,Lime,Lime // Hybrid (new+repeat loans),6055651,3000,d9683251-0f9d-44bd-b50c-33d5df423e21,,816,RAFINAD
24,2022-01-27 15:16:56,Lime,Lime // Hybrid (new+repeat loans),4940480,4500,9c93b65f-308b-465e-abf3-ee2e304434fc,,645,RAFINAD
25,2022-01-27 13:30:45,Lime,Lime // Hybrid (new+repeat loans),5915520,500,bf81e570-c49a-48f6-a31f-b02a7d8e202e,,198,RAFINAD
26,2022-01-27 06:59:21,Lime,Lime // Hybrid (new+repeat loans),5608922,500,82ed6be5-8015-4ddf-9189-df8187b8de6c,,502,RAFINAD
27,2022-01-26 19:46:52,Lime,Lime // Hybrid (new+repeat loans),5414618,500,e67c0e0f-1054-43b6-9c18-a8b399547da1,,116,RAFINAD
28,2022-01-26 15:25:45,Lime,Lime // Hybrid (new+repeat loans),6048753,4500,7129edb3-d292-4475-8f4b-6c0cc91e0ef3,,1642,RAFINAD
29,2022-01-26 12:11:23,Lime,Lime // Hybrid (new+repeat loans),6047740,4500,8e633b61-843d-4871-9597-f9cdacf0d56d,,645,RAFINAD
30,2022-01-26 12:10:34,Lime,Lime // Hybrid (new+repeat loans),6047519,3000,ef927c95-d59d-47d0-8e3c-6684d4f81ff8,,645,RAFINAD
31,2022-01-25 22:48:18,Lime,Lime // Hybrid (new+repeat loans),5474485,500,b936642b-20f8-4d3a-b98b-eafda2e444e4,,676,RAFINAD
32,2022-01-25 17:59:14,Lime,Lime // Hybrid (new+repeat loans),5908480,3000,aa1ce57a-4864-4651-8de8-75ced64f9f0d,,645,RAFINAD
33,2022-01-24 11:54:04,Lime,Lime // Hybrid (new+repeat loans),5976957,500,897d8c76-49cd-4f9b-b584-7f98c5064841,,645,RAFINAD
34,2022-01-23 15:30:27,Lime,Lime // Hybrid (new+repeat loans),6034933,3000,b4c679db-8d1b-4c95-a883-fab3d9b89a27,,1642,RAFINAD
35,2022-01-23 10:11:05,Lime,Lime // Hybrid (new+repeat loans),5750577,500,04302b19-6606-47e1-ba32-dceaeccaf591,,1779,RAFINAD
36,2022-01-22 15:00:08,Lime,Lime // Hybrid (new+repeat loans),6030622,3000,f9f16d60-3511-44ce-9936-2914e3cfd6ab,,645,RAFINAD
37,2022-01-21 16:59:57,Lime,Lime // Hybrid (new+repeat loans),5992443,3000,0b068c75-b291-4e09-888f-bb8ff0e0cc55,,816,RAFINAD
38,2022-01-21 16:37:28,Lime,Lime // Hybrid (new+repeat loans),6026906,4500,9d2967e0-202a-4689-bac3-71d8b0e5aa34,,645,RAFINAD
39,2022-01-21 09:30:54,Lime,Lime // Hybrid (new+repeat loans),6024956,1800,24568dee-c79a-4b14-b03e-535f3e025010,,816,RAFINAD
40,2022-01-21 04:38:02,Lime,Lime // Hybrid (new+repeat loans),6024421,4500,9a1a1f83-fa5c-4d93-9bc9-c1d9d259c9e9,,1642,RAFINAD
41,2022-01-20 13:56:08,Konga,Konga // Hybrid (new+repeat loans),2022427,2400,49735b83-fceb-40a7-8add-3cec45cf1d83,,1143,RAFINAD
42,2022-01-20 12:57:32,Lime,Lime // Hybrid (new+repeat loans),5556980,4500,98ba59d9-9daf-44c0-9478-07275a3ed5b1,,816,RAFINAD
43,2022-01-19 12:50:55,Konga,Konga // Hybrid (new+repeat loans),2021121,2400,c8a5b785-df43-4b00-952b-fed255f57d2a,,2005,RAFINAD
44,2022-01-19 08:11:23,Lime,Lime // Hybrid (new+repeat loans),6016307,3000,710dabfe-d030-4303-a408-c902e145cdff,,645,RAFINAD
45,2022-01-19 07:50:20,Lime,Lime // Hybrid (new+repeat loans),6016258,4500,ed23d10e-1689-49cd-96e8-5c0f7c6e47db,,1642,RAFINAD
46,2022-01-18 21:45:25,Lime,Lime // Hybrid (new+repeat loans),5623396,500,83413759-ae87-4e63-8012-be6df1d6c034,,645,RAFINAD
47,2022-01-18 17:54:24,Lime,Lime // Hybrid (new+repeat loans),880927,500,c7ed64cb-6f6f-46d6-9783-a58eb1481fac,,645,RAFINAD
48,2022-01-18 17:01:29,Konga,Konga // Hybrid (new+repeat loans),2018747,2400,86e3e260-2155-4fc5-863f-eb46e296e9cc,,2005,RAFINAD
49,2022-01-18 16:46:57,Lime,Lime // Hybrid (new+repeat loans),5750577,1800,04302b19-6606-47e1-ba32-dceaeccaf591,,1779,RAFINAD
50,2022-01-18 15:37:08,Lime,Lime // Hybrid (new+repeat loans),5311109,3000,1be610c4-7450-461e-85a7-bfcd9f11b553,,645,RAFINAD
51,2022-01-18 06:53:43,Lime,Lime // Hybrid (new+repeat loans),6011884,4500,4bdfed1e-6e1f-4589-ab23-1ee493dbb499,,645,RAFINAD
52,2022-01-17 17:29:36,Lime,Lime // Hybrid (new+repeat loans),6009973,3000,75f81330-db76-43bb-9938-4fdf719e17a8,,1642,RAFINAD
53,2022-01-16 11:17:09,Lime,Lime // Hybrid (new+repeat loans),5994105,500,a23a8ff0-9e6c-4c41-a92f-1e3dccd5c0a3,,645,RAFINAD
54,2022-01-16 11:10:41,Lime,Lime // Hybrid (new+repeat loans),6003857,3000,609b0260-1769-42e7-8403-8cadcdc5b7f4,,645,RAFINAD
55,2022-01-16 02:22:24,Lime,Lime // Hybrid (new+repeat loans),6002923,3000,e0eb2dcf-660f-46b1-9e02-96a40aa33c5d,,645,RAFINAD
56,2022-01-15 20:12:01,Konga,Konga // Hybrid (new+repeat loans),2014932,2400,7fb76a01-6b6f-4f01-b867-bbda59d25f36,,1143,RAFINAD
57,2022-01-15 19:24:28,Lime,Lime // Hybrid (new+repeat loans),6001972,3000,4505710e-2eb3-44ed-adae-dfd962e2f7e5,,1642,RAFINAD
58,2022-01-15 17:33:50,Lime,Lime // Hybrid (new+repeat loans),5998805,4500,9844c946-b50c-4503-a9e7-be679c780823,,645,RAFINAD
59,2022-01-15 07:31:52,Lime,Lime // Hybrid (new+repeat loans),5999337,3000,52a8811c-2948-4ea4-b30b-3b778275c77b,,645,RAFINAD
60,2022-01-14 21:14:27,Lime,Lime // Hybrid (new+repeat loans),5998354,4500,33bd2a57-576e-40f7-a926-209a1855b743,,645,RAFINAD
61,2022-01-14 15:51:32,Lime,Lime // Hybrid (new+repeat loans),5676537,500,782de7da-ba13-4b07-ad11-beea2a834ca9,,645,RAFINAD
62,2022-01-14 15:23:40,Lime,Lime // Hybrid (new+repeat loans),5993994,4500,8c8c39ce-d01c-4e17-bac9-a6ab03c78b57,,1143,RAFINAD
63,2022-01-14 08:12:23,Lime,Lime // Hybrid (new+repeat loans),5995363,3000,f56822ed-bee6-4d98-86a8-d6af9b4b92d0,,1642,RAFINAD
64,2022-01-14 07:13:59,Lime,Lime // Hybrid (new+repeat loans),5864609,500,f44b91e3-b908-4546-8f5f-f5822681a6ac,,645,RAFINAD
65,2022-01-13 23:40:36,Lime,Lime // Hybrid (new+repeat loans),5994664,4500,77b0e7fc-73e3-4ae5-83aa-0a3f5a451de1,,645,RAFINAD
66,2022-01-13 19:52:24,Lime,Lime // Hybrid (new+repeat loans),5994105,4500,a23a8ff0-9e6c-4c41-a92f-1e3dccd5c0a3,,645,RAFINAD
67,2022-01-13 18:15:37,Lime,Lime // Hybrid (new+repeat loans),5993748,3000,0c6220ff-d0e2-48e1-acf3-950fa8186d1b,,1642,RAFINAD
68,2022-01-13 15:43:14,Konga,Konga // Hybrid (new+repeat loans),2011088,2400,87c79f71-3d46-41a7-abef-8797c45d681c,,1143,RAFINAD
69,2022-01-12 18:39:34,Lime,Lime // Hybrid (new+repeat loans),5590904,3000,34ceae70-7ce7-42d5-be1a-c6f300886e02,,645,RAFINAD
70,2022-01-12 08:43:05,Lime,Lime // Hybrid (new+repeat loans),5256487,3000,cfeb5669-484e-4588-b671-8141fc9edf47,,1642,RAFINAD
71,2022-01-12 04:21:52,Lime,Lime // Hybrid (new+repeat loans),5986424,3000,7c461a24-d678-4233-8e78-21b025481839,,1642,RAFINAD
72,2022-01-11 22:11:18,Lime,Lime // Hybrid (new+repeat loans),5106939,500,94f23df3-1be9-4907-aa5a-5e4a1fbffd1c,,645,RAFINAD
73,2022-01-11 10:14:05,Lime,Lime // Hybrid (new+repeat loans),5603793,3000,8f57931f-2219-49b3-8168-b53dedfc5caf,,645,RAFINAD
74,2022-01-10 14:33:52,Konga,Konga // Hybrid (new+repeat loans),2005303,2400,5667b21d-8051-4b3c-8b2e-ef1368209328,,1143,RAFINAD
75,2022-01-10 07:25:18,Lime,Lime // Hybrid (new+repeat loans),2407602,3000,fd756eb8-af88-4bd1-a6b8-494bdf2a5ade,,645,RAFINAD
76,2022-01-09 23:55:18,Lime,Lime // Hybrid (new+repeat loans),4916535,4500,ad8c7e3f-176f-46cc-8527-aa6b25d40ee9,,1642,RAFINAD
77,2022-01-08 16:04:35,Lime,Lime // Hybrid (new+repeat loans),5956681,500,72026747-d7e9-48c0-a5fb-a9c987128fd9,,645,RAFINAD
78,2022-01-08 14:40:34,Lime,Lime // Hybrid (new+repeat loans),5787146,500,84e539a5-9907-4e91-8f0a-59b64dbd0cba,,1468,RAFINAD
79,2022-01-08 13:12:37,Lime,Lime // Hybrid (new+repeat loans),5968128,3000,546f1a44-b9af-48f5-8a12-2d762fbba6f7,,645,RAFINAD
80,2022-01-08 12:10:25,Lime,Lime // Hybrid (new+repeat loans),5967747,4500,906c72ad-adf8-40fc-a2be-c42a681497a7,,645,RAFINAD
81,2022-01-08 06:33:20,Lime,Lime // Hybrid (new+repeat loans),5966676,3000,104c0158-c023-48f8-ba97-876aacfa5f9c,,1642,RAFINAD
82,2022-01-06 19:33:44,Lime,Lime // Hybrid (new+repeat loans),5169664,3000,0076c297-a43d-4d87-ad0d-78eab800b92d,,645,RAFINAD
83,2022-01-06 15:59:57,Lime,Lime // Hybrid (new+repeat loans),4025170,3000,c03dba17-4908-4c4e-8feb-dfdfae3d18fe,,816,RAFINAD
84,2022-01-06 12:53:11,Lime,Lime // Hybrid (new+repeat loans),5895753,500,4435e522-9073-4ab1-83aa-0b177843fb91,,1468,RAFINAD
85,2022-01-06 02:25:49,Lime,Lime // Hybrid (new+repeat loans),5897321,4500,70311709-eb8b-4e5d-af66-377700c29b06,,645,RAFINAD
86,2022-01-06 00:27:50,Lime,Lime // Hybrid (new+repeat loans),5956681,4500,72026747-d7e9-48c0-a5fb-a9c987128fd9,,645,RAFINAD
