,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 13:44:48,Lime,Lime // Hybrid (new+repeat loans),6043476,3000,2281d2b3-9e0d-5ccc-95f0-dd298710eb7c,,2660,REGBET
1,2022-01-30 13:20:23,Lime,Lime // Hybrid (new+repeat loans),5075235,500,7db452e6-d057-5053-94a5-1246e7867dfb,,2660,REGBET
2,2022-01-30 09:27:25,Konga,Konga // Hybrid (new+repeat loans),1935680,2400,d9a5ed0e-a6f4-5d9b-a3f5-75887f59babf,,2660,REGBET
3,2022-01-29 22:50:58,Lime,Lime // Hybrid (new+repeat loans),5900068,1800,facf7ec6-4658-53d9-9062-3fcd910de214,,2660,REGBET
4,2022-01-29 13:46:02,Lime,Lime // Hybrid (new+repeat loans),6062056,4500,0e55bdb4-51e4-5a94-bf1c-341da328a1b1,,2660,REGBET
5,2022-01-28 06:27:19,Lime,Lime // Hybrid (new+repeat loans),4700750,500,97532587-04ac-548e-8f79-a35231b78281,,2660,REGBET
6,2022-01-28 01:47:40,Konga,Konga // Hybrid (new+repeat loans),2036351,2400,dd6dfa6c-9cb4-52b9-a587-1301e1d48137,,2660,REGBET
7,2022-01-27 17:10:47,Lime,Lime // Hybrid (new+repeat loans),4566958,500,2a8b210b-76e1-53a8-b49e-c02ada0e6b68,,2660,REGBET
8,2022-01-27 00:56:27,Konga,Konga // Hybrid (new+repeat loans),2026650,300,96edee64-34a8-56d2-b56e-4833e4fee585,,2660,REGBET
9,2022-01-26 03:18:11,Lime,Lime // Hybrid (new+repeat loans),6046258,3000,d612205d-870d-58d6-b401-aee80b80a0a1,,1738,REGBET
10,2022-01-24 12:28:31,Konga,Konga // Hybrid (new+repeat loans),2030059,2400,d0f55ead-3f0c-5f54-9f0a-a002e9c5900c,,1738,REGBET
11,2022-01-24 00:07:16,Lime,Lime // Hybrid (new+repeat loans),6036751,1800,5ad080ea-b98c-5907-8ac4-16a3aef458f1,,2660,REGBET
12,2022-01-22 19:10:48,Lime,Lime // Hybrid (new+repeat loans),5782025,500,7c992573-0866-5b8b-b597-2a1aa543da8c,,2660,REGBET
13,2022-01-22 11:16:07,Konga,Konga // Hybrid (new+repeat loans),2026650,2400,96edee64-34a8-56d2-b56e-4833e4fee585,,2660,REGBET
