,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 20:51:10,Konga,Konga // Hybrid (new+repeat loans),2043181,2400,75f16ac4add7a6ddbc7f91bf78a5bddb,,20865,UNICOM24
1,2022-01-31 20:10:40,Konga,Konga // Hybrid (new+repeat loans),2043098,2400,3d2cd0a0358d1d72280838e060779282,,175679,UNICOM24
2,2022-01-31 19:02:43,Lime,Lime // Hybrid (new+repeat loans),6072974,3000,497d208d974dc2803505a4c86bb58f26,,16110,UNICOM24
3,2022-01-31 17:55:24,Lime,Lime // Hybrid (new+repeat loans),6072710,4500,39e268e6988fbf35dd678a5c05c546cb,,20865,UNICOM24
4,2022-01-31 17:42:21,Konga,Konga // Hybrid (new+repeat loans),2038455,2400,d52b395afcc13a7053e5d2b38f694267,,175679,UNICOM24
5,2022-01-31 16:25:55,Lime,Lime // Hybrid (new+repeat loans),6072235,4500,4813915ad5007312fb58f90263748d32,,90863,UNICOM24
6,2022-01-31 14:41:03,Lime,Lime // Hybrid (new+repeat loans),6071629,4500,8e2e646f90859ea935a8bbd5170f2856,,173990,UNICOM24
7,2022-01-31 14:38:41,Lime,Lime // Hybrid (new+repeat loans),6071682,1800,df5f28d564fbcc8bbce9e681947298da,,41476,UNICOM24
8,2022-01-31 13:36:54,Lime,Lime // Hybrid (new+repeat loans),5916903,500,2052fe4c93eaa8a01042d84c46305421,,20866,UNICOM24
9,2022-01-31 12:31:20,Lime,Lime // Hybrid (new+repeat loans),6070862,4500,75b50523e1faadd8c44bb4076b69fdea,,172171,UNICOM24
10,2022-01-31 11:08:28,Lime,Lime // Hybrid (new+repeat loans),6018289,1800,35638df02af9bdaf54f1105133e22ce9,,172171,UNICOM24
11,2022-01-31 07:27:10,Lime,Lime // Hybrid (new+repeat loans),6069589,4500,f4b800c475f8c04c1ca9984ce9d87e9b,,90863,UNICOM24
12,2022-01-31 03:42:15,Konga,Konga // Hybrid (new+repeat loans),2014926,300,401bdf1ffec42ccfccc487e7b305d8ae,,1,UNICOM24
13,2022-01-31 03:33:28,Lime,Lime // Hybrid (new+repeat loans),6069309,4500,59d804d3f26b6b946b89f1dc298aa376,,131553,UNICOM24
14,2022-01-30 21:24:56,Lime,Lime // Hybrid (new+repeat loans),6068667,1800,cc80ca67f2536b6d18f831687d123b66,,131584,UNICOM24
15,2022-01-30 18:42:01,Lime,Lime // Hybrid (new+repeat loans),6067997,4500,304cd37d0a469753b13b2d9890102407,,16110,UNICOM24
16,2022-01-30 15:58:20,Lime,Lime // Hybrid (new+repeat loans),6067222,3000,fae39f6036e81b238874902a809387f4,,1,UNICOM24
17,2022-01-30 13:59:48,Lime,Lime // Hybrid (new+repeat loans),5996566,500,27ba85d5b53f0c50eaf446c2ea69bc06,,41476,UNICOM24
18,2022-01-30 12:56:40,Lime,Lime // Hybrid (new+repeat loans),5460862,1800,4027e6e293ff061b483e15741c9d1617,,20865,UNICOM24
19,2022-01-30 08:56:53,Lime,Lime // Hybrid (new+repeat loans),5283762,500,1f9defee6520191ae4ef33e01c572833,,131553,UNICOM24
20,2022-01-29 20:43:06,Lime,Lime // Hybrid (new+repeat loans),5950884,500,063ba65adbc3a7fba545d14f7c64bf9f,,16110,UNICOM24
21,2022-01-29 11:25:30,Lime,Lime // Hybrid (new+repeat loans),6061308,3000,ae2bcb6cb3ff35c2e943ff8630fe92ec,,90863,UNICOM24
22,2022-01-29 08:06:29,Lime,Lime // Hybrid (new+repeat loans),5155783,1800,cdee04efaaaa96966aa39a489adfd0de,,131584,UNICOM24
23,2022-01-29 05:03:44,Lime,Lime // Hybrid (new+repeat loans),5159890,500,6c7a456b16e72a784360a19bd0d4c166,,90863,UNICOM24
24,2022-01-28 23:55:56,Konga,Konga // Hybrid (new+repeat loans),1810829,2400,664d9b2f46d62b70c7b9d1f1ee4b48f9,,175605,UNICOM24
25,2022-01-28 22:01:35,Lime,Lime // Hybrid (new+repeat loans),3002969,500,f2e1b2353e40bdc2262ad5c3ee387941,,41476,UNICOM24
26,2022-01-28 19:17:34,Lime,Lime // Hybrid (new+repeat loans),6058889,3000,240c247e0e7aa808d93fca52c7cf380e,,90847,UNICOM24
27,2022-01-28 17:58:24,Lime,Lime // Hybrid (new+repeat loans),6058620,3000,dce5a4f2072ac684aa8119f004cdc0c7,,41476,UNICOM24
28,2022-01-28 16:27:05,Lime,Lime // Hybrid (new+repeat loans),6058278,3000,406c46eca7b97d2c78dc04cbc3e29f87,,172171,UNICOM24
29,2022-01-28 15:23:58,Lime,Lime // Hybrid (new+repeat loans),5883220,500,02e2539b44219655a6f7c827618c73eb,,90863,UNICOM24
30,2022-01-28 14:14:56,Lime,Lime // Hybrid (new+repeat loans),6057732,4500,8b1bd3b4b9f6cdab47007312f66ed2b8,,16110,UNICOM24
