,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2022-01-31 13:23:37,Lime,Lime // Hybrid (new+repeat loans),6063490,3000,,,,ОКБ
1,2022-01-31 09:27:27,Lime,Lime // Hybrid (new+repeat loans),5878993,3000,,,,ОКБ
2,2022-01-31 08:28:40,Lime,Lime // Hybrid (new+repeat loans),6068874,4500,,,,ОКБ
3,2022-01-30 18:33:41,Konga,Konga // Hybrid (new+repeat loans),2041068,2400,,,,ОКБ
4,2022-01-30 17:26:56,Lime,Lime // Hybrid (new+repeat loans),6056882,1800,,,,ОКБ
5,2022-01-30 02:27:30,Konga,Konga // Hybrid (new+repeat loans),2039784,2400,,,,ОКБ
6,2022-01-29 17:47:57,Lime,Lime // Hybrid (new+repeat loans),6059626,1800,,,,ОКБ
7,2022-01-28 13:40:41,Lime,Lime // Hybrid (new+repeat loans),6057317,4500,,,,ОКБ
8,2022-01-28 02:05:44,Konga,Konga // Hybrid (new+repeat loans),1986815,300,,,,ОКБ
9,2022-01-27 17:59:45,Konga,Konga // Hybrid (new+repeat loans),1960106,2400,,,,ОКБ
10,2022-01-27 14:42:20,Lime,Lime // Hybrid (new+repeat loans),5471937,3000,,,,ОКБ
11,2022-01-27 06:50:31,Lime,Lime // Hybrid (new+repeat loans),5750821,3000,,,,ОКБ
12,2022-01-26 15:46:40,Lime,Lime // Hybrid (new+repeat loans),4899779,1800,,,,ОКБ
13,2022-01-26 10:40:32,Lime,Lime // Hybrid (new+repeat loans),5193722,500,,,,ОКБ
14,2022-01-26 10:23:02,Lime,Lime // Hybrid (new+repeat loans),5825874,1800,,,,ОКБ
15,2022-01-26 05:17:06,Lime,Lime // Hybrid (new+repeat loans),5908798,500,,,,ОКБ
16,2022-01-26 01:30:06,Lime,Lime // Hybrid (new+repeat loans),4240512,500,,,,ОКБ
17,2022-01-25 23:38:34,Lime,Lime // Hybrid (new+repeat loans),6046069,3000,,,,ОКБ
18,2022-01-24 18:53:17,Konga,Konga // Hybrid (new+repeat loans),1952981,2400,,,,ОКБ
19,2022-01-24 15:24:24,Konga,Konga // Hybrid (new+repeat loans),2030449,2400,,,,ОКБ
20,2022-01-24 12:57:26,Konga,Konga // Hybrid (new+repeat loans),2023865,2400,,,,ОКБ
21,2022-01-24 00:00:39,Konga,Konga // Hybrid (new+repeat loans),2029410,2400,,,,ОКБ
22,2022-01-23 16:57:02,Konga,Konga // Hybrid (new+repeat loans),2028924,2400,,,,ОКБ
23,2022-01-23 12:15:17,Lime,Lime // Hybrid (new+repeat loans),5797415,4500,,,,ОКБ
24,2022-01-23 09:14:33,Konga,Konga // Hybrid (new+repeat loans),1767427,2400,,,,ОКБ
25,2022-01-22 21:47:32,Lime,Lime // Hybrid (new+repeat loans),5633262,3000,,,,ОКБ
26,2022-01-22 21:22:12,Lime,Lime // Hybrid (new+repeat loans),6032051,4500,,,,ОКБ
