,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 23:17:23,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
1,2021-03-31 22:39:22,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
2,2021-03-31 18:10:33,Lime,Lime CPA,Займ хороший,3000,,,om,,,,Finpublic
3,2021-03-31 18:10:33,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
4,2021-03-31 18:02:09,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
5,2021-03-31 16:02:02,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
6,2021-03-31 15:51:16,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
7,2021-03-31 12:47:13,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
8,2021-03-31 09:55:12,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
9,2021-03-31 09:01:22,Lime,Lime CPA,Займ хороший,3000,,,om,,,,Finpublic
10,2021-03-30 21:17:18,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
11,2021-03-30 17:25:17,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
12,2021-03-30 15:01:39,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
13,2021-03-30 13:49:20,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
14,2021-03-30 13:01:49,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
15,2021-03-30 12:33:15,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
16,2021-03-30 10:01:25,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
17,2021-03-29 19:01:24,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
18,2021-03-29 18:59:09,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
19,2021-03-29 12:02:08,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
20,2021-03-29 11:01:45,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
21,2021-03-28 22:00:58,Lime,Lime CPA,Займ хороший,3000,,,om,,,,Finpublic
22,2021-03-28 19:01:27,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
23,2021-03-28 17:07:15,Lime,Lime CPA,Займ хороший,3000,zs,,,,,,Finpublic
24,2021-03-28 17:01:28,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
25,2021-03-28 16:01:30,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
26,2021-03-28 12:13:18,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
27,2021-03-28 09:39:21,Lime,Lime CPA,Займ хороший,3000,zs,,,,,,Finpublic
28,2021-03-27 18:01:33,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
29,2021-03-27 16:33:18,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
30,2021-03-27 14:19:11,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
31,2021-03-27 14:01:47,Lime,Lime CPA,Займ хороший,3000,zs,,,,,,Finpublic
32,2021-03-27 11:49:21,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
33,2021-03-27 11:01:27,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
34,2021-03-27 08:37:13,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
35,2021-03-26 20:01:25,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
36,2021-03-26 16:01:49,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
